lat,lon,dT_local
-87.5,-177.5,0.9708401851576007
-87.5,-175.0,0.9493202248692812
-87.5,-172.5,0.941072611750367
-87.5,-170.0,0.9340283814682676
-87.5,-167.5,0.916024655480627
-87.5,-165.0,0.9052463006416436
-87.5,-162.5,0.8923063937801483
-87.5,-160.0,0.8998037327069187
-87.5,-157.5,0.8832273153533222
-87.5,-155.0,0.8847358711801251
-87.5,-152.5,0.8889623315630326
-87.5,-150.0,0.8927338521473492
-87.5,-147.5,0.8921922650248764
-87.5,-145.0,0.8887292379614128
-87.5,-142.5,0.8828206926049014
-87.5,-140.0,0.8903595074081737
-87.5,-137.5,0.874650177768771
-87.5,-135.0,0.8708175413416155
-87.5,-132.5,0.8758370037576859
-87.5,-130.0,0.8840544159095975
-87.5,-127.5,0.8859337924248154
-87.5,-125.0,0.8886241781290616
-87.5,-122.5,0.9109384596605321
-87.5,-120.0,0.9203011156419705
-87.5,-117.5,0.9268867589413345
-87.5,-115.0,0.9338965507153325
-87.5,-112.5,0.9457131425891103
-87.5,-110.0,0.9534339163901819
-87.5,-107.5,0.9742696269518181
-87.5,-105.0,0.988608980295696
-87.5,-102.5,0.9953520503993244
-87.5,-100.0,1.003331084360962
-87.5,-97.5,1.0090023824827934
-87.5,-95.0,1.0152188948697107
-87.5,-92.5,1.0257794502443294
-87.5,-90.0,1.0345414066716567
-87.5,-87.5,1.0383454744112408
-87.5,-85.0,1.0455003893160815
-87.5,-82.5,1.0476677878577099
-87.5,-80.0,1.0510184916753653
-87.5,-77.5,1.0564132048052108
-87.5,-75.0,1.0572926729216952
-87.5,-72.5,1.0603062870901305
-87.5,-70.0,1.0628490057895594
-87.5,-67.5,1.0655691698362033
-87.5,-65.0,1.0651152304469906
-87.5,-62.5,1.0656981659714335
-87.5,-60.0,1.0648365404262905
-87.5,-57.5,1.0638136835857446
-87.5,-55.0,1.062995014450105
-87.5,-52.5,1.0624926476906746
-87.5,-50.0,1.0624522229739741
-87.5,-47.5,1.0612633857317495
-87.5,-45.0,1.0589740451542222
-87.5,-42.5,1.058316296671272
-87.5,-40.0,1.0568256917387737
-87.5,-37.5,1.0561793783429327
-87.5,-35.0,1.0571823280196087
-87.5,-32.5,1.0572913548289684
-87.5,-30.0,1.05761649626377
-87.5,-27.5,1.0579783987587468
-87.5,-25.0,1.0575735838031457
-87.5,-22.5,1.0598379905858057
-87.5,-20.0,1.0599827125465104
-87.5,-17.5,1.058961615107666
-87.5,-15.0,1.0618831434705056
-87.5,-12.5,1.0610517972512643
-87.5,-10.0,1.0604397289961032
-87.5,-7.5,1.0604097498556961
-87.5,-5.0,1.061620426448816
-87.5,-2.5,1.0614289137667172
-87.5,0.0,1.0614055126314157
-87.5,2.5,1.060714406245397
-87.5,5.0,1.0595500262295203
-87.5,7.5,1.0622057021043938
-87.5,10.0,1.062656920772372
-87.5,12.5,1.0625150850477008
-87.5,15.0,1.06422640375124
-87.5,17.5,1.062040580548299
-87.5,20.0,1.0635235608305331
-87.5,22.5,1.0661021617627782
-87.5,25.0,1.0671947757585525
-87.5,27.5,1.0704243650323426
-87.5,30.0,1.0728062193645456
