con,Omega,Theta,ygross,ynet,inv,Eind,carbontax,Abatement,Dam,Emissions
266.32077,0.0029982633,0.02819139,370.57068,369.4596,92.72328,0.0,434.8139,10.446902,1.1110685,0.8820653
272.3605,0.00299309,0.027607234,378.65533,377.52197,94.7391,0.0,432.64526,10.453626,1.1333495,0.8620093
278.48218,0.0029880449,0.02703469,386.84387,385.688,96.77886,0.0,430.48746,10.458204,1.1559069,0.8424093
284.6868,0.0029831226,0.02647363,395.13748,393.95874,98.842476,0.0,428.34033,10.460724,1.1787436,0.823255
290.9747,0.00297832,0.025923794,403.5365,402.33463,100.929924,0.0,426.20395,10.461197,1.2018609,0.80453616
297.3462,0.0029736322,0.025385015,412.0417,410.8164,103.04164,0.0,424.07834,10.459684,1.2252604,0.78624314
303.80264,0.0029690554,0.024856977,420.6538,419.40488,105.177086,0.0,421.96323,10.4561825,1.2489445,0.76836574
310.3439,0.0029645865,0.024339572,429.37357,428.10065,107.336975,0.0,419.85864,10.450769,1.272915,0.7508949
316.97095,0.0029602225,0.023832502,438.20166,436.90448,109.52097,0.0,417.76456,10.443441,1.2971743,0.73382133
323.68387,0.0029559606,0.02333566,447.1385,445.81677,111.72945,0.0,415.68094,10.434272,1.3217237,0.7171359
330.48325,0.0029517969,0.022848805,456.1846,454.83804,113.96232,0.0,413.60776,10.423273,1.3465642,0.70083004
337.37003,0.0029477288,0.022371741,465.3409,463.9692,116.219345,0.0,411.5449,10.410485,1.3716987,0.68489486
344.34384,0.0029437542,0.021904316,474.6077,473.21054,118.50142,0.0,409.49225,10.395957,1.3971285,0.669322
351.4058,0.0029398699,0.021446273,483.98544,482.56262,120.80766,0.0,407.4499,10.379684,1.4228543,0.6541032
358.55624,0.0029360729,0.020997463,493.47504,492.02615,123.138565,0.0,405.41776,10.361724,1.4488786,0.6392305
365.7955,0.0029323606,0.020557748,503.07672,501.60147,125.49421,0.0,403.3957,10.342125,1.4752023,0.62469596
373.12393,0.0029287315,0.02012691,512.7911,511.28928,127.87463,0.0,401.38373,10.320901,1.5018275,0.61049193
380.54175,0.002925183,0.01970475,522.6184,521.0896,130.27989,0.0,399.38184,10.298064,1.5287544,0.59661067
387.98895,0.0029217126,0.01929116,532.5596,531.0036,132.77098,0.0,397.38986,10.273692,1.555986,0.58304524
395.49762,0.002918317,0.018885948,542.60913,541.02563,135.3102,0.0,395.4079,10.247688,1.5835056,0.56978816
403.08847,0.0029149957,0.01848894,552.76636,551.155,137.8763,0.0,393.43576,10.220064,1.6113117,0.5568326
410.7627,0.002911746,0.018099988,563.03265,561.39325,140.46936,0.0,391.47354,10.190885,1.6394082,0.5441719
418.52173,0.0029085663,0.017718924,573.4093,571.7415,143.0892,0.0,389.52103,10.160196,1.667799,0.5317987
426.25766,0.0029054545,0.017345605,583.89716,582.2007,145.84436,0.0,387.5783,10.12805,1.6964866,0.5197067
434.10367,0.002902408,0.016979866,594.5242,592.79865,148.6293,0.0,385.64514,10.094941,1.7255516,0.5078899
442.05524,0.0028994249,0.016621575,605.2857,603.5307,151.44383,0.0,383.7218,10.0608015,1.7549803,0.49634153
450.10986,0.0028965045,0.016270546,616.17957,614.39484,154.28845,0.0,381.8079,10.0255785,1.7847668,0.48505595
458.2649,0.0028936437,0.015926728,627.2027,625.3878,157.16255,0.0,379.90366,9.989286,1.814901,0.47402695
466.51917,0.002890842,0.015589868,638.3538,636.5085,160.06625,0.0,378.00888,9.951851,1.8453801,0.46324873
474.8708,0.0028880965,0.01525991,649.63153,647.7553,162.99986,0.0,376.1236,9.913319,1.8761984,0.45271567
483.3191,0.0028854054,0.014936692,661.03455,659.12714,165.96289,0.0,374.24768,9.87367,1.9073526,0.44242203
491.86304,0.0028827682,0.01462008,672.56244,670.6236,168.95598,0.0,372.3811,9.832916,1.9388415,0.43236247
500.50226,0.0028801826,0.0143099455,684.21454,682.2439,171.97876,0.0,370.52383,9.791073,1.9706628,0.42253155
509.23605,0.0028776468,0.014006136,695.99054,693.9877,175.03154,0.0,368.67575,9.748138,2.0028148,0.4129241
518.0639,0.0028751595,0.0137085775,707.88965,705.8544,178.11424,0.0,366.83698,9.70416,2.0352957,0.40353513
526.9861,0.0028727208,0.0134171,719.9122,717.8441,181.22661,0.0,365.00735,9.659134,2.068107,0.39435962
536.0022,0.0028703273,0.013131624,732.058,729.9568,184.3691,0.0,363.18686,9.6131115,2.1012464,0.3853927
545.1123,0.0028679774,0.0128519945,744.32715,742.1923,187.54141,0.0,361.37546,9.566088,2.1347134,0.3766298
554.31604,0.002865671,0.012578112,756.7193,754.5508,190.744,0.0,359.57306,9.518101,2.1685085,0.36806604
563.6138,0.0028634053,0.012309865,769.23456,767.0319,193.97615,0.0,357.77966,9.469173,2.2026303,0.35969707
573.00494,0.00286118,0.0120471455,781.87317,779.6361,197.23878,0.0,355.99527,9.41934,2.2370799,0.35151836
582.49036,0.0028589948,0.011789834,794.6354,792.36346,200.53127,0.0,354.21964,9.368619,2.2718585,0.3435256
592.07,0.0028568467,0.0115378145,807.5212,805.2143,203.85391,0.0,352.45297,9.317031,2.3069644,0.33571473
601.74304,0.0028547342,0.011291017,820.5305,818.1881,207.20695,0.0,350.6951,9.264625,2.3423967,0.3280814
611.5082,0.0028526573,0.0110493,833.6639,831.28577,210.59244,0.0,348.946,9.211403,2.3781574,0.32062155
621.3551,0.0028506143,0.010812577,846.9209,844.50665,214.02032,0.0,347.20557,9.157397,2.414245,0.31333125
