,foc_kplus,foc_lambd
count,5.120e+03,5.120e+03
mean,5.095e-04,2.672e-03
std,4.497e-04,4.222e-04
min,2.325e-06,1.752e-03
0.1%,2.325e-06,1.752e-03
25%,1.087e-04,2.478e-03
50%,4.284e-04,2.618e-03
75%,7.465e-04,2.763e-03
99.9%,2.513e-03,5.038e-03
max,2.513e-03,5.038e-03
