foc_kplus,foc_lambd
6.437e-06,2.256e-03
2.271e-05,2.238e-03
3.785e-05,2.220e-03
5.382e-05,2.201e-03
6.706e-05,2.180e-03
8.094e-05,2.159e-03
9.412e-05,2.137e-03
1.065e-04,2.114e-03
1.187e-04,2.090e-03
1.302e-04,2.067e-03
1.323e-04,2.041e-03
1.231e-04,2.104e-03
1.171e-04,2.156e-03
1.128e-04,2.199e-03
1.092e-04,2.235e-03
1.072e-04,2.270e-03
1.059e-04,2.296e-03
1.040e-04,2.323e-03
1.029e-04,2.345e-03
1.013e-04,2.365e-03
1.006e-04,2.383e-03
9.912e-05,2.399e-03
9.781e-05,2.415e-03
9.584e-05,2.431e-03
9.453e-05,2.443e-03
9.346e-05,2.455e-03
9.060e-05,2.466e-03
8.941e-05,2.477e-03
8.589e-05,2.487e-03
8.416e-05,2.498e-03
8.076e-05,2.506e-03
7.808e-05,2.515e-03
7.486e-05,2.523e-03
7.105e-05,2.530e-03
6.735e-05,2.537e-03
6.402e-05,2.542e-03
5.931e-05,2.548e-03
5.561e-05,2.554e-03
5.120e-05,2.558e-03
4.643e-05,2.564e-03
4.250e-05,2.569e-03
3.630e-05,2.572e-03
3.278e-05,2.575e-03
2.587e-05,2.578e-03
2.128e-05,2.584e-03
1.585e-05,2.586e-03
9.120e-06,2.589e-03
4.828e-06,2.591e-03
2.325e-06,2.593e-03
8.047e-06,2.594e-03
1.460e-05,2.598e-03
2.146e-05,2.600e-03
2.807e-05,2.601e-03
3.457e-05,2.603e-03
4.137e-05,2.604e-03
4.858e-05,2.604e-03
5.573e-05,2.607e-03
6.264e-05,2.607e-03
7.117e-05,2.609e-03
7.778e-05,2.609e-03
8.583e-05,2.610e-03
9.280e-05,2.611e-03
1.016e-04,2.613e-03
1.093e-04,2.614e-03
1.179e-04,2.615e-03
1.255e-04,2.614e-03
1.341e-04,2.616e-03
1.427e-04,2.617e-03
1.510e-04,2.617e-03
1.589e-04,2.618e-03
1.680e-04,2.619e-03
1.768e-04,2.620e-03
1.860e-04,2.621e-03
1.957e-04,2.623e-03
2.040e-04,2.625e-03
2.134e-04,2.625e-03
2.230e-04,2.625e-03
2.320e-04,2.627e-03
2.409e-04,2.629e-03
2.512e-04,2.630e-03
2.607e-04,2.632e-03
2.704e-04,2.634e-03
2.800e-04,2.635e-03
2.890e-04,2.638e-03
2.995e-04,2.640e-03
3.101e-04,2.640e-03
3.192e-04,2.644e-03
3.292e-04,2.646e-03
3.407e-04,2.649e-03
3.500e-04,2.651e-03
3.596e-04,2.653e-03
3.708e-04,2.656e-03
3.803e-04,2.660e-03
3.919e-04,2.662e-03
4.019e-04,2.666e-03
4.120e-04,2.669e-03
4.237e-04,2.672e-03
4.330e-04,2.676e-03
4.445e-04,2.682e-03
4.559e-04,2.685e-03
4.656e-04,2.689e-03
