kx,MATx,MUOx,MLOx,MLFx,TATx,TOCx,taux
1279.0826,1201.7578,1115.3567,37213.883,481.61795,2.6469755,0.96538603,0.66040504
1302.5615,1203.9442,1119.251,37214.406,482.92136,2.65874,0.97697216,0.665461
1326.3308,1206.0138,1123.1294,37214.93,484.18124,2.67018,0.98855954,0.6704416
1350.3958,1207.9677,1126.9905,37215.465,485.39722,2.681296,1.0001459,0.6753481
1374.7487,1209.8055,1130.8329,37216.004,486.56885,2.692089,1.011729,0.6801815
1399.3884,1211.5278,1134.6556,37216.55,487.6957,2.7025595,1.0233067,0.68494296
1424.32,1213.1361,1138.4573,37217.098,488.77762,2.7127082,1.0348768,0.6896336
1449.5475,1214.6315,1142.2368,37217.656,489.8143,2.7225373,1.046437,0.6942544
1475.0767,1216.0156,1145.9929,37218.215,490.8057,2.7320487,1.0579853,0.6988064
1500.9095,1217.2897,1149.7245,37218.785,491.7517,2.741246,1.0695196,0.70329064
1527.0505,1218.4554,1153.4302,37219.355,492.65234,2.7501314,1.0810379,0.7077081
1553.5049,1219.5148,1157.1093,37219.938,493.50775,2.7587085,1.0925379,0.71205986
1580.2765,1220.4692,1160.7604,37220.52,494.318,2.7669811,1.1040179,0.71634674
1607.3677,1221.3204,1164.3828,37221.11,495.08344,2.7749536,1.1154757,0.72056985
1634.782,1222.0698,1167.9755,37221.703,495.8042,2.7826295,1.1269095,0.7247301
1662.5201,1222.7192,1171.5371,37222.3,496.48065,2.7900128,1.1383173,0.7288283
1690.5848,1223.2698,1175.0671,37222.906,497.11313,2.7971077,1.1496975,0.7328656
1718.9757,1223.7236,1178.5645,37223.52,497.70203,2.803918,1.1610482,0.7368427
1747.6973,1224.0824,1182.0283,37224.133,498.24774,2.8104472,1.1723676,0.74076056
1776.7484,1224.3475,1185.4579,37224.754,498.75067,2.8167,1.183654,0.7446202
1806.1339,1224.5211,1188.8523,37225.38,499.21133,2.82268,1.1949056,0.7484224
1835.854,1224.605,1192.2109,37226.008,499.63022,2.8283916,1.206121,0.75216794
1865.9081,1224.6008,1195.533,37226.645,500.0078,2.8338387,1.2172984,0.7558577
1896.2997,1224.5105,1198.8175,37227.29,500.3447,2.8390255,1.2284364,0.7594925
1927.0298,1224.3362,1202.0642,37227.934,500.64148,2.8439562,1.2395333,0.76307327
1958.0994,1224.0795,1205.2721,37228.586,500.8987,2.8486357,1.2505878,0.76660067
1989.5104,1223.7424,1208.4409,37229.242,501.117,2.8530676,1.2615983,0.77007556
2021.2627,1223.3273,1211.5698,37229.9,501.297,2.8572567,1.2725636,0.7734987
2053.358,1222.8358,1214.6583,37230.562,501.4394,2.8612068,1.2834821,0.7768709
2085.7961,1222.2699,1217.7059,37231.234,501.54477,2.8649225,1.2943527,0.78019285
2118.5806,1221.6315,1220.7122,37231.906,501.61392,2.8684087,1.3051739,0.7834654
2151.7107,1220.923,1223.6764,37232.582,501.64746,2.8716693,1.3159446,0.78668916
2185.1875,1220.146,1226.5985,37233.26,501.6462,2.8747091,1.3266635,0.78986496
2219.0122,1219.3025,1229.478,37233.945,501.6108,2.8775327,1.3373295,0.7929935
2253.187,1218.3949,1232.3145,37234.63,501.54202,2.8801441,1.3479415,0.79607546
2287.7097,1217.425,1235.1075,37235.324,501.44058,2.882548,1.3584983,0.79911155
2322.5815,1216.3947,1237.8569,37236.023,501.30725,2.8847494,1.368999,0.80210245
2357.8066,1215.306,1240.5625,37236.727,501.1428,2.8867524,1.3794426,0.8050488
2393.3804,1214.1609,1243.2239,37237.43,500.94794,2.8885612,1.389828,0.8079513
2429.3052,1212.9614,1245.8408,37238.14,500.72354,2.8901808,1.4001542,0.81081057
2465.5815,1211.7096,1248.4131,37238.85,500.47034,2.8916156,1.4104205,0.81362724
2502.2139,1210.4071,1250.9407,37239.57,500.18906,2.89287,1.4206259,0.81640196
2539.1973,1209.0562,1253.4233,37240.293,499.88058,2.893948,1.4307697,0.8191354
2576.5332,1207.6583,1255.8611,37241.016,499.5456,2.8948548,1.440851,0.8218281
2614.2256,1206.2156,1258.2535,37241.746,499.18497,2.8955944,1.4508691,0.8244808
2652.2715,1204.73,1260.6011,37242.477,498.79938,2.8961709,1.4608233,0.82709396
2690.6797,1203.2039,1262.9032,37243.215,498.38968,2.8965888,1.4707129,0.8296682
2729.4438,1201.6387,1265.1602,37243.953,497.95667,2.896853,1.4805372,0.83220416
2768.571,1200.0365,1267.3721,37244.695,497.50107,2.8969681,1.4902956,0.8347023
2808.0542,1198.3989,1269.5387,37245.438,497.02377,2.8969383,1.4999876,0.83716327
2847.8972,1196.7277,1271.6602,37246.184,496.52545,2.8967679,1.5096126,0.83958757
2888.101,1195.0244,1273.7367,37246.938,496.00693,2.8964612,1.51917,0.8419758
2928.6638,1193.2906,1275.7683,37247.69,495.46893,2.896022,1.5286596,0.8443285
2969.585,1191.528,1277.7551,37248.453,494.91223,2.895455,1.5380807,0.8466462
3010.8647,1189.7382,1279.6973,37249.21,494.33755,2.8947637,1.547433,0.84892935
3052.506,1187.9226,1281.5948,37249.973,493.74567,2.8939524,1.5567161,0.8511785
3094.5044,1186.0829,1283.4481,37250.74,493.13718,2.8930244,1.5659297,0.8533942
3136.8623,1184.2205,1285.2572,37251.51,492.5129,2.891984,1.5750734,0.8555769
3179.5706,1182.3589,1287.0225,37252.28,491.8735,2.8908348,1.5841469,0.85772705
3222.5833,1180.5507,1288.7443,37253.055,491.2206,2.8895962,1.5931499,0.8598452
3265.8955,1178.791,1290.4236,37253.832,490.55807,2.8883185,1.6020824,0.86193186
3309.4622,1177.0758,1292.0619,37254.613,489.88907,2.8870358,1.6109445,0.86398745
3353.3333,1175.4015,1293.66,37255.395,489.21622,2.885772,1.6197368,0.8660124
3397.5085,1173.7646,1295.2191,37256.18,488.54172,2.8845415,1.6284598,0.86800724
3441.9978,1172.163,1296.7397,37256.965,487.86743,2.883354,1.6371142,0.86997235
3486.7786,1170.5939,1298.223,37257.754,487.19492,2.8822143,1.6457008,0.8719082
3531.819,1169.0554,1299.6698,37258.547,486.5254,2.881125,1.6542203,0.87381524
3577.1272,1167.5459,1301.0807,37259.34,485.85983,2.8800867,1.6626737,0.8756939
3622.7092,1166.0638,1302.4568,37260.137,485.1992,2.8790987,1.6710616,0.87754464
3668.5732,1164.6077,1303.7986,37260.934,484.5441,2.8781598,1.6793851,0.87936777
3714.7231,1163.1763,1305.1068,37261.734,483.89508,2.8772676,1.6876446,0.8811638
3761.167,1161.7687,1306.3821,37262.535,483.25262,2.8764207,1.6958411,0.882933
3807.9062,1160.3838,1307.6251,37263.34,482.61703,2.8756163,1.7039753,0.8846759
3854.9458,1159.0209,1308.8369,37264.145,481.98862,2.8748527,1.7120479,0.8863929
3902.2834,1157.6792,1310.0178,37264.953,481.36752,2.8741276,1.7200596,0.8880843
3949.9294,1156.3579,1311.1685,37265.76,480.75394,2.873439,1.7280111,0.88975054
3997.8835,1155.0565,1312.2892,37266.574,480.14792,2.872785,1.7359031,0.89139193
4046.1533,1153.7743,1313.381,37267.387,479.54956,2.8721638,1.7437363,0.89300895
4094.7336,1152.5107,1314.4443,37268.2,478.95886,2.8715742,1.7515111,0.8946019
4143.6094,1151.2654,1315.4796,37269.016,478.37585,2.8710146,1.7592283,0.8961711
4192.759,1150.0376,1316.4874,37269.832,477.80048,2.8704834,1.7668885,0.8977169
4242.1904,1148.8271,1317.4684,37270.652,477.23276,2.869979,1.7744923,0.8992397
4291.8965,1147.6337,1318.4231,37271.473,476.67258,2.8695009,1.7820401,0.90073985
