tfp,gr_tfp,lab,gr_lab,sigma,theta1,Eland,Fex,beta_hat
11.6463,0.016799157,10679.423,0.002059238,0.13685194,0.021446273,0.6541032,0.85294163,0.9797083
11.783719,0.01671537,10701.122,0.0020007181,0.13465963,0.020997463,0.6392305,0.858824,0.9796879
11.922059,0.016632004,10722.248,0.0019439732,0.13250054,0.020557748,0.624696,0.8647064,0.9796691
12.061322,0.016549049,10742.814,0.0018889433,0.13037392,0.02012691,0.61049193,0.8705888,0.97965175
12.201502,0.016466511,10762.838,0.0018355701,0.12827912,0.01970475,0.59661067,0.87647116,0.9796359
12.342605,0.016384384,10782.332,0.0017837996,0.12621614,0.01929116,0.58304524,0.8823535,0.97962135
12.48462,0.016302666,10801.31,0.0017335773,0.124184325,0.018885948,0.5697882,0.8882358,0.9796081
12.627549,0.016221356,10819.785,0.0016848523,0.12218321,0.01848894,0.5568327,0.8941182,0.9795963
12.771387,0.016140454,10837.773,0.0016375764,0.12021238,0.018099988,0.5441719,0.90000045,0.9795856
12.916137,0.016059952,10855.285,0.0015917,0.11827141,0.017718924,0.5317987,0.90588284,0.9795762
13.06179,0.015979853,10872.334,0.0015471785,0.1163599,0.017345605,0.5197068,0.9117652,0.9795678
13.208355,0.01590015,10888.933,0.0015039686,0.11447739,0.016979866,0.5078899,0.91764766,0.9795607
13.355816,0.015820848,10905.092,0.0014620274,0.112623505,0.016621575,0.49634156,0.9235301,0.97955453
13.504179,0.01574194,10920.824,0.0014213145,0.11079765,0.016270546,0.48505592,0.9294125,0.97954947
13.653432,0.015663426,10936.139,0.0013817914,0.10899999,0.015926728,0.47402695,0.93529487,0.9795453
13.803578,0.015585306,10951.05,0.0013434194,0.10722937,0.015589868,0.46324876,0.9411772,0.97954214
13.954616,0.015507574,10965.566,0.001306163,0.10548598,0.01525991,0.45271567,0.9470595,0.97953993
14.10654,0.01543023,10979.699,0.001269986,0.10376925,0.014936692,0.44242206,0.9529419,0.9795386
14.259349,0.015353271,10993.458,0.0012348547,0.10207878,0.01462008,0.43236247,0.9588242,0.97953814
14.413039,0.0152766965,11006.854,0.001200737,0.10041421,0.0143099455,0.42253157,0.9647066,0.9795385
14.56761,0.015200501,11019.895,0.0011676009,0.098775014,0.014006136,0.4129241,0.97058904,0.9795396
14.723051,0.015124689,11032.59,0.0011354163,0.097161144,0.0137085775,0.40353513,0.9764714,0.9795415
14.879363,0.015049253,11044.95,0.0011041539,0.09557193,0.0134171,0.39435962,0.9823539,0.9795441
15.036547,0.014974194,11056.984,0.0010737852,0.09400732,0.013131624,0.3853927,0.9882363,0.9795475
15.194594,0.014899508,11068.699,0.0010442834,0.092466675,0.0128519945,0.3766298,0.9941187,0.97955143
15.353499,0.014825195,11080.105,0.001015621,0.09094978,0.012578112,0.36806604,1.0,0.9795562
15.513262,0.014751254,11091.209,0.0009877739,0.08945631,0.012309865,0.35969707,1.0,0.9795615
15.673874,0.014677682,11102.019,0.0009607166,0.08798594,0.0120471455,0.3515184,1.0,0.9795674
15.835341,0.014604475,11112.543,0.0009344254,0.08653831,0.011789834,0.34352562,1.0,0.9795739
15.997651,0.014531635,11122.789,0.00090887747,0.08511297,0.0115378145,0.33571473,1.0,0.979581
16.1608,0.014459158,11132.764,0.00088405015,0.08370988,0.011291017,0.3280814,1.0,0.9795886
16.324787,0.014387043,11142.476,0.00085992174,0.08232844,0.0110493,0.32062155,1.0,0.97959673
16.489614,0.014315286,11151.93,0.0008364718,0.080968454,0.010812577,0.31333128,1.0,0.97960544
16.65527,0.014243886,11161.135,0.0008136804,0.07962966,0.010580756,0.3062069,1.0,0.97961456
16.821747,0.014172845,11170.096,0.0007915277,0.07831171,0.010353737,0.29924446,1.0,0.9796242
16.989046,0.014102157,11178.819,0.0007699948,0.07701417,0.010131402,0.2924403,1.0,0.9796342
17.157162,0.014031822,11187.3125,0.0007490637,0.07573706,0.009913702,0.28579086,1.0,0.9796448
17.326092,0.013961837,11195.582,0.0007287166,0.07447976,0.009700501,0.27929264,1.0,0.9796557
17.495834,0.0138922,11203.632,0.00070893654,0.073242,0.009491713,0.27294216,1.0,0.979667
17.66637,0.013822913,11211.469,0.0006897068,0.072023764,0.009287285,0.26673612,1.0,0.97967875
17.837713,0.013753969,11219.1,0.0006710114,0.07082452,0.009087094,0.2606711,1.0,0.9796908
18.009846,0.013685373,11226.527,0.0006528348,0.06964409,0.008891075,0.25474414,1.0,0.9797032
18.182774,0.013617115,11233.759,0.0006351619,0.068482235,0.0086991405,0.24895181,1.0,0.979716
18.356483,0.013549199,11240.8,0.0006179784,0.06733866,0.008511213,0.24329129,1.0,0.9797291
18.530973,0.013481623,11247.654,0.0006012698,0.066212974,0.008327193,0.23775938,1.0,0.9797426
18.70624,0.013414383,11254.327,0.0005850226,0.06510504,0.008147018,0.2323533,1.0,0.9797563
18.88228,0.013347477,11260.824,0.0005692234,0.06401461,0.007970612,0.22707012,1.0,0.9797703
19.059086,0.013280906,11267.148,0.0005538595,0.0629413,0.007797884,0.22190706,1.0,0.97978455
19.236656,0.013214665,11273.307,0.00053891836,0.061884973,0.0076287743,0.2168613,1.0,0.97979915
19.414982,0.013148755,11279.301,0.000524388,0.060845282,0.0074631968,0.2119303,1.0,0.979814
19.594057,0.013083174,11285.137,0.00051025714,0.05982218,0.007301107,0.20711158,1.0,0.9798291
19.77388,0.013017921,11290.819,0.00049651344,0.058815114,0.0071423952,0.20240223,1.0,0.97984433
19.954433,0.0129529955,11296.351,0.000483147,0.057824153,0.006987034,0.1978001,1.0,0.9798599
20.135735,0.012888391,11301.736,0.00047014642,0.056848865,0.0068349256,0.19330262,1.0,0.9798756
20.317762,0.012824109,11306.9795,0.0004575014,0.055889115,0.006686021,0.18890731,1.0,0.9798916
20.500513,0.012760148,11312.083,0.00044520237,0.05494467,0.0065402547,0.18461207,1.0,0.97990775
20.68399,0.0126965055,11317.053,0.000433239,0.054015208,0.0063975486,0.1804144,1.0,0.9799241
20.868176,0.012633182,11321.891,0.00042160193,0.053100504,0.0062578437,0.1763122,1.0,0.9799406
21.053078,0.012570172,11326.601,0.00041028226,0.05220044,0.006121089,0.17230324,1.0,0.97995734
