City,Country,ERA5_C,T2100_C,beta
São Paulo,Brazil,21.611022779685477,23.568937331764836,1.2631706787608776
Buenos Aires,Argentina,16.612312312946298,17.949131503538247,0.8624639939302908
Rio de Janeiro,Brazil,22.151087062727488,23.60464444973412,0.9377789593591185
Lima,Peru,14.245926407274181,16.30021971742094,1.3253505226753286
Bogotá,Colombia,20.39599050362206,22.354108251833274,1.2633017730394949
Santiago,Chile,9.738375102573286,11.581543323768987,1.1891407878681937
Caracas,Venezuela,26.935042157082204,29.044703736599175,1.361071986785142
Quito,Ecuador,21.855075857424694,23.921043273456394,1.33288220389142
La Paz,Bolivia,11.5831758295313,13.890166033894186,1.488380777008314
Brasília,Brazil,24.376885884796206,26.249779514185,1.208318470573416
Medellín,Colombia,20.39599050362206,22.354108251833274,1.2633017730394949
Guayaquil,Ecuador,19.761328551838744,21.451414555800948,1.0903780670723906
Asunción,Paraguay,22.833503516881656,25.31981393045501,1.6040712345634545
Montevideo,Uruguay,16.307887796818108,17.59352578541121,0.8294438636084527
Curitiba,Brazil,19.53833565316974,21.42480012961318,1.2170738557699605
