Acronym,RefName,damages_mean__HadGEM2-ES,damages_min__HadGEM2-ES,damages_max__HadGEM2-ES,beta_mean__HadGEM2-ES,damages_mean__MPI-ESM-LR,damages_min__MPI-ESM-LR,damages_max__MPI-ESM-LR,beta_mean__MPI-ESM-LR
NES,N.E.South-America,-0.12372233908028275,-0.1931719033365943,-0.0867153658780998,0.9774302802376216,-0.1382880658016252,-0.19754125959694424,-0.0984456949758743,1.0909874702483757
NSA,N.South-America,-0.16753190282603564,-0.24775999949484462,-0.08905272721520907,1.2966371737428692,-0.1937919731164473,-0.270005441017664,-0.11456517148416212,1.508419274630985
NWS,N.W.South-America,-0.09982285129727314,-0.1787854091282911,0.03740723787519373,1.0357135342818748,-0.12422732509888644,-0.21341513244516386,0.045866330418459,1.3090441090074834
SAM,South-American-Monsoon,-0.14769150619314456,-0.19438705320692706,-0.005926527357863254,1.295416753904544,-0.18003073685802976,-0.23167613004045662,-0.01148806325196361,1.6017086868817905
SES,S.E.South-America,-0.05803894217526347,-0.1412352783389489,0.06034027310121037,0.7944540663668307,-0.07931329948517293,-0.19843272983026705,0.08390200586873409,1.068325373643867
SSA,S.South-America,0.0234821692520705,-0.016165035779162618,0.07351085184088291,0.5637185329150985,0.019216422314652096,-0.018787946546847012,0.0629466150085567,0.5136424325952081
SWS,S.W.South-America,-0.006299654864538403,-0.06426212775427331,0.10384007238865722,0.7602749393027108,-0.00880675394818965,-0.08147237059491719,0.13107891674118544,0.9266330915475876
