Acronym,RefName,damages_mean,damages_min,damages_max,beta_mean
NES,N.E.South-America,-0.12372233908028275,-0.1931719033365943,-0.0867153658780998,0.9774302802376216
NSA,N.South-America,-0.16753190282603564,-0.24775999949484462,-0.08905272721520907,1.2966371737428692
NWS,N.W.South-America,-0.09982285129727314,-0.1787854091282911,0.03740723787519373,1.0357135342818748
SAM,South-American-Monsoon,-0.14769150619314456,-0.19438705320692706,-0.005926527357863254,1.295416753904544
SES,S.E.South-America,-0.05803894217526347,-0.1412352783389489,0.06034027310121037,0.7944540663668307
SSA,S.South-America,0.0234821692520705,-0.016165035779162618,0.07351085184088291,0.5637185329150985
SWS,S.W.South-America,-0.006299654864538403,-0.06426212775427331,0.10384007238865722,0.7602749393027108
