Acronym,RefName,damages_mean,damages_min,damages_max,beta_mean
NES,N.E.South-America,-0.1382880658016252,-0.19754125959694424,-0.0984456949758743,1.0909874702483757
NSA,N.South-America,-0.1937919731164473,-0.270005441017664,-0.11456517148416212,1.508419274630985
NWS,N.W.South-America,-0.12422732509888644,-0.21341513244516386,0.045866330418459,1.3090441090074834
SAM,South-American-Monsoon,-0.18003073685802976,-0.23167613004045662,-0.01148806325196361,1.6017086868817905
SES,S.E.South-America,-0.07931329948517293,-0.19843272983026705,0.08390200586873409,1.068325373643867
SSA,S.South-America,0.019216422314652096,-0.018787946546847012,0.0629466150085567,0.5136424325952081
SWS,S.W.South-America,-0.00880675394818965,-0.08147237059491719,0.13107891674118544,0.9266330915475876
