con,Omega,ygross,ynet,inv,Eind,scc,carbontax,Dam,Emissions
357.6509,0.016739348,486.6781,478.53137,120.88046,66.60284,97.66845,407.4499,8.146674,67.25694
364.452,0.017044488,496.03714,487.58243,123.13042,66.79617,99.75437,405.41776,8.454699,67.4354
371.3283,0.01735128,505.50424,496.7331,125.40477,66.97958,101.869736,403.3957,8.771146,67.60428
378.28046,0.017659659,515.08044,505.9843,127.703865,67.15306,104.01499,401.38373,9.096146,67.76355
385.30875,0.017969567,524.7662,515.33636,130.02765,67.316536,106.19053,399.38184,9.429821,67.91314
392.4141,0.018280951,534.5627,524.79034,132.37628,67.47044,108.39674,397.38986,9.772314,68.05349
399.59647,0.01859375,544.4701,534.3464,134.74988,67.61465,110.63387,395.4079,10.123741,68.18444
406.85657,0.018907908,554.4895,544.00525,137.14867,67.749306,112.90243,393.43576,10.484237,68.30614
414.19455,0.019223373,564.62103,553.7671,139.57256,67.87444,115.20255,391.47354,10.853921,68.41861
421.61105,0.019540086,574.86584,563.63293,142.02185,67.99019,117.534744,389.52103,11.232928,68.521996
429.10626,0.019857991,585.22394,573.60254,144.49629,68.096596,119.89914,387.5783,11.621372,68.6163
436.68088,0.020177035,595.69666,583.67725,146.99638,68.193794,122.29622,385.64514,12.019392,68.701675
444.3346,0.020497162,606.28357,593.8565,149.52188,68.28178,124.72606,383.7218,12.427093,68.778114
452.0683,0.020818323,616.986,604.1414,152.07312,68.3606,127.18915,381.8079,12.844614,68.84566
459.8789,0.02114046,627.8037,614.5316,154.65276,68.43059,129.679,379.90366,13.2720585,68.90462
467.76093,0.021463523,638.7304,625.02094,157.26001,68.490654,132.1917,378.00888,13.709404,68.9539
475.7121,0.021787463,649.7605,635.6039,159.89182,68.54062,134.7298,376.1236,14.156632,68.99333
483.73428,0.022112217,660.89655,646.28265,162.54837,68.58073,137.29483,374.24768,14.613887,69.023155
491.8295,0.02243774,672.141,657.05963,165.23021,68.61133,139.8881,372.3811,15.081325,69.04369
499.99887,0.022763975,683.49536,667.93634,167.93745,68.63264,142.5106,370.52383,15.5590725,69.055176
508.24396,0.023090858,694.9614,678.91425,170.67026,68.64482,145.16324,368.67575,16.047256,69.05775
516.55524,0.023418339,706.5401,689.99414,173.43889,68.64824,147.85747,366.83698,16.545996,69.05177
524.94275,0.023746362,718.23376,701.17834,176.23558,68.64298,150.58603,365.00735,17.055439,69.03734
533.409,0.024074877,730.04364,712.4679,179.05896,68.62944,153.3478,363.18686,17.57571,69.01483
541.9541,0.024403833,741.96985,723.863,181.90884,68.60748,156.14244,361.37546,18.106909,68.98411
550.57825,0.024733182,754.01294,735.36383,184.78558,68.57731,158.96935,359.57306,18.64914,68.94538
559.2812,0.025062867,766.1728,746.9703,187.6891,68.539,161.82965,357.77966,19.202488,68.89869
568.06323,0.02539285,778.4499,758.6828,190.61955,68.49264,164.7238,355.99527,19.767061,68.844154
576.9244,0.02572308,790.84503,770.5021,193.57765,68.438385,167.65018,354.21964,20.34297,68.78191
585.86456,0.026053516,803.358,782.4277,196.5632,68.37618,170.61014,352.45297,20.930302,68.71189
594.8837,0.026384106,815.9887,794.45953,199.57584,68.30631,173.60356,350.6951,21.529135,68.6344
603.9805,0.026714806,828.73785,806.5982,202.6177,68.22868,176.62839,348.946,22.13957,68.54931
613.1562,0.027045578,841.60516,818.8433,205.68715,68.14346,179.68745,347.20557,22.761698,68.456795
622.412,0.027376372,854.59076,831.1952,208.78323,68.050766,182.77956,345.47385,23.395596,68.35697
631.74646,0.027707154,867.69403,843.6527,211.90622,67.9506,185.90515,343.75082,24.041332,68.24985
641.1614,0.028037874,880.916,856.21704,215.05563,67.843025,189.06477,342.0363,24.699013,68.13547
650.6562,0.028368492,894.25604,868.88745,218.23125,67.728325,192.25864,340.3304,25.368696,68.014114
660.22644,0.028698962,907.7134,881.663,221.43658,67.60627,195.4901,338.63303,26.050432,67.88557
669.87537,0.029029252,921.28894,894.5446,224.66917,67.477036,198.75616,336.944,26.74433,67.74998
679.6044,0.029359309,934.9822,907.5318,227.92741,67.340935,202.05794,335.2635,27.450432,67.60766
689.4125,0.029689107,948.7944,920.62555,231.21307,67.19791,205.39433,333.5913,28.168858,67.45857
699.2995,0.030018596,962.725,933.8253,234.52585,67.0481,208.76564,331.92758,28.899654,67.30285
709.2663,0.030347738,976.7757,947.1327,237.86646,66.891785,212.17238,330.272,29.642935,67.14073
719.3135,0.030676503,990.9465,960.5477,241.23428,66.72901,215.61504,328.6248,30.398775,66.972305
729.43524,0.031004846,1005.2378,974.07056,244.63535,66.559784,219.09346,326.98578,31.167244,66.79755
739.6285,0.031332742,1019.6506,987.7022,248.07372,66.38439,222.6084,325.35492,31.948448,66.61675
749.9038,0.03166014,1034.1868,1001.4443,251.54051,66.203064,226.16093,323.73218,32.7425,66.43014
760.26056,0.03198701,1048.8453,1015.2959,255.03532,66.015686,229.75098,322.11758,33.54943,66.23759
770.69934,0.032313325,1063.6271,1029.2577,258.55832,65.82253,233.3788,320.51096,34.369324,66.03938
781.2137,0.03263905,1078.5315,1043.3292,262.11548,65.62354,237.04758,318.91235,35.20224,65.83547
791.7932,0.032964148,1093.5592,1057.5109,265.71762,65.41909,240.76376,317.32175,36.048244,65.6262
802.45593,0.033288583,1108.7124,1071.8048,269.3489,65.20904,244.51952,315.73904,36.907463,65.411446
813.2129,0.03361233,1123.9891,1086.2092,272.9963,64.99371,248.3158,314.16434,37.77989,65.19151
824.062,0.033935357,1139.3853,1100.7197,276.65768,64.77276,252.14934,312.59738,38.665443,64.96606
834.98346,0.034257643,1154.8937,1115.3298,280.3464,64.54599,256.01495,311.0383,39.563934,64.7349
845.9792,0.034579143,1170.517,1130.0414,284.06223,64.31366,259.914,309.487,40.475475,64.49828
857.0512,0.034899842,1186.2574,1144.8573,287.80603,64.075935,263.84784,307.94342,41.400196,64.256355
868.19977,0.0352197,1202.1152,1159.7771,291.57742,63.832924,267.81702,306.4075,42.33814,64.00923
879.4265,0.035538677,1218.0924,1174.8031,295.3765,63.58496,271.82263,304.87927,43.28939,63.75726
890.73083,0.035856765,1234.1884,1189.9342,299.20343,63.332104,275.8647,303.35867,44.254,63.500496
902.1143,0.03617392,1250.4047,1205.1725,303.05823,63.074486,279.94415,301.84564,45.23204,63.239044
913.5761,0.036490124,1266.7408,1220.5172,306.94116,62.812252,284.06082,300.34024,46.223526,62.97307
925.1174,0.036805335,1283.1978,1235.9692,310.85187,62.54557,288.21533,298.8423,47.228527,62.702732
