kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
228.31361,0.98120856,0.941649,-0.44049263,-0.0012317359,-0.84499085,-0.03606904,-0.23941216
233.99634,0.98811984,0.93901587,-0.4378336,-0.0012642896,-0.8419905,-0.036559258,-0.23985964
240.0949,0.9938629,0.9369814,-0.43553948,-0.0012421632,-0.8393585,-0.036968917,-0.24046972
246.57991,0.99861944,0.93542707,-0.43359742,-0.0011740822,-0.83712935,-0.03740516,-0.24119127
253.42918,1.0025314,0.93425375,-0.43186218,-0.0011197493,-0.8352264,-0.03783005,-0.24200362
260.6238,1.0057327,0.93344194,-0.4302961,-0.001087882,-0.8336287,-0.038237605,-0.2428734
268.14832,1.0083187,0.9329033,-0.42887893,-0.0010973326,-0.8322753,-0.03871985,-0.24379516
275.98438,1.0103787,0.93266165,-0.42766762,-0.0011018395,-0.83121157,-0.03921873,-0.24481055
284.11707,1.0120001,0.9326736,-0.42660224,-0.0010827297,-0.83038175,-0.039731126,-0.24594802
292.53152,1.0132409,0.93291765,-0.42569384,-0.0010781974,-0.82975924,-0.040252518,-0.24715081
301.2328,1.0141853,0.93338764,-0.4249239,-0.0010820426,-0.8292931,-0.040794253,-0.24836305
310.2085,1.0148379,0.93403685,-0.424284,-0.0010860298,-0.829015,-0.041353215,-0.24965611
319.44867,1.0152524,0.9348435,-0.42375854,-0.0010900261,-0.82890385,-0.041928217,-0.251023
328.96182,1.01551,0.9358033,-0.423377,-0.0010958685,-0.82898295,-0.042520374,-0.2524655
338.73544,1.0155661,0.9368945,-0.42308217,-0.0011020323,-0.8291943,-0.04312737,-0.25397316
348.76074,1.0154616,0.9380924,-0.42286626,-0.0011066081,-0.8295219,-0.043742314,-0.25553834
359.0311,1.0152314,0.93937314,-0.42272568,-0.001108305,-0.8299528,-0.04435704,-0.25715587
369.5396,1.0148895,0.94073904,-0.4226376,-0.0011112354,-0.83046836,-0.044982422,-0.25881663
380.28027,1.0144576,0.94217753,-0.42259526,-0.0011143704,-0.8310563,-0.04561658,-0.26051533
391.2488,1.0139533,0.94367945,-0.4225919,-0.0011183148,-0.83170855,-0.04625885,-0.26224715
402.44238,1.0133916,0.9452359,-0.42262352,-0.0011232196,-0.83241665,-0.046907265,-0.26400846
413.85803,1.0127836,0.94684094,-0.42268595,-0.00112848,-0.8331755,-0.047560968,-0.26579612
425.4947,1.0121387,0.9484889,-0.422776,-0.0011345762,-0.8339799,-0.048219267,-0.26760757
437.3512,1.0114641,0.9501748,-0.42289114,-0.0011409564,-0.83482486,-0.04888172,-0.26944
449.42734,1.0107663,0.9518961,-0.4230292,-0.001147952,-0.8357077,-0.049547464,-0.2712919
461.72382,1.0100518,0.95365095,-0.4231958,-0.0011578164,-0.83663553,-0.050217275,-0.2731616
474.241,1.0093285,0.9554376,-0.42339727,-0.0011804668,-0.83761895,-0.050904505,-0.27505073
486.9803,1.008594,0.95725197,-0.4236198,-0.0012059958,-0.8386361,-0.051596884,-0.27695557
499.9426,1.0078496,0.959092,-0.4238588,-0.0012320826,-0.83968216,-0.05229115,-0.2788755
513.12885,1.0070965,0.96095663,-0.4241144,-0.0012582814,-0.8407555,-0.052986786,-0.2808084
526.54016,1.0063382,0.9628445,-0.42438513,-0.0012851934,-0.8418548,-0.05368377,-0.28275454
540.1691,1.0055767,0.96473914,-0.42467144,-0.0013109156,-0.8429755,-0.054379053,-0.28469473
553.9881,1.0048255,0.966603,-0.42497787,-0.0013361507,-0.8441056,-0.055066574,-0.28659514
568.00323,1.0041074,0.96847194,-0.42530993,-0.0013716541,-0.8452461,-0.05575406,-0.28852218
582.22095,1.0034226,0.97034574,-0.4256755,-0.0013988275,-0.8464018,-0.056436345,-0.29046157
596.64703,1.0027615,0.9722258,-0.42605755,-0.0014245146,-0.8475708,-0.057116326,-0.29240757
611.2855,1.0021179,0.97411317,-0.426448,-0.0014509101,-0.8487533,-0.057795122,-0.29435775
626.13513,1.0015018,0.9759994,-0.4268766,-0.0014787532,-0.849969,-0.05847364,-0.29632783
641.18823,1.0009338,0.9778691,-0.4273678,-0.0015019762,-0.8512325,-0.059170906,-0.2983105
656.4491,1.000394,0.9797303,-0.42788103,-0.0015198857,-0.8525126,-0.059867423,-0.30029204
671.9197,0.9998806,0.9815662,-0.42843974,-0.0015128761,-0.8538147,-0.06052663,-0.30226398
687.6053,0.99938697,0.9834075,-0.42900515,-0.0015069327,-0.8551273,-0.061184075,-0.30423847
703.51044,0.99890953,0.985256,-0.4295778,-0.0015018476,-0.85645205,-0.061840367,-0.30621567
719.6398,0.99844515,0.9871119,-0.43015856,-0.0014971868,-0.8577896,-0.062495116,-0.30819574
735.9967,0.9979915,0.9889776,-0.4307485,-0.0014927754,-0.8591409,-0.063148595,-0.31017968
752.58527,0.9975464,0.9908529,-0.4313479,-0.0014887893,-0.8605069,-0.063800775,-0.31216666
769.4078,0.9971088,0.9927376,-0.43195668,-0.0014854233,-0.8618872,-0.06445175,-0.31415722
786.4698,0.9966888,0.99465775,-0.43259692,-0.0014814584,-0.8633091,-0.065108635,-0.3161589
803.7797,0.9963035,0.99666,-0.43330944,-0.0014781101,-0.8648218,-0.06578401,-0.31818488
821.28436,0.99598604,0.9986222,-0.43403998,-0.00148123,-0.86633694,-0.06644193,-0.32017332
838.9873,0.9957119,1.0005718,-0.43477002,-0.0014874988,-0.8678498,-0.06709465,-0.32215223
856.897,0.99546856,1.0025179,-0.43549907,-0.0014948641,-0.8693629,-0.06774408,-0.32412753
875.01855,0.99524254,1.0044771,-0.43626696,-0.00151538,-0.870912,-0.06839485,-0.32614446
893.35815,0.9950346,1.0064437,-0.4370546,-0.0015423036,-0.8724809,-0.069044635,-0.32817924
911.92316,0.9948473,1.008418,-0.4378453,-0.0015690256,-0.87405926,-0.069687635,-0.33021954
930.72095,0.9946896,1.0104382,-0.43863344,-0.0015890464,-0.8756634,-0.07029477,-0.33230644
949.75574,0.99454236,1.0124643,-0.43942896,-0.0016097486,-0.87727916,-0.07089996,-0.33439294
969.03143,0.99440366,1.0144976,-0.4402317,-0.0016303306,-0.87890524,-0.07150337,-0.33647963
988.5527,0.99427205,1.0165385,-0.441042,-0.0016515091,-0.8805429,-0.07210502,-0.33856714
1008.32214,0.9941455,1.0185874,-0.4418605,-0.0016725099,-0.8821925,-0.07270473,-0.34065458
1028.3363,0.9940552,1.020717,-0.44275114,-0.0016846407,-0.88396066,-0.07333181,-0.342805
1048.5969,0.9939829,1.0228789,-0.4436712,-0.0016941327,-0.8857775,-0.07396711,-0.34497663
1069.1077,0.993917,1.0250472,-0.44459805,-0.0017036624,-0.8876039,-0.07460043,-0.3471477
1089.8721,0.99385595,1.0272225,-0.44553196,-0.0017133547,-0.8894397,-0.07523159,-0.3493177
1110.8928,0.99379915,1.0294058,-0.44647318,-0.0017231338,-0.8912867,-0.07586083,-0.35148725
1132.1732,0.99374515,1.031596,-0.44742203,-0.0017324433,-0.8931443,-0.07648762,-0.35365567
1153.716,0.9936939,1.0337939,-0.4483779,-0.0017422944,-0.89501184,-0.077112585,-0.35582367
1175.523,0.99364424,1.036,-0.4493416,-0.0017516924,-0.89689004,-0.077735305,-0.35798997
1197.597,0.99359626,1.0382135,-0.4503124,-0.0017611986,-0.89877903,-0.07835596,-0.36015588
1219.94,0.993549,1.0404348,-0.45129055,-0.0017703444,-0.9006785,-0.07897451,-0.36232072
1242.5541,0.9935026,1.042664,-0.45227596,-0.0017794335,-0.90258765,-0.07959069,-0.36448404
1265.4429,0.9934564,1.0449004,-0.45326877,-0.0017883639,-0.90450716,-0.08020488,-0.36664587
1288.6068,0.99341035,1.0471444,-0.45426878,-0.0017969384,-0.90643597,-0.08081671,-0.36880642
1312.0487,0.9933644,1.0493957,-0.4552758,-0.0018056756,-0.90837497,-0.08142639,-0.37096527
1335.7179,0.9933268,1.0516132,-0.45627823,-0.0018087473,-0.9102999,-0.08202343,-0.37308347
1359.577,0.9933162,1.053788,-0.4572691,-0.001807396,-0.91220134,-0.08260774,-0.3751587
1383.6415,0.9933387,1.05595,-0.45825267,-0.0018076372,-0.91409326,-0.08318801,-0.37722343
1407.9258,0.9933875,1.0581032,-0.4592323,-0.0018092409,-0.9159799,-0.08376504,-0.37927973
