kx,MATx,MUOx,MLOx,MLFx,TATx,TOCx,taux
1265.3658,1331.3456,1248.7222,37292.637,697.59467,2.9470727,0.99745643,0.66040504
1288.5302,1338.4513,1255.2179,37293.855,701.5396,2.9700713,1.0108893,0.665461
1311.9706,1345.5375,1261.7415,37295.086,705.4787,2.9929621,1.0243881,0.6704416
1335.6399,1352.603,1268.2916,37296.332,709.4114,3.0157442,1.0379516,0.6753481
1359.4987,1359.6471,1274.8677,37297.6,713.33704,3.0384166,1.0515785,0.6801815
1383.5627,1366.6682,1281.4685,37298.883,717.25507,3.0609775,1.0652678,0.68494296
1407.8468,1373.6653,1288.0934,37300.18,721.1648,3.0834262,1.0790182,0.6896336
1432.3615,1380.6372,1294.7413,37301.496,725.0658,3.105761,1.0928286,0.6942544
1457.1155,1387.583,1301.411,37302.824,728.95734,3.1279805,1.1066977,0.6988064
1482.1167,1394.502,1308.102,37304.17,732.83887,3.1500833,1.1206243,0.70329064
1507.3798,1401.393,1314.813,37305.54,736.70984,3.1720684,1.1346073,0.7077081
1532.91,1408.2554,1321.5431,37306.918,740.5696,3.1939347,1.1486454,0.71205986
1558.709,1415.0883,1328.2913,37308.32,744.4176,3.2156813,1.1627375,0.71634674
1584.7799,1421.891,1335.0568,37309.734,748.2534,3.2373078,1.1768823,0.72056985
1611.1204,1428.6627,1341.8387,37311.16,752.0764,3.2588124,1.1910785,0.7247301
1637.7323,1435.4028,1348.6357,37312.605,755.8861,3.2801955,1.2053252,0.7288283
1664.62,1442.1107,1355.4474,37314.066,759.682,3.3014557,1.2196211,0.7328656
1691.7815,1448.7852,1362.2723,37315.547,763.4637,3.3225932,1.2339649,0.7368427
1719.2164,1455.426,1369.1096,37317.043,767.23065,3.3436067,1.2483556,0.74076056
1746.927,1462.0321,1375.9586,37318.56,770.98236,3.364496,1.2627919,0.7446202
1774.9089,1468.603,1382.8181,37320.086,774.71844,3.3852608,1.2772726,0.7484224
1803.1655,1475.1381,1389.6871,37321.637,778.4385,3.4059005,1.2917966,0.75216794
1831.6908,1481.6365,1396.5651,37323.2,782.1419,3.426415,1.3063627,0.7558577
1860.4918,1488.0978,1403.4507,37324.785,785.82837,3.4468036,1.3209699,0.7594925
1889.5626,1494.5211,1410.3431,37326.383,789.49744,3.467066,1.335617,0.76307327
1918.896,1500.9061,1417.2416,37328.0,793.14874,3.487202,1.3503026,0.76660067
1948.4977,1507.252,1424.1451,37329.637,796.78186,3.5072112,1.3650258,0.77007556
1978.3694,1513.558,1431.0527,37331.29,800.3963,3.527093,1.3797854,0.7734987
2008.5111,1519.8237,1437.9635,37332.957,803.9919,3.5468478,1.3945804,0.7768709
2038.9258,1526.0487,1444.8767,37334.645,807.568,3.566475,1.4094095,0.78019285
2069.6194,1532.2322,1451.7911,37336.348,811.12445,3.5859742,1.4242717,0.7834654
2100.5942,1538.3739,1458.7062,37338.07,814.66077,3.6053457,1.4391658,0.78668916
2131.8535,1544.4733,1465.6207,37339.81,818.17676,3.6245892,1.4540908,0.78986496
2163.4028,1550.5297,1472.5342,37341.562,821.6719,3.643705,1.4690455,0.7929935
2195.253,1556.5428,1479.4454,37343.34,825.14594,3.662692,1.4840289,0.79607546
2227.4014,1562.5123,1486.3536,37345.13,828.5986,3.681551,1.4990399,0.79911155
2259.8494,1568.4376,1493.258,37346.934,832.0295,3.700282,1.5140774,0.80210245
2292.596,1574.3184,1500.1576,37348.758,835.4383,3.718885,1.5291404,0.8050488
2325.646,1580.1542,1507.0518,37350.6,838.8249,3.7373598,1.5442277,0.8079513
2359.0132,1585.9447,1513.9393,37352.46,842.1887,3.7557065,1.5593385,0.81081057
2392.69,1591.6896,1520.8198,37354.34,845.5298,3.7739253,1.5744715,0.81362724
2426.6365,1597.3887,1527.6921,37356.234,848.8477,3.7920165,1.5896257,0.81640196
2460.8115,1603.0411,1534.5557,37358.15,852.1422,3.8099804,1.6048002,0.8191354
2495.2292,1608.6469,1541.4095,37360.08,855.4131,3.8278165,1.6199939,0.8218281
2529.9045,1614.2053,1548.2528,37362.023,858.6601,3.8455257,1.6352059,0.8244808
2564.8445,1619.7162,1555.085,37363.99,861.883,3.8631077,1.650435,0.82709396
2600.0574,1625.1791,1561.905,37365.97,865.0814,3.880562,1.6656803,0.8296682
2635.5461,1630.5935,1568.7122,37367.965,868.2553,3.8978896,1.6809409,0.83220416
2671.3184,1635.9595,1575.5057,37369.98,871.40436,3.9150903,1.6962156,0.8347023
2707.3748,1641.2766,1582.2849,37372.01,874.52826,3.9321644,1.7115036,0.83716327
2743.7183,1646.5447,1589.049,37374.062,877.62695,3.9491115,1.726804,0.83958757
2780.353,1651.7635,1595.7971,37376.125,880.7002,3.9659324,1.7421157,0.8419758
