lat,lon,dT_local
-87.5,-177.5,1.0865155396137962
-87.5,-175.0,1.0749816477201877
-87.5,-172.5,1.0671566724777222
-87.5,-170.0,1.056942830006651
-87.5,-167.5,1.048659488659681
-87.5,-165.0,1.0334619283676147
-87.5,-162.5,1.0210047445742831
-87.5,-160.0,1.0095666613816965
-87.5,-157.5,0.9987377524375916
-87.5,-155.0,0.9905228492422853
-87.5,-152.5,0.9869870102775761
-87.5,-150.0,0.977457582950592
-87.5,-147.5,0.9755865564900098
-87.5,-145.0,0.9757459033282085
-87.5,-142.5,0.9694913625717163
-87.5,-140.0,0.9719911306033756
-87.5,-137.5,0.9730529125501959
-87.5,-135.0,0.9756996035575867
-87.5,-132.5,0.9839606685408361
-87.5,-130.0,0.9912882355949892
-87.5,-127.5,1.0003952980041504
-87.5,-125.0,1.0133382878655302
-87.5,-122.5,1.0226936229273724
-87.5,-120.0,1.0347976684570312
-87.5,-117.5,1.0420677448882412
-87.5,-115.0,1.0467627466113993
-87.5,-112.5,1.0487531423568726
-87.5,-110.0,1.0498136425127862
-87.5,-107.5,1.0503415301813994
-87.5,-105.0,1.0513545274734497
-87.5,-102.5,1.050164648025102
-87.5,-100.0,1.0463955082625844
-87.5,-97.5,1.038159966468811
-87.5,-95.0,1.0292464733144098
-87.5,-92.5,1.0214275452763963
-87.5,-90.0,1.0122172832489014
-87.5,-87.5,1.0075751185744255
-87.5,-85.0,1.0013832488817809
-87.5,-82.5,0.9992856979370117
-87.5,-80.0,0.998007346894371
-87.5,-77.5,1.0026774542306442
-87.5,-75.0,1.0046898126602173
-87.5,-72.5,1.010447521072837
-87.5,-70.0,1.0135497612653463
-87.5,-67.5,1.0201958417892456
-87.5,-65.0,1.0262283721892405
-87.5,-62.5,1.0329486055260175
-87.5,-60.0,1.0396846532821655
-87.5,-57.5,1.0470928183956132
-87.5,-55.0,1.0507620859263507
-87.5,-52.5,1.0564725399017334
-87.5,-50.0,1.0606083956611845
-87.5,-47.5,1.0659798499290654
-87.5,-45.0,1.0696253776550293
-87.5,-42.5,1.073998478046623
-87.5,-40.0,1.0765756408155935
-87.5,-37.5,1.0809099674224854
-87.5,-35.0,1.0854288547798439
-87.5,-32.5,1.089263721354232
-87.5,-30.0,1.0913801193237305
-87.5,-27.5,1.0974765639369921
-87.5,-25.0,1.0992773377753635
-87.5,-22.5,1.1032280921936035
-87.5,-20.0,1.1087124070362004
-87.5,-17.5,1.1113619663350924
-87.5,-15.0,1.1178332567214966
-87.5,-12.5,1.1220442137642253
-87.5,-10.0,1.1288947850313091
-87.5,-7.5,1.134600043296814
-87.5,-5.0,1.1404027186300978
-87.5,-2.5,1.1485228698153953
-87.5,0.0,1.1533687114715576
-87.5,2.5,1.1607850088733591
-87.5,5.0,1.1656728046636542
-87.5,7.5,1.1700985431671143
-87.5,10.0,1.1757755261559084
-87.5,12.5,1.1812388405292553
-87.5,15.0,1.1862517595291138
-87.5,17.5,1.191884527477591
-87.5,20.0,1.195011671365518
-87.5,22.5,1.199872374534607
-87.5,25.0,1.203953152451173
-87.5,27.5,1.2091880956562533
-87.5,30.0,1.2121257781982422
-87.5,32.5,1.2157670714587296
-87.5,35.0,1.2208157000779067
-87.5,37.5,1.2237780094146729
-87.5,40.0,1.2269531260148834
-87.5,42.5,1.2316719237241822
-87.5,45.0,1.2331874370574951
-87.5,47.5,1.2344567426818918
-87.5,50.0,1.2376122421926379
-87.5,52.5,1.239952802658081
-87.5,55.0,1.2440656110871384
