Region,0
ARP,1.1625245434971476
CAF,0.8458331533009988
CAR,0.7653395004231252
CAU,0.8827763691676456
CNA,1.3927948400570282
EAN,1.0281837014734312
EAS,1.1982432412658983
EAU,0.7587376869805912
ECA,1.5469386218868457
EEU,1.4500439250236279
ENA,1.3457792082091513
ESAF,1.0679434579491034
ESB,1.746494834111519
GIC,1.6315442579072321
MDG,0.8254049224459276
MED,1.2342717208948275
NAU,1.007920420751171
NCA,1.022530814065533
NEAF,0.7921044372928553
NEN,2.155733915146208
NES,0.9780897248180986
NEU,1.2710397473985011
NSA,1.0147900328968815
NWN,1.8119527599836156
NWS,0.9070623315219433
NZ,0.7332795432463948
RAR,2.1972593088678822
RAR*,2.4626657439403536
RFE,1.7191431093902232
SAH,1.2229081865725144
SAM,1.3659063829276317
SAS,1.0553291145072115
SAU,0.7319710984053918
SCA,0.9120871917921418
SEA,0.7929804987341196
SEAF,0.9196398855539314
SES,0.9240537763809982
SSA,0.5735195452973954
SWS,0.9139866565955698
TIB,1.53931844451643
WAF,0.8213294481960716
WAN,1.0133996073325984
WCA,1.2523255457877318
WCE,1.1391769858832297
WNA,1.3521972757642446
WSAF,1.0630192268192036
WSB,1.6922348625669141
