Region,0
ARP,1.311124824172445
CAF,1.229536850668973
CAR,0.8728326806260895
CAU,1.2553660410142466
CNA,1.387032731745914
EAN,1.2308541229223935
EAS,1.3631982856491909
EAU,1.319901678586955
ECA,1.3650097139982873
EEU,1.7157558861318574
ENA,1.3331668624678363
ESAF,1.587113667124353
ESB,1.348760557611968
GIC,1.2478623140305465
MDG,1.0888091074472264
MED,1.2946714215481983
NAU,1.0610667512035508
NCA,1.1947153441069578
NEAF,1.2604673546195384
NEN,1.8735463802332595
NES,1.2210253166462528
NEU,1.5362181344260233
NSA,1.1503811150827923
NWN,1.536361417558163
NWS,1.1486292669594487
NZ,0.9677387103108971
RAR,1.5610322157583418
RAR*,1.8071223736458235
RFE,1.3779900291422056
SAH,1.4602244897016472
SAM,1.2213215388069953
SAS,1.1605721867558882
SAU,0.9657679129185065
SCA,1.048900548338347
SEA,0.9939445064605207
SEAF,1.3409840584917148
SES,0.6206064578577819
SSA,1.103005845535928
SWS,1.1143619242986904
TIB,1.7386585550721017
WAF,1.1290290679773787
WAN,0.8949926815880092
WCA,1.3587180448303269
WCE,1.418748442732091
WNA,1.3086763020420111
WSAF,1.489658453082722
WSB,1.3512459641126906
