con,Omega,Theta,ygross,ynet,inv,Eind,carbontax,Abatement,Dam,Emissions
266.9945,0.0030266077,0.02819139,371.40784,370.28372,92.85042,0.0,434.8139,10.470503,1.1241058,0.8820653
273.0668,0.003021771,0.027607234,379.54346,378.39658,94.88328,0.0,432.64526,10.478145,1.1468935,0.8620093
279.21954,0.0030169992,0.02703469,387.7833,386.61334,96.941826,0.0,430.48746,10.483601,1.1699419,0.8424093
285.45438,0.0030122881,0.02647363,396.1282,394.935,99.025246,0.0,428.34033,10.486952,1.1932523,0.823255
291.7668,0.0030076362,0.025923794,404.5787,403.36185,101.13836,0.0,426.20395,10.488214,1.2168255,0.80453616
298.158,0.0030030403,0.025385015,413.1347,411.894,103.28012,0.0,424.07834,10.487431,1.2406602,0.78624314
304.63074,0.002998498,0.024856977,421.7966,420.5319,105.44797,0.0,421.96323,10.48459,1.2647563,0.76836574
311.1848,0.0029940093,0.024339572,430.56528,429.27618,107.64296,0.0,419.85864,10.479774,1.2891163,0.7508949
317.82007,0.0029895715,0.023832502,439.44138,438.12762,109.86588,0.0,417.76456,10.472987,1.3137414,0.73382133
324.5352,0.0029851845,0.02333566,448.42523,447.08658,112.118355,0.0,415.68094,10.464298,1.338632,0.7171359
331.33276,0.002980847,0.022848805,457.5175,456.1537,114.39834,0.0,413.60776,10.453728,1.3637897,0.70083004
338.21375,0.0029765586,0.022371741,466.719,465.3298,116.705795,0.0,411.5449,10.441317,1.3892165,0.68489486
345.17236,0.0029723167,0.021904316,476.03052,474.6156,119.04712,0.0,409.49225,10.427123,1.4149135,0.669322
352.21667,0.0029681223,0.021446273,485.45255,484.01166,121.41474,0.0,407.4499,10.411148,1.4408826,0.6541032
359.34753,0.0029639741,0.020997463,494.9861,493.51895,123.808846,0.0,405.41776,10.393453,1.4671261,0.6392305
366.5623,0.0029598717,0.020557748,504.63162,503.13797,126.2323,0.0,403.3957,10.37409,1.4936448,0.62469596
373.8576,0.0029558153,0.02012691,514.39,512.86957,128.68951,0.0,401.38373,10.353083,1.5204419,0.61049193
381.23785,0.0029518039,0.01970475,524.2621,522.71454,131.17673,0.0,399.38184,10.330453,1.5475187,0.59661067
388.70386,0.0029478378,0.01929116,534.2488,532.6739,133.69412,0.0,397.38986,10.306278,1.5748787,0.58304524
396.25693,0.0029439167,0.018885948,544.3496,542.74713,136.23991,0.0,395.4079,10.28056,1.6025199,0.56978816
403.8984,0.0029400394,0.01848894,554.56525,552.9348,138.81325,0.0,393.43576,10.253324,1.6304438,0.5568326
411.61075,0.0029362075,0.018099988,564.896,563.2374,141.43207,0.0,391.47354,10.224611,1.658652,0.5441719
419.4093,0.0029324184,0.017718924,575.3439,573.65674,144.08281,0.0,389.52103,10.194474,1.6871489,0.5317987
427.29767,0.0029286726,0.017345605,585.9091,584.1932,146.76236,0.0,387.5783,10.162949,1.7159361,0.5197067
435.2719,0.0029249715,0.016979866,596.59265,594.8476,149.47525,0.0,385.64514,10.130062,1.7450163,0.5078899
443.32526,0.002921313,0.016621575,607.3942,605.6198,152.2282,0.0,383.7218,10.095849,1.7743886,0.49634153
451.46945,0.0029176977,0.016270546,618.3153,616.5113,155.01082,0.0,381.8079,10.060328,1.804057,0.48505595
459.70428,0.002914125,0.015926728,629.3555,627.52155,157.8229,0.0,379.90366,10.023575,1.8340209,0.47402695
468.03067,0.002910596,0.015589868,640.5159,638.6517,160.66447,0.0,378.00888,9.9855585,1.8642832,0.46324873
476.44354,0.00290711,0.01525991,651.7965,649.9017,163.5407,0.0,376.1236,9.946357,1.8948442,0.45271567
484.94815,0.0029036654,0.014936692,663.198,661.27234,166.44696,0.0,374.24768,9.905985,1.9257052,0.44242203
493.54483,0.002900263,0.01462008,674.7208,672.764,169.38329,0.0,372.3811,9.864471,1.9568678,0.43236247
502.22684,0.0028969028,0.0143099455,686.3652,684.3769,172.35669,0.0,370.52383,9.821849,1.9883332,0.42253155
510.99875,0.002893584,0.014006136,698.1297,696.10956,175.36102,0.0,368.67575,9.778099,2.020097,0.4129241
519.86163,0.0028903072,0.0137085775,710.014,707.9618,178.39505,0.0,366.83698,9.733282,2.0521586,0.40353513
528.8158,0.0028870727,0.0134171,722.01904,719.9345,181.45929,0.0,365.00735,9.687402,2.0845215,0.39435962
537.8623,0.0028838785,0.013131624,734.1452,732.0281,184.55304,0.0,363.18686,9.640519,2.1171856,0.3853927
547.0005,0.0028807258,0.0128519945,746.3925,744.2424,187.67693,0.0,361.37546,9.592633,2.1501524,0.3766298
556.2305,0.002877614,0.012578112,758.7611,756.5777,190.83089,0.0,359.57306,9.543782,2.1834216,0.36806604
565.55255,0.002874543,0.012309865,771.2513,769.03424,194.01498,0.0,357.77966,9.493999,2.2169948,0.35969707
574.96686,0.0028715115,0.0120471455,783.86334,781.6125,197.22939,0.0,355.99527,9.4433155,2.2508726,0.35151836
584.474,0.0028685208,0.011789834,796.59827,794.31323,200.47446,0.0,354.21964,9.391762,2.2850587,0.3435256
594.07404,0.0028655701,0.0115378145,809.456,807.13654,203.74988,0.0,352.45297,9.339354,2.3195531,0.33571473
603.7671,0.002862659,0.011291017,822.4368,820.0826,207.05591,0.0,350.6951,9.286148,2.3543563,0.3280814
613.5539,0.002859788,0.0110493,835.5415,833.1521,210.39249,0.0,348.946,9.232149,2.3894715,0.32062155
623.43274,0.0028569566,0.010812577,848.7703,846.3455,213.76157,0.0,347.20557,9.177395,2.4248998,0.31333125
633.4014,0.002854164,0.010580756,862.1226,859.6619,217.1646,0.0,345.47385,9.121909,2.4606392,0.30620688
643.4604,0.0028514108,0.010353737,875.59717,873.1006,220.60027,0.0,343.75082,9.065703,2.4966874,0.29924446
653.6115,0.002848696,0.010131402,889.19415,886.66113,224.0665,0.0,342.0363,9.008784,2.5330439,0.2924403
