,foc_kplus,foc_lambd
count,5.120e+03,5.120e+03
mean,1.814e-04,3.192e-04
std,2.267e-04,2.281e-04
min,7.153e-07,0.000e+00
0.1%,7.153e-07,0.000e+00
25%,5.125e-05,1.423e-04
50%,8.661e-05,3.192e-04
75%,2.239e-04,4.388e-04
99.9%,2.085e-03,1.076e-03
max,2.085e-03,1.076e-03
