foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
1.083e-03,2.573e-03,8.273e-05,3.294e-04,3.157e-04,6.318e-06,6.004e-05,9.537e-05,1.231e-04
9.781e-04,2.571e-03,1.078e-04,3.039e-04,3.836e-04,1.017e-04,6.625e-05,9.787e-05,4.977e-06
8.929e-04,2.573e-03,1.357e-04,3.263e-04,4.678e-04,1.723e-04,2.649e-05,2.254e-04,8.655e-05
8.619e-04,2.605e-03,1.663e-04,3.619e-04,4.929e-04,1.871e-04,2.329e-05,2.384e-04,1.226e-04
8.470e-04,2.676e-03,1.976e-04,3.432e-04,5.146e-04,2.012e-04,1.280e-05,2.104e-04,1.151e-04
8.286e-04,2.729e-03,2.300e-04,3.265e-04,5.425e-04,2.143e-04,1.820e-06,1.863e-04,1.054e-04
8.373e-04,2.766e-03,2.626e-04,3.334e-04,5.192e-04,1.963e-04,2.498e-06,1.559e-04,1.057e-04
8.390e-04,2.822e-03,2.934e-04,3.303e-04,5.049e-04,1.714e-04,5.397e-06,1.394e-04,1.003e-04
7.799e-04,2.883e-03,3.232e-04,2.837e-04,5.529e-04,9.990e-05,3.387e-05,2.060e-04,4.923e-05
7.796e-04,2.865e-03,3.577e-04,3.070e-04,5.752e-04,8.324e-05,3.236e-05,1.619e-04,4.494e-05
7.817e-04,2.869e-03,3.887e-04,3.323e-04,5.970e-04,6.855e-05,3.205e-05,1.219e-04,3.994e-05
7.870e-04,2.894e-03,4.165e-04,3.559e-04,6.201e-04,5.510e-05,3.114e-05,8.559e-05,3.383e-05
7.798e-04,2.937e-03,4.409e-04,3.907e-04,5.748e-04,1.615e-05,2.952e-05,1.007e-05,4.506e-05
7.527e-04,2.926e-03,4.640e-04,4.283e-04,4.677e-04,4.163e-05,3.053e-05,1.497e-04,7.027e-05
7.272e-04,2.821e-03,4.859e-04,4.390e-04,4.534e-04,5.952e-05,2.922e-05,1.915e-04,6.738e-05
7.045e-04,2.744e-03,5.014e-04,4.498e-04,4.396e-04,7.433e-05,2.694e-05,2.288e-04,6.551e-05
6.859e-04,2.694e-03,5.109e-04,4.601e-04,4.309e-04,8.830e-05,2.704e-05,2.590e-04,6.330e-05
6.686e-04,2.667e-03,5.150e-04,4.704e-04,4.241e-04,1.011e-04,2.439e-05,2.878e-04,6.035e-05
6.610e-04,2.659e-03,5.141e-04,5.185e-04,6.694e-04,1.514e-05,3.424e-05,7.021e-05,6.369e-05
6.561e-04,2.672e-03,5.170e-04,5.566e-04,9.098e-04,8.762e-05,4.556e-05,1.845e-04,1.956e-04
6.436e-04,2.704e-03,5.254e-04,5.321e-04,8.057e-04,7.549e-05,4.205e-05,1.633e-04,1.777e-04
6.396e-04,2.750e-03,5.288e-04,5.365e-04,6.707e-04,6.485e-05,1.715e-05,1.485e-04,4.089e-05
6.401e-04,2.841e-03,5.184e-04,5.082e-04,5.498e-04,5.761e-05,1.147e-05,1.357e-04,6.109e-06
6.319e-04,2.945e-03,5.025e-04,4.647e-04,4.512e-04,6.855e-05,1.967e-06,1.453e-04,2.831e-06
5.033e-04,3.054e-03,4.844e-04,3.130e-04,6.243e-04,1.685e-04,2.268e-05,2.759e-04,2.016e-04
3.654e-04,3.151e-03,4.876e-04,2.858e-04,6.000e-04,1.073e-04,3.217e-05,2.135e-04,3.465e-04
2.815e-04,3.157e-03,5.249e-04,3.293e-04,5.484e-04,8.169e-05,1.364e-05,2.794e-04,1.798e-04
2.702e-04,3.048e-03,5.821e-04,3.726e-04,6.101e-04,1.259e-04,1.740e-05,3.514e-04,1.752e-04
2.719e-04,2.990e-03,6.415e-04,3.695e-04,5.939e-04,1.296e-04,1.071e-05,3.444e-04,1.683e-04
2.756e-04,2.947e-03,6.967e-04,3.601e-04,6.196e-04,1.617e-04,1.220e-05,3.708e-04,1.603e-04
2.826e-04,2.923e-03,7.516e-04,3.680e-04,5.924e-04,1.478e-04,1.145e-05,3.433e-04,1.540e-04
2.921e-04,2.905e-03,7.998e-04,3.748e-04,5.659e-04,1.352e-04,8.403e-06,3.169e-04,1.457e-04
3.011e-04,2.895e-03,8.410e-04,3.819e-04,5.386e-04,1.224e-04,8.525e-06,2.918e-04,1.380e-04
2.982e-04,2.892e-03,8.752e-04,3.828e-04,5.300e-04,1.417e-04,2.864e-05,2.904e-04,1.529e-04
2.877e-04,2.889e-03,9.055e-04,3.818e-04,5.363e-04,1.762e-04,6.443e-05,3.003e-04,1.787e-04
