,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,7.213e-04,3.037e-03,2.803e-04,4.915e-04,6.485e-04,1.814e-04,3.780e-05,2.027e-04,1.720e-04
std,3.590e-04,1.921e-04,4.051e-04,3.285e-04,1.886e-04,1.790e-04,3.410e-05,1.347e-04,1.732e-04
min,3.040e-06,2.571e-03,0.000e+00,2.570e-06,2.965e-04,4.470e-06,8.070e-07,1.311e-06,5.960e-08
0.1%,3.040e-06,2.571e-03,0.000e+00,2.570e-06,2.965e-04,4.470e-06,8.070e-07,1.311e-06,5.960e-08
25%,4.266e-04,2.923e-03,0.000e+00,2.331e-04,4.836e-04,7.627e-05,1.305e-05,1.040e-04,4.503e-05
50%,7.041e-04,3.036e-03,0.000e+00,4.579e-04,6.256e-04,1.302e-04,2.891e-05,1.738e-04,1.191e-04
75%,1.081e-03,3.137e-03,5.143e-04,7.433e-04,7.890e-04,1.875e-04,4.602e-05,2.693e-04,2.211e-04
99.9%,1.457e-03,3.700e-03,1.925e-03,1.313e-03,1.023e-03,8.407e-04,1.781e-04,6.472e-04,7.364e-04
max,1.457e-03,3.700e-03,1.925e-03,1.313e-03,1.023e-03,8.407e-04,1.781e-04,6.472e-04,7.364e-04
