,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,1.654e-03,3.781e-03,2.370e-03,9.914e-04,1.952e-03,4.379e-04,8.240e-05,1.005e-03,4.147e-04
std,6.302e-04,7.644e-04,1.511e-03,5.824e-04,8.239e-04,3.159e-04,7.114e-05,5.304e-04,3.303e-04
min,3.157e-04,2.113e-03,9.537e-06,4.649e-06,6.093e-04,7.629e-06,5.468e-07,1.496e-05,3.189e-06
0.1%,3.157e-04,2.113e-03,9.537e-06,4.649e-06,6.093e-04,7.629e-06,5.468e-07,1.496e-05,3.189e-06
25%,1.083e-03,3.552e-03,1.318e-03,4.753e-04,1.242e-03,2.107e-04,3.003e-05,6.130e-04,1.582e-04
50%,1.929e-03,3.815e-03,2.215e-03,8.979e-04,2.022e-03,3.258e-04,6.596e-05,9.391e-04,3.333e-04
75%,2.201e-03,4.358e-03,3.197e-03,1.485e-03,2.647e-03,6.460e-04,1.058e-04,1.552e-03,6.403e-04
99.9%,2.431e-03,5.051e-03,5.305e-03,2.127e-03,3.213e-03,1.149e-03,4.273e-04,1.801e-03,1.157e-03
max,2.431e-03,5.051e-03,5.305e-03,2.127e-03,3.213e-03,1.149e-03,4.273e-04,1.801e-03,1.157e-03
