kx,MATx,MUOx,MLOx,MLFx,TATx,TOCx,taux
1262.6299,1120.84,1541.7372,37288.9,716.98267,2.3976905,0.89630276,0.65527266
1285.9397,1122.8103,1546.3749,37290.05,718.7982,2.4084456,0.9066473,0.66040504
1309.5128,1124.6971,1550.9893,37291.215,720.5652,2.418957,0.9169947,0.665461
1333.3513,1126.5009,1555.5792,37292.39,722.28296,2.4292235,0.9273432,0.6704416
1357.4628,1128.2222,1560.1428,37293.574,723.95105,2.4392443,0.93769115,0.6753481
1381.8524,1129.8593,1564.6793,37294.773,725.56903,2.4490192,0.94803685,0.6801815
1406.5221,1131.4128,1569.1868,37295.98,727.13635,2.458547,0.9583786,0.68494296
1431.462,1132.8815,1573.6642,37297.203,728.6528,2.4678283,0.9687148,0.6896336
1456.675,1134.266,1578.1102,37298.434,730.1177,2.4768612,0.97904366,0.6942544
1482.1678,1135.5675,1582.5234,37299.68,731.53076,2.485646,0.9893636,0.6988064
1507.9424,1136.7869,1586.9027,37300.934,732.8919,2.4941833,0.999673,0.70329064
1534.0038,1137.9248,1591.2467,37302.2,734.2008,2.5024743,1.0099702,0.7077081
1560.3553,1138.9823,1595.5542,37303.477,735.4572,2.5105205,1.0202535,0.71205986
1586.9979,1139.9604,1599.8241,37304.77,736.6614,2.5183237,1.0305215,0.71634674
1613.9369,1140.8599,1604.0553,37306.066,737.8131,2.525886,1.0407724,0.72056985
1641.1729,1141.6818,1608.2467,37307.375,738.91254,2.5332098,1.0510049,0.7247301
1668.7076,1142.427,1612.397,37308.69,739.9597,2.540297,1.0612173,0.7288283
1696.5449,1143.0964,1616.5054,37310.023,740.9549,2.5471501,1.0714082,0.7328656
1724.686,1143.6912,1620.5709,37311.363,741.89825,2.5537717,1.081576,0.7368427
1753.1317,1144.2124,1624.5925,37312.715,742.7901,2.560164,1.0917194,0.74076056
1781.885,1144.6609,1628.5693,37314.074,743.6307,2.5663295,1.1018369,0.7446202
1810.9475,1145.038,1632.5004,37315.445,744.4203,2.5722709,1.1119273,0.7484224
1840.3198,1145.3446,1636.3849,37316.824,745.15936,2.5779908,1.121989,0.75216794
1870.0026,1145.5819,1640.2219,37318.215,745.8483,2.5834918,1.1320208,0.7558577
1899.9973,1145.7513,1644.0109,37319.613,746.4875,2.5887768,1.1420214,0.7594925
1930.3053,1145.8538,1647.751,37321.023,747.0774,2.5938487,1.1519896,0.76307327
1960.928,1145.8905,1651.4414,37322.438,747.6186,2.59871,1.161924,0.76660067
1991.8685,1145.8628,1655.0815,37323.86,748.1116,2.6033638,1.1718235,0.77007556
2023.1233,1145.772,1658.6707,37325.293,748.55676,2.607813,1.1816868,0.7734987
2054.697,1145.6194,1662.2084,37326.74,748.9549,2.6120605,1.1915128,0.7768709
2086.5881,1145.4062,1665.6937,37328.188,749.3066,2.6161094,1.2013004,0.78019285
2118.8003,1145.1339,1669.1266,37329.65,749.6123,2.6199625,1.2110484,0.7834654
2151.332,1144.8033,1672.5063,37331.117,749.87286,2.623623,1.2207558,0.78668916
2184.1853,1144.4165,1675.8324,37332.594,750.08887,2.6270938,1.2304215,0.78986496
2217.3596,1143.9742,1679.1045,37334.074,750.2609,2.6303787,1.2400446,0.7929935
2250.8577,1143.478,1682.322,37335.566,750.38995,2.63348,1.249624,0.79607546
2284.6785,1142.9293,1685.4847,37337.07,750.47644,2.636402,1.2591587,0.79911155
2318.8237,1142.3293,1688.5923,37338.582,750.52124,2.6391466,1.2686479,0.80210245
2353.2932,1141.6797,1691.6444,37340.098,750.52515,2.6417177,1.2780906,0.8050488
2388.0864,1140.9814,1694.6409,37341.625,750.48883,2.6441183,1.287486,0.8079513
2423.2063,1140.2362,1697.5813,37343.16,750.4131,2.646352,1.2968332,0.81081057
