,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,2.825e-04,2.970e-04,8.925e-04,4.193e-04,1.783e-04,1.660e-04,2.647e-05,1.330e-04,1.281e-04
std,1.329e-04,1.302e-04,9.731e-04,2.281e-04,1.423e-04,1.266e-04,1.854e-05,1.053e-04,9.965e-05
min,2.205e-06,1.192e-06,0.000e+00,6.288e-06,1.192e-07,1.222e-06,2.282e-08,2.444e-06,4.768e-07
0.1%,2.205e-06,1.192e-06,0.000e+00,6.288e-06,1.192e-07,1.222e-06,2.282e-08,2.444e-06,4.768e-07
25%,1.929e-04,2.072e-04,0.000e+00,2.641e-04,6.318e-05,6.887e-05,1.127e-05,6.053e-05,5.584e-05
50%,2.895e-04,2.940e-04,4.966e-04,4.001e-04,1.191e-04,1.394e-04,2.291e-05,1.130e-04,8.823e-05
75%,3.920e-04,3.713e-04,1.758e-03,5.516e-04,2.752e-04,2.290e-04,3.848e-05,1.804e-04,1.924e-04
99.9%,7.559e-04,6.728e-04,3.137e-03,1.071e-03,5.101e-04,8.326e-04,9.506e-05,6.390e-04,3.859e-04
max,7.559e-04,6.728e-04,3.137e-03,1.071e-03,5.101e-04,8.326e-04,9.506e-05,6.390e-04,3.859e-04
