Time	100GtC	200GtC	500GtC	-100GtC	-200GtC	-500GtC
0	0	0	0	0	0	0
1	23	46.1	115.4	-23	-46	-114.8
2	43.4	87	219	-43.2	-86.1	-213.1
3	41.2	82.9	209.9	-40.8	-81.1	-198.6
4	39.7	80	203.5	-39.1	-77.5	-188.2
5	38.5	77.6	198.4	-37.7	-74.7	-180
6	37.4	75.6	194.1	-36.6	-72.4	-173.4
7	36.6	73.9	190.4	-35.7	-70.4	-167.8
8	35.8	72.5	187.1	-34.8	-68.7	-163.1
9	35.1	71.1	184.2	-34.1	-67.2	-159
10	34.5	70	181.5	-33.4	-65.8	-155.4
11	33.9	68.9	179.2	-32.9	-64.7	-152.2
12	33.4	67.9	177.1	-32.3	-63.6	-149.4
13	33	67.1	175.2	-31.9	-62.6	-146.9
14	32.6	66.3	173.4	-31.5	-61.8	-144.6
15	32.2	65.6	171.8	-31.1	-61	-142.6
16	31.9	64.9	170.3	-30.7	-60.3	-140.8
17	31.6	64.3	169	-30.4	-59.6	-139.2
18	31.3	63.8	167.8	-30.1	-59	-137.7
19	31	63.2	166.6	-29.8	-58.5	-136.3
20	30.8	62.7	165.5	-29.6	-57.9	-135
21	30.5	62.3	164.4	-29.3	-57.5	-133.9
22	30.3	61.9	163.4	-29.1	-57	-132.8
23	30.1	61.5	162.5	-28.9	-56.6	-131.8
24	29.9	61.1	161.6	-28.7	-56.2	-130.9
25	29.8	60.7	160.8	-28.5	-55.9	-130
26	29.6	60.4	160	-28.4	-55.5	-129.2
27	29.4	60	159.2	-28.2	-55.2	-128.4
28	29.3	59.7	158.4	-28.1	-54.9	-127.7
29	29.1	59.4	157.7	-27.9	-54.5	-127.1
30	29	59.1	157	-27.8	-54.3	-126.4
31	28.8	58.9	156.3	-27.6	-54	-125.8
32	28.7	58.6	155.6	-27.5	-53.7	-125.3
33	28.6	58.4	154.9	-27.4	-53.5	-124.7
34	28.5	58.1	154.3	-27.3	-53.2	-124.2
35	28.3	57.9	153.7	-27.2	-53	-123.7
36	28.2	57.7	153.1	-27.1	-52.8	-123.3
37	28.1	57.5	152.5	-27	-52.6	-122.8
38	28	57.3	151.9	-26.9	-52.4	-122.4
39	27.9	57.1	151.4	-26.8	-52.2	-122
40	27.8	56.9	150.9	-26.7	-52.1	-121.6
41	27.7	56.7	150.3	-26.6	-51.9	-121.2
42	27.6	56.5	149.8	-26.6	-51.7	-120.8
43	27.5	56.3	149.3	-26.5	-51.6	-120.5
44	27.5	56.1	148.9	-26.4	-51.4	-120.1
45	27.4	56	148.4	-26.3	-51.3	-119.7
46	27.3	55.8	148	-26.3	-51.1	-119.3
47	27.3	55.7	147.5	-26.2	-51	-118.9
48	27.2	55.5	147.1	-26.1	-50.8	-118.6
49	27.1	55.4	146.7	-26.1	-50.7	-118.2
50	27.1	55.2	146.3	-26	-50.6	-117.9
51	27	55.1	145.9	-25.9	-50.4	-117.6
52	26.9	54.9	145.5	-25.9	-50.3	-117.3
53	26.9	54.8	145.1	-25.8	-50.2	-117
54	26.8	54.7	144.7	-25.7	-50	-116.7
55	26.8	54.5	144.3	-25.7	-49.9	-116.4
56	26.7	54.4	144	-25.6	-49.8	-116.1
57	26.7	54.3	143.6	-25.6	-49.7	-115.9
58	26.6	54.1	143.3	-25.5	-49.6	-115.6
59	26.5	54	142.9	-25.5	-49.5	-115.4
60	26.5	53.9	142.6	-25.4	-49.4	-115.1
61	26.4	53.7	142.3	-25.4	-49.3	-114.9
62	26.4	53.6	142	-25.4	-49.2	-114.7
63	26.3	53.5	141.7	-25.3	-49.1	-114.5
64	26.3	53.4	141.5	-25.3	-49	-114.3
65	26.2	53.3	141.2	-25.2	-48.9	-114.1
66	26.2	53.2	140.9	-25.2	-48.9	-113.9
67	26.1	53.1	140.7	-25.1	-48.8	-113.7
68	26.1	52.9	140.4	-25.1	-48.7	-113.5
69	26	52.8	140.2	-25.1	-48.6	-113.4
70	26	52.7	139.9	-25	-48.5	-113.2
71	25.9	52.6	139.7	-25	-48.5	-113.1
72	25.9	52.5	139.4	-24.9	-48.4	-112.9
73	25.8	52.4	139.2	-24.9	-48.3	-112.8
74	25.8	52.4	139	-24.9	-48.3	-112.7
75	25.8	52.3	138.7	-24.9	-48.2	-112.5
76	25.7	52.2	138.5	-24.8	-48.1	-112.4
77	25.7	52.1	138.3	-24.8	-48	-112.3
78	25.7	52	138.1	-24.8	-48	-112.2
79	25.6	51.9	137.8	-24.7	-47.9	-112.1
80	25.6	51.9	137.6	-24.7	-47.9	-111.9
81	25.5	51.8	137.4	-24.7	-47.8	-111.8
82	25.5	51.7	137.2	-24.7	-47.7	-111.7
83	25.5	51.7	137	-24.6	-47.7	-111.6
84	25.4	51.6	136.8	-24.6	-47.6	-111.5
85	25.4	51.5	136.6	-24.6	-47.5	-111.4
86	25.4	51.5	136.4	-24.5	-47.5	-111.3
87	25.3	51.4	136.2	-24.5	-47.4	-111.2
88	25.3	51.3	136	-24.5	-47.4	-111.1
89	25.3	51.3	135.9	-24.4	-47.3	-111
90	25.2	51.2	135.7	-24.4	-47.2	-110.9
91	25.2	51.1	135.5	-24.4	-47.2	-110.8
92	25.2	51.1	135.3	-24.4	-47.1	-110.7
93	25.1	51	135.1	-24.3	-47.1	-110.6
94	25.1	50.9	135	-24.3	-47	-110.5
95	25.1	50.9	134.8	-24.3	-47	-110.4
96	25	50.8	134.6	-24.3	-47	-110.3
