kx,MATx,MUOx,MLOx,MLFx,MLFeqx,TATx,TOCx,taux
1067.0194,1166.7148,1541.2677,37283.023,455.59412,233.96576,2.4968925,0.86121815,0.6171076
1086.7828,1170.1932,1546.8657,37284.176,456.80624,233.80302,2.5119164,0.87248796,0.62280816
1106.771,1173.5939,1552.4584,37285.344,457.99548,233.64398,2.52671,0.88378364,0.6284238
1126.9863,1176.9161,1558.0444,37286.523,459.1614,233.48856,2.5412729,0.8951034,0.63395584
1147.427,1180.1593,1563.6222,37287.715,460.30356,233.33667,2.555604,0.9064455,0.6394055
1168.0979,1183.323,1569.1902,37288.926,461.42154,233.18825,2.569703,0.9178082,0.6447741
1188.9989,1186.4067,1574.7468,37290.145,462.515,233.04318,2.5835695,0.92918974,0.65006274
1210.1309,1189.4102,1580.2906,37291.383,463.58368,232.90141,2.5972025,0.9405884,0.65527266
1231.4688,1192.3293,1585.8203,37292.633,464.62714,232.76288,2.6106026,0.95200247,0.66040504
1253.0248,1195.1628,1591.334,37293.895,465.64493,232.62749,2.6237667,0.9634302,0.665461
1274.8093,1197.9113,1596.8302,37295.17,466.63647,232.49518,2.6366923,0.97486997,0.6704416
1296.8287,1200.5743,1602.3076,37296.465,467.6014,232.36588,2.6493783,0.9863199,0.6753481
1319.0826,1203.1525,1607.7645,37297.77,468.5393,232.23952,2.6618235,0.99777836,0.6801815
1341.5719,1205.6455,1613.1995,37299.086,469.44992,232.11603,2.6740277,1.0092436,0.68494296
1364.3003,1208.054,1618.611,37300.418,470.33292,231.99535,2.685991,1.0207139,0.6896336
1387.2678,1210.3779,1623.9977,37301.766,471.1882,231.8774,2.6977139,1.0321877,0.6942544
1410.4749,1212.6179,1629.358,37303.125,472.0155,231.76215,2.7091973,1.0436631,0.6988064
1433.9215,1214.774,1634.6909,37304.496,472.81473,231.6495,2.7204418,1.0551387,0.70329064
1457.6151,1216.8447,1639.9948,37305.883,473.58585,231.53943,2.7314487,1.0666126,0.7077081
1481.5588,1218.8289,1645.2682,37307.28,474.32858,231.43185,2.7422175,1.0780833,0.71205986
1505.7485,1220.7272,1650.5099,37308.69,475.04276,231.32674,2.752748,1.0895492,0.71634674
1530.1816,1222.5405,1655.7185,37310.12,475.7282,231.224,2.76304,1.1010087,0.72056985
1554.8884,1224.2675,1660.8927,37311.56,476.38483,231.1236,2.7730942,1.11246,0.7247301
1579.8519,1225.9087,1666.0312,37313.008,477.01245,231.02547,2.78291,1.1239018,0.7288283
1605.069,1227.4651,1671.1328,37314.473,477.611,230.92958,2.792488,1.1353325,0.7328656
1630.5269,1228.9365,1676.196,37315.95,478.18042,230.83589,2.8018293,1.1467502,0.7368427
1656.2191,1230.3231,1681.22,37317.44,478.72067,230.74431,2.8109343,1.1581537,0.74076056
1682.1406,1231.6249,1686.203,37318.94,479.2317,230.6548,2.8198037,1.1695414,0.7446202
1708.3096,1232.8428,1691.1442,37320.457,479.71347,230.56735,2.8284383,1.1809117,0.7484224
1734.7281,1233.9783,1696.0422,37321.98,480.16602,230.48187,2.8368385,1.1922631,0.75216794
1761.4108,1235.029,1700.896,37323.516,480.5894,230.39836,2.8450065,1.2035942,0.7558577
1788.3502,1235.9965,1705.7047,37325.066,480.98355,230.31673,2.852942,1.2149036,0.7594925
1815.5682,1236.8779,1710.4668,37326.625,481.34854,230.23697,2.8606455,1.2261897,0.76307327
1843.1268,1237.6644,1715.1813,37328.2,481.68423,230.159,2.8681161,1.2374511,0.76660067
1871.0156,1238.3525,1719.8468,37329.78,481.98987,230.08281,2.8753471,1.2486863,0.77007556
1899.2992,1238.9346,1724.4623,37331.375,482.26474,230.00836,2.882331,1.259894,0.7734987
1927.9,1239.4125,1729.026,37332.98,482.50763,229.93561,2.8890567,1.2710726,0.7768709
1956.7772,1239.7898,1733.5364,37334.598,482.7177,229.86449,2.8955178,1.2822205,0.78019285
1985.923,1240.0701,1737.9922,37336.227,482.8945,229.79501,2.9017117,1.2933362,0.7834654
2015.333,1240.256,1742.3922,37337.867,483.03778,229.72711,2.9076385,1.3044178,0.78668916
2045.0082,1240.3505,1746.7352,37339.52,483.14746,229.66074,2.9132998,1.315464,0.78986496
2074.9475,1240.3562,1751.02,37341.184,483.22375,229.59589,2.9186988,1.3264731,0.7929935
2105.1543,1240.2758,1755.2458,37342.855,483.26697,229.53252,2.9238396,1.3374436,0.79607546
2135.6257,1240.1117,1759.4114,37344.54,483.2775,229.47057,2.9287264,1.3483739,0.79911155
2166.3638,1239.8662,1763.5159,37346.234,483.25577,229.41003,2.9333644,1.3592625,0.80210245
2197.374,1239.5393,1767.5586,37347.938,483.20236,229.35088,2.9377582,1.370108,0.8050488
2228.6523,1239.1332,1771.5385,37349.652,483.11774,229.29306,2.9419115,1.3809091,0.8079513
2260.1997,1238.6503,1775.4548,37351.375,483.00232,229.23657,2.9458284,1.3916644,0.81081057
2292.0117,1238.0934,1779.307,37353.11,482.85672,229.18137,2.9495132,1.4023726,0.81362724
2324.091,1237.4647,1783.0942,37354.855,482.6816,229.12741,2.9529705,1.4130324,0.81640196
2356.4363,1236.7666,1786.8162,37356.61,482.47766,229.07468,2.9562056,1.4236426,0.8191354
2389.0488,1236.0013,1790.472,37358.37,482.24554,229.02315,2.959223,1.434202,0.8218281
2421.9268,1235.1716,1794.0613,37360.14,481.986,228.9728,2.962028,1.4447093,0.8244808
2455.0723,1234.2797,1797.5839,37361.92,481.6998,228.92357,2.9646266,1.4551636,0.82709396
2488.4858,1233.3273,1801.0391,37363.71,481.3877,228.87547,2.9670234,1.4655638,0.8296682
2522.1606,1232.317,1804.4268,37365.508,481.05048,228.82848,2.9692233,1.4759089,0.83220416
2556.1025,1231.251,1807.7466,37367.316,480.68896,228.78255,2.971232,1.4861978,0.8347023
2590.3108,1230.1315,1810.9982,37369.133,480.30396,228.73767,2.9730544,1.4964297,0.83716327
2624.7856,1228.9604,1814.1816,37370.957,479.89615,228.6938,2.9746957,1.5066036,0.83958757
2659.5256,1227.74,1817.2969,37372.79,479.4664,228.65092,2.9761608,1.5167187,0.8419758
2694.5295,1226.4722,1820.3435,37374.625,479.01553,228.60904,2.9774544,1.5267743,0.8443285
2729.7996,1225.159,1823.3217,37376.47,478.54425,228.56808,2.978582,1.5367695,0.8466462
2765.3333,1223.8027,1826.2313,37378.32,478.0534,228.52808,2.9795477,1.5467036,0.84892935
2801.1287,1222.4052,1829.0726,37380.176,477.5437,228.48898,2.9803567,1.5565759,0.8511785
2837.19,1220.9681,1831.8456,37382.043,477.01596,228.45078,2.981014,1.5663857,0.8533942
2873.5142,1219.4935,1834.5504,37383.914,476.47092,228.41344,2.9815238,1.5761325,0.8555769
2910.0986,1217.9832,1837.1871,37385.793,475.9093,228.37694,2.9818907,1.5858157,0.85772705
2946.9448,1216.439,1839.756,37387.676,475.33185,228.34128,2.9821193,1.5954347,0.8598452
2984.0552,1214.8628,1842.2572,37389.566,474.7393,228.30643,2.9822142,1.6049889,0.86193186
3021.4248,1213.2565,1844.6912,37391.465,474.13235,228.27237,2.9821796,1.614478,0.86398745
3059.0906,1211.622,1847.0581,37393.367,473.51175,228.23907,2.9820204,1.6239015,0.8660124
3097.0554,1209.9617,1849.3584,37395.273,472.87817,228.20654,2.9817407,1.6332589,0.86800724
3135.2917,1208.2773,1851.5925,37397.19,472.23242,228.17476,2.981345,1.64255,0.86997235
3173.792,1206.5702,1853.7607,37399.11,471.57513,228.14369,2.980839,1.6517743,0.8719082
3212.551,1204.8416,1855.8634,37401.035,470.9071,228.11334,2.980226,1.6609316,0.87381524
3251.5715,1203.0931,1857.9011,37402.965,470.22885,228.08366,2.9795105,1.6700215,0.8756939
3290.8489,1201.3264,1859.8743,37404.902,469.54114,228.05467,2.9786966,1.6790439,0.87754464
3330.3696,1199.5433,1861.7834,37406.844,468.8445,228.02634,2.977788,1.6879985,0.87936777
3370.1487,1197.7451,1863.6294,37408.79,468.13965,227.99864,2.9767888,1.6968852,0.8811638
3410.1821,1195.933,1865.4124,37410.74,467.42715,227.97159,2.975703,1.7057037,0.882933
3450.4705,1194.1082,1867.133,37412.695,466.70764,227.94513,2.9745345,1.714454,0.8846759
3491.0107,1192.2717,1868.7921,37414.656,465.98163,227.9193,2.9732866,1.7231361,0.8863929
3531.8035,1190.425,1870.39,37416.62,465.2497,227.89404,2.9719627,1.7317497,0.8880843
3572.8513,1188.5692,1871.9276,37418.59,464.51233,227.86935,2.970566,1.7402947,0.88975054
3614.148,1186.7051,1873.4055,37420.562,463.77002,227.84521,2.9691,1.7487713,0.89139193
3655.6978,1184.834,1874.8242,37422.54,463.02332,227.82166,2.9675674,1.7571794,0.89300895
3697.4946,1182.9567,1876.1843,37424.52,462.2726,227.79861,2.9659715,1.7655189,0.8946019
3739.5388,1181.0745,1877.4869,37426.504,461.5184,227.7761,2.964315,1.77379,0.8961711
3781.8333,1179.1882,1878.7323,37428.48,460.76114,227.75409,2.962601,1.7819927,0.8977169
3824.3755,1177.299,1879.9213,37430.465,460.00122,227.73259,2.9608319,1.790127,0.8992397
3867.1746,1175.4082,1881.0548,37432.453,459.23907,227.71158,2.9590113,1.7981932,0.90073985
3910.2231,1173.5171,1882.1333,37434.445,458.47516,227.69104,2.9571419,1.8061912,0.9022176
3953.5173,1171.6262,1883.1577,37436.438,457.7099,227.67097,2.9552267,1.8141212,0.9036734
3997.0518,1169.7363,1884.1287,37438.43,456.94363,227.65135,2.9532685,1.8219835,0.90510756
4040.8274,1167.848,1885.0471,37440.43,456.17682,227.6322,2.9512699,1.829778,0.9065203
4084.8552,1165.9628,1885.9136,37442.43,455.40976,227.61346,2.9492333,1.837505,0.9079121
4129.1245,1164.0814,1886.729,37444.43,454.64285,227.59517,2.9471622,1.8451648,0.9092831
4173.672,1162.2045,1887.4941,37446.434,453.8765,227.57729,2.9450586,1.8527576,0.9106337
4218.4976,1160.3342,1888.2097,37448.44,453.111,227.5598,2.942925,1.8602835,0.9119642
4263.554,1158.471,1888.8767,37450.445,452.34677,227.54272,2.9407647,1.8677429,0.9132749
4308.6973,1156.6222,1889.4957,37452.457,451.58423,227.52603,2.938581,1.875136,0.91456604
4353.9473,1154.8146,1890.0679,37454.47,450.8241,227.50972,2.936381,1.8824631,0.915838
4399.362,1153.0461,1890.5947,37456.48,450.06863,227.49377,2.9341898,1.8897246,0.917091
4444.9917,1151.3136,1891.0775,37458.496,449.31964,227.4782,2.9320238,1.8969209,0.91832536
4490.8433,1149.6144,1891.5177,37460.51,448.57843,227.46297,2.9298937,1.9040527,0.91954136
4536.9146,1147.9464,1891.9166,37462.527,447.84592,227.44807,2.9278064,1.9111208,0.92073923
4583.211,1146.308,1892.2755,37464.547,447.1228,227.43353,2.9257646,1.9181257,0.9219193
4629.7305,1144.6975,1892.5956,37466.562,446.40952,227.41931,2.92377,1.9250684,0.92308176
4676.4644,1143.114,1892.8777,37468.582,445.7063,227.40543,2.9218233,1.9319494,0.92422694
4723.427,1141.5558,1893.1232,37470.605,445.01337,227.39186,2.9199235,1.9387696,0.9253551
4770.601,1140.0222,1893.333,37472.625,444.3307,227.37859,2.9180691,1.9455297,0.9264664
4817.993,1138.5125,1893.5082,37474.65,443.65826,227.36563,2.916259,1.9522305,0.92756116
4865.5957,1137.0256,1893.6497,37476.668,442.99606,227.35297,2.914492,1.9588726,0.92863965
4913.414,1135.5608,1893.7584,37478.69,442.344,227.34058,2.9127657,1.9654567,0.9297021
4961.446,1134.1173,1893.8353,37480.71,441.70184,227.32848,2.9110792,1.9719837,0.9307487
5009.693,1132.695,1893.8813,37482.727,441.06946,227.31665,2.9094303,1.978454,0.93177974
5058.1406,1131.2928,1893.8972,37484.746,440.44666,227.3051,2.9078178,1.9848684,0.9327954
5106.7974,1129.9105,1893.8837,37486.76,439.83328,227.29381,2.9062405,1.9912275,0.9337959
5155.6694,1128.5471,1893.8419,37488.78,439.22916,227.28276,2.904697,1.9975319,0.93478155
5204.741,1127.2023,1893.7725,37490.8,438.63397,227.27197,2.9031856,2.0037823,0.9357525
5254.0244,1125.8757,1893.6763,37492.816,438.0476,227.26144,2.9017053,2.0099792,0.93670905
5303.5054,1124.5667,1893.5538,37494.836,437.46988,227.25114,2.900255,2.0161233,0.93765134
