kx,MATx,MUOx,MLOx,MLFx,TATx,TOCx,taux
1232.382,1142.5106,1552.3239,37290.254,727.39746,2.4587166,0.9120121,0.66040504
1254.1609,1145.1835,1557.2655,37291.43,729.56976,2.471305,0.9226689,0.665461
1276.1742,1147.7893,1562.1945,37292.625,731.7033,2.4836926,0.933339,0.6704416
1298.4264,1150.3281,1567.1093,37293.832,733.7975,2.4958797,0.9440209,0.6753481
1320.9159,1152.7998,1572.0088,37295.047,735.8519,2.5078661,0.9547132,0.6801815
1343.6447,1155.2043,1576.892,37296.277,737.8662,2.5196521,0.96541446,0.68494296
1366.6151,1157.5414,1581.7577,37297.516,739.83997,2.5312374,0.97612315,0.6896336
1389.8263,1159.811,1586.6044,37298.77,741.7729,2.5426226,0.98683786,0.6942544
1413.2786,1162.0134,1591.4312,37300.04,743.66455,2.5538075,0.9975572,0.6988064
1436.975,1164.1486,1596.237,37301.316,745.5148,2.5647929,1.0082798,0.70329064
1460.9138,1166.2167,1601.0208,37302.605,747.32324,2.5755792,1.0190042,0.7077081
1485.0978,1168.2179,1605.7814,37303.906,749.0897,2.586167,1.029729,0.71205986
1509.5271,1170.1526,1610.5175,37305.22,750.8141,2.5965571,1.0404528,0.71634674
1534.2028,1172.0208,1615.2284,37306.543,752.4961,2.6067507,1.0511744,0.72056985
1559.1243,1173.8229,1619.913,37307.88,754.1358,2.6167483,1.0618923,0.7247301
1584.2849,1175.5593,1624.5702,37309.23,755.733,2.626551,1.0726053,0.7288283
1609.6749,1177.2305,1629.1989,37310.594,757.28754,2.6361594,1.0833119,0.7328656
1635.3069,1178.837,1633.7983,37311.965,758.7996,2.6455748,1.0940111,0.7368427
1661.1702,1180.38,1638.3676,37313.35,760.26904,2.6547992,1.1047014,0.74076056
1687.2649,1181.8602,1642.9056,37314.746,761.696,2.663834,1.1153816,0.7446202
1713.6122,1183.2777,1647.4117,37316.156,763.0805,2.6726818,1.1260505,0.7484224
1740.2709,1184.6316,1651.8849,37317.574,764.4227,2.6813433,1.1367067,0.75216794
1767.249,1185.9233,1656.3243,37319.004,765.7227,2.6898193,1.1473492,0.7558577
1794.4917,1187.1536,1660.7292,37320.44,766.9806,2.6981113,1.1579769,0.7594925
1821.9932,1188.323,1665.0986,37321.887,768.1966,2.706221,1.1685884,0.76307327
1849.7515,1189.4321,1669.4319,37323.344,769.3708,2.7141504,1.1791826,0.76660067
1877.7675,1190.4816,1673.7284,37324.812,770.5034,2.7219007,1.1897585,0.77007556
1906.0381,1191.4718,1677.987,37326.293,771.5947,2.7294736,1.200315,0.7734987
1934.5686,1192.4038,1682.2076,37327.785,772.6449,2.7368703,1.210851,0.7768709
1963.3555,1193.2782,1686.3889,37329.285,773.6543,2.7440932,1.2213652,0.78019285
1992.4037,1194.0956,1690.5308,37330.797,774.6231,2.7511437,1.2318568,0.7834654
2021.7097,1194.8569,1694.6322,37332.316,775.55164,2.758024,1.2423247,0.78668916
2051.2783,1195.5629,1698.6926,37333.85,776.4402,2.7647352,1.2527679,0.78986496
2081.1028,1196.2141,1702.7115,37335.39,777.2891,2.77128,1.2631854,0.7929935
2111.19,1196.8115,1706.6884,37336.945,778.09875,2.7776597,1.2735761,0.79607546
2141.5364,1197.356,1710.6227,37338.504,778.8695,2.7838767,1.2839392,0.79911155
2172.1448,1197.8484,1714.5138,37340.08,779.6017,2.7899325,1.2942739,0.80210245
2203.015,1198.2894,1718.3613,37341.66,780.2957,2.7958293,1.3045789,0.8050488
2234.1472,1198.6799,1722.1649,37343.25,780.9521,2.801569,1.3148537,0.8079513
2265.5403,1199.0209,1725.924,37344.85,781.57117,2.807154,1.3250971,0.81081057
2297.1917,1199.313,1729.6381,37346.46,782.1534,2.8125858,1.3353084,0.81362724
2329.1091,1199.5574,1733.307,37348.082,782.6991,2.8178668,1.3454869,0.81640196
2361.2876,1199.7548,1736.9302,37349.71,783.209,2.822999,1.3556316,0.8191354
2393.7278,1199.906,1740.5073,37351.348,783.68335,2.8279848,1.3657417,0.8218281
2426.4543,1200.0112,1744.0382,37352.996,784.1227,2.8328261,1.3758166,0.8244808
2459.4688,1200.0708,1747.5225,37354.652,784.5275,2.8375244,1.3858554,0.82709396
2492.752,1200.0859,1750.9597,37356.316,784.89825,2.842081,1.3958575,0.8296682
2526.2856,1200.0568,1754.3499,37357.992,785.23535,2.8464978,1.4058219,0.83220416
2560.0752,1199.9844,1757.6925,37359.67,785.5391,2.8507762,1.4157481,0.8347023
