,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,2.586e-04,3.746e-03,1.212e-03,3.550e-04,5.256e-04,8.657e-05,1.707e-05,9.192e-05,1.159e-04
std,1.310e-04,2.366e-04,9.986e-04,2.003e-04,2.213e-04,7.265e-05,1.462e-05,7.080e-05,9.503e-05
min,1.192e-06,2.913e-03,0.000e+00,2.235e-07,5.203e-05,7.451e-07,1.629e-07,1.788e-07,4.470e-08
0.1%,1.192e-06,2.913e-03,0.000e+00,2.235e-07,5.203e-05,7.451e-07,1.629e-07,1.788e-07,4.470e-08
25%,1.844e-04,3.644e-03,3.835e-04,1.950e-04,3.079e-04,3.521e-05,5.673e-06,3.818e-05,3.646e-05
50%,2.779e-04,3.699e-03,9.467e-04,3.829e-04,5.927e-04,6.842e-05,1.373e-05,7.531e-05,8.773e-05
75%,3.483e-04,3.826e-03,1.991e-03,5.011e-04,7.187e-04,1.089e-04,2.450e-05,1.463e-04,2.035e-04
99.9%,1.253e-03,5.849e-03,2.987e-03,1.233e-03,1.102e-03,5.122e-04,6.998e-05,5.852e-04,3.039e-04
max,1.253e-03,5.849e-03,2.987e-03,1.233e-03,1.102e-03,5.122e-04,6.998e-05,5.852e-04,3.039e-04
