,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,5.055e-05,1.827e-04,1.383e-04,8.974e-05,5.217e-05,5.567e-05,2.129e-05,2.074e-05
std,3.408e-05,1.396e-04,1.586e-04,8.142e-05,5.531e-05,4.402e-05,1.860e-05,1.746e-05
min,0.000e+00,2.384e-07,0.000e+00,1.192e-07,1.192e-07,3.278e-07,1.490e-07,2.533e-07
0.1%,0.000e+00,2.384e-07,0.000e+00,1.192e-07,1.192e-07,3.278e-07,1.490e-07,2.533e-07
25%,2.235e-05,5.209e-05,5.588e-06,3.041e-05,1.793e-05,1.942e-05,6.549e-06,9.131e-06
50%,3.985e-05,1.363e-04,8.965e-05,6.597e-05,4.268e-05,4.582e-05,1.625e-05,1.606e-05
75%,8.062e-05,3.234e-04,2.099e-04,1.335e-04,8.442e-05,8.255e-05,3.084e-05,2.619e-05
99.9%,1.420e-04,5.014e-04,9.891e-04,4.544e-04,7.081e-04,2.417e-04,8.221e-05,1.097e-04
max,1.420e-04,5.014e-04,9.891e-04,4.544e-04,7.081e-04,2.417e-04,8.221e-05,1.097e-04
