kx,MATx,MUOx,MLOx,MLFx,MLFeqx,TATx,TOCx,taux
1121.8062,789.54407,1339.0752,37271.992,316.58917,233.80302,1.195424,0.6131429,0.62280816
1144.7972,788.99,1339.6306,37272.64,316.09802,233.64398,1.1947029,0.61715484,0.6284238
1168.0782,788.44147,1340.1667,37273.29,315.61557,233.48856,1.1939908,0.62113416,0.63395584
1191.6504,787.8985,1340.6842,37273.938,315.14157,233.33667,1.1932874,0.6250811,0.6394055
1215.5165,787.3609,1341.1831,37274.59,314.67584,233.18825,1.1925925,0.6289961,0.6447741
1239.677,786.8287,1341.664,37275.242,314.21823,233.04318,1.1919062,0.63287926,0.65006274
1264.1339,786.3018,1342.1271,37275.895,313.76852,232.90141,1.1912282,0.63673097,0.65527266
1288.8855,785.7801,1342.573,37276.55,313.32666,232.76288,1.1905586,0.64055145,0.66040504
1313.9364,785.2635,1343.002,37277.207,312.89236,232.62749,1.1898968,0.644341,0.665461
1339.2853,784.7521,1343.4142,37277.863,312.46555,232.49518,1.1892431,0.6480999,0.6704416
1364.9485,784.24554,1343.81,37278.52,312.04602,232.36588,1.1885973,0.65182835,0.6753481
1390.9281,783.7441,1344.19,37279.18,311.6336,232.23952,1.1879591,0.6555267,0.6801815
1417.223,783.24756,1344.5543,37279.84,311.22824,232.11603,1.1873286,0.6591952,0.68494296
1443.8333,782.7558,1344.9032,37280.5,310.82968,231.99535,1.1867055,0.66283405,0.6896336
1470.7571,782.26874,1345.2373,37281.16,310.43784,231.8774,1.1860896,0.6664435,0.6942544
1497.9948,781.78644,1345.5565,37281.82,310.05255,231.76215,1.1854811,0.6700239,0.6988064
1525.5461,781.3087,1345.8613,37282.484,309.67368,231.6495,1.1848795,0.6735754,0.70329064
1553.4042,780.8356,1346.152,37283.15,309.30106,231.53943,1.1842848,0.6770983,0.7077081
1581.5592,780.3669,1346.4287,37283.812,308.9346,231.43185,1.183697,0.6805928,0.71205986
1610.0146,779.9027,1346.6921,37284.477,308.5742,231.32674,1.1831157,0.68405914,0.71634674
1638.771,779.4429,1346.9421,37285.145,308.21967,231.224,1.182541,0.6874976,0.72056985
1667.8309,778.98724,1347.1793,37285.812,307.8709,231.1236,1.1819726,0.6909085,0.7247301
1697.1953,778.5359,1347.4037,37286.48,307.52777,231.02547,1.1814104,0.69429195,0.7288283
1726.8667,778.0888,1347.6156,37287.15,307.19022,230.92958,1.1808543,0.69764817,0.7328656
1756.8472,777.6457,1347.8153,37287.816,306.85806,230.83589,1.1803043,0.70097744,0.7368427
1787.1365,777.20667,1348.003,37288.484,306.5312,230.74431,1.1797599,0.70428,0.74076056
1817.7382,776.77167,1348.1791,37289.15,306.2095,230.6548,1.1792212,0.70755607,0.7446202
1848.6528,776.3406,1348.3439,37289.82,305.8929,230.56735,1.1786879,0.71080583,0.7484224
1879.8802,775.9134,1348.4974,37290.492,305.5813,230.48187,1.1781602,0.71402955,0.75216794
1911.421,775.49005,1348.64,37291.164,305.27454,230.39836,1.1776377,0.7172274,0.7558577
1943.2764,775.07043,1348.7717,37291.836,304.97253,230.31673,1.1771204,0.7203996,0.7594925
1975.4463,774.6545,1348.8931,37292.508,304.6752,230.23697,1.1766081,0.72354645,0.76307327
2007.934,774.2423,1349.004,37293.18,304.38245,230.159,1.1761005,0.72666806,0.76660067
2040.7379,773.8336,1349.105,37293.85,304.09418,230.08281,1.1755978,0.72976464,0.77007556
2073.8584,773.4285,1349.196,37294.52,303.81024,230.00836,1.1750997,0.7328364,0.7734987
2107.2998,773.0269,1349.2775,37295.19,303.5306,229.93561,1.1746062,0.7358836,0.7768709
2141.0579,772.6287,1349.3495,37295.863,303.25516,229.86449,1.174117,0.7389064,0.78019285
2175.1357,772.2339,1349.4124,37296.535,302.98386,229.79501,1.1736319,0.741905,0.7834654
2209.5332,771.84235,1349.4661,37297.207,302.71655,229.72711,1.1731509,0.74487954,0.78668916
2244.2495,771.45404,1349.511,37297.88,302.4532,229.66074,1.1726738,0.74783033,0.78986496
2279.287,771.069,1349.5472,37298.55,302.1937,229.59589,1.1722006,0.7507575,0.7929935
2314.6462,770.68713,1349.5751,37299.223,301.938,229.53252,1.1717311,0.7536613,0.79607546
2350.3052,770.3085,1349.5945,37299.89,301.68597,229.47057,1.1712652,0.7565418,0.79911155
2386.281,769.93286,1349.606,37300.562,301.43753,229.41003,1.170803,0.75939924,0.80210245
2422.6006,769.56024,1349.6094,37301.234,301.19266,229.35088,1.170344,0.7622338,0.8050488
2459.2588,769.19055,1349.6051,37301.906,300.95126,229.29306,1.1698883,0.7650457,0.8079513
2496.2544,768.82385,1349.5933,37302.58,300.71326,229.23657,1.1694355,0.7678351,0.81081057
2533.5828,768.45996,1349.574,37303.25,300.47858,229.18137,1.168986,0.7706021,0.81362724
2571.2478,768.09894,1349.5474,37303.92,300.24716,229.12741,1.1685393,0.77334696,0.81640196
2609.2466,767.7408,1349.5139,37304.594,300.01895,229.07468,1.1680956,0.7760698,0.8191354
2647.5757,767.3854,1349.4733,37305.26,299.79388,229.02315,1.1676544,0.77877086,0.8218281
2686.2366,767.0326,1349.4259,37305.934,299.57184,228.9728,1.1672158,0.7814503,0.8244808
2725.2283,766.68256,1349.3721,37306.605,299.35278,228.92357,1.1667798,0.7841082,0.82709396
2764.536,766.3351,1349.3116,37307.277,299.13666,228.87547,1.1663461,0.78674483,0.8296682
2804.1575,765.9902,1349.2449,37307.95,298.9234,228.82848,1.1659145,0.7893603,0.83220416
2844.0972,765.6478,1349.1719,37308.62,298.71298,228.78255,1.1654854,0.79195476,0.8347023
2884.345,765.308,1349.0929,37309.293,298.5053,228.73767,1.165058,0.79452837,0.83716327
2924.8896,764.9705,1349.0078,37309.965,298.30032,228.6938,1.1646327,0.7970813,0.83958757
2965.7341,764.63556,1348.917,37310.633,298.098,228.65092,1.1642092,0.7996137,0.8419758
3006.8826,764.3029,1348.8206,37311.305,297.89825,228.60904,1.1637876,0.80212575,0.8443285
3048.3342,763.9726,1348.7186,37311.977,297.70102,228.56808,1.1633676,0.8046176,0.8466462
3090.093,763.6446,1348.6112,37312.65,297.50632,228.52808,1.1629492,0.8070894,0.84892935
3132.162,763.31885,1348.4985,37313.32,297.314,228.48898,1.1625321,0.8095413,0.8511785
3174.542,762.99536,1348.3809,37313.992,297.12402,228.45078,1.1621165,0.8119734,0.8533942
3217.2334,762.674,1348.2579,37314.664,296.93643,228.41344,1.1617022,0.8143859,0.8555769
3260.238,762.35486,1348.1301,37315.336,296.75107,228.37694,1.1612891,0.8167789,0.85772705
3303.5547,762.0378,1347.9974,37316.004,296.56796,228.34128,1.1608771,0.8191526,0.8598452
3347.1875,761.7228,1347.8601,37316.67,296.3871,228.30643,1.160466,0.8215071,0.86193186
3391.134,761.40985,1347.7183,37317.34,296.2083,228.27237,1.1600559,0.8238425,0.86398745
3435.3967,761.099,1347.5719,37318.008,296.03165,228.23907,1.1596469,0.82615906,0.8660124
3479.9717,760.7901,1347.421,37318.676,295.85706,228.20654,1.1592385,0.8284568,0.86800724
3524.86,760.48315,1347.266,37319.344,295.68445,228.17476,1.1588309,0.8307359,0.86997235
3570.0652,760.17816,1347.1067,37320.01,295.51382,228.14369,1.1584238,0.8329965,0.8719082
3615.5842,759.875,1346.9432,37320.68,295.34515,228.11334,1.1580174,0.8352387,0.87381524
3661.4197,759.5737,1346.7759,37321.344,295.17834,228.08366,1.1576116,0.83746266,0.8756939
3707.57,759.2743,1346.6047,37322.008,295.01343,228.05467,1.1572062,0.8396685,0.87754464
3754.0298,758.9767,1346.4297,37322.67,294.8503,228.02634,1.1568009,0.84185636,0.87936777
3800.802,758.6809,1346.2509,37323.33,294.689,227.99864,1.156396,0.8440263,0.8811638
3847.8684,758.3868,1346.0685,37323.99,294.5294,227.97159,1.1559914,0.84617853,0.882933
3895.23,758.0944,1345.8826,37324.65,294.3715,227.94513,1.155587,0.84831315,0.8846759
3942.8936,757.8038,1345.6931,37325.31,294.21527,227.9193,1.1551825,0.85043025,0.8863929
3990.855,757.5148,1345.5004,37325.97,294.0607,227.89404,1.1547784,0.85253,0.8880843
4039.1184,757.22736,1345.3042,37326.63,293.90778,227.86935,1.154374,0.85461247,0.88975054
4087.6821,756.9416,1345.105,37327.29,293.75638,227.84521,1.1539695,0.85667783,0.89139193
4136.547,756.65753,1344.9025,37327.95,293.6065,227.82166,1.1535649,0.85872614,0.89300895
4185.7144,756.37494,1344.6971,37328.605,293.4582,227.79861,1.1531602,0.8607576,0.8946019
4235.1816,756.0939,1344.4888,37329.26,293.31137,227.7761,1.152755,0.8627722,0.8961711
4284.9507,755.81433,1344.2773,37329.918,293.16595,227.75409,1.1523495,0.86477023,0.8977169
4335.0195,755.5363,1344.0631,37330.574,293.02197,227.73259,1.1519436,0.8667517,0.8992397
4385.3906,755.2597,1343.8462,37331.23,292.8794,227.71158,1.1515373,0.86871666,0.90073985
4436.0615,754.9846,1343.6266,37331.887,292.7382,227.69104,1.1511304,0.8706653,0.9022176
4487.03,754.71094,1343.4043,37332.543,292.5983,227.67097,1.1507231,0.8725977,0.9036734
4538.3013,754.43854,1343.1794,37333.195,292.45972,227.65135,1.1503152,0.874514,0.90510756
4589.867,754.16754,1342.9521,37333.848,292.32245,227.6322,1.1499065,0.87641424,0.9065203
4641.731,753.89795,1342.7224,37334.5,292.18643,227.61346,1.1494973,0.8782986,0.9079121
4693.8936,753.6297,1342.4902,37335.152,292.05164,227.59517,1.1490872,0.8801671,0.9092831
4746.349,753.36273,1342.2557,37335.805,291.91806,227.57729,1.1486763,0.88202,0.9106337
4799.0996,753.097,1342.019,37336.457,291.78568,227.5598,1.1482644,0.88385725,0.9119642
4852.147,752.8326,1341.7802,37337.11,291.65448,227.54272,1.1478517,0.885679,0.9132749
4905.4834,752.5695,1341.5392,37337.758,291.52438,227.52603,1.147438,0.8874854,0.91456604
4959.1157,752.3077,1341.2959,37338.406,291.39542,227.50972,1.1470234,0.88927644,0.915838
5013.0347,752.047,1341.0508,37339.055,291.26758,227.49377,1.1466079,0.8910523,0.917091
5067.244,751.78754,1340.8036,37339.703,291.14078,227.4782,1.1461912,0.8928131,0.91832536
5121.7427,751.5293,1340.5544,37340.35,291.015,227.46297,1.1457736,0.89455885,0.91954136
5176.5264,751.2722,1340.3036,37341.0,290.89032,227.44807,1.1453549,0.8962897,0.92073923
5231.5986,751.0162,1340.0508,37341.645,290.7666,227.43353,1.1449349,0.8980058,0.9219193
5286.958,750.76135,1339.7963,37342.29,290.6439,227.41931,1.1445137,0.89970714,0.92308176
5342.6016,750.50757,1339.5402,37342.934,290.52216,227.40543,1.1440914,0.90139383,0.92422694
5398.5254,750.255,1339.2821,37343.58,290.4014,227.39186,1.1436677,0.90306604,0.9253551
5454.731,750.0034,1339.0225,37344.223,290.28152,227.37859,1.1432428,0.90472376,0.9264664
5511.2124,749.75287,1338.7615,37344.867,290.16263,227.36563,1.1428165,0.9063672,0.92756116
5567.973,749.5034,1338.4987,37345.508,290.04462,227.35297,1.1423889,0.9079963,0.92863965
5625.0137,749.255,1338.2345,37346.15,289.9275,227.34058,1.1419599,0.9096113,0.9297021
5682.329,749.00757,1337.9689,37346.79,289.81122,227.32848,1.1415293,0.91121215,0.9307487
5739.9224,748.7611,1337.7017,37347.43,289.6958,227.31665,1.1410974,0.91279906,0.93177974
5797.7876,748.51575,1337.4332,37348.07,289.5812,227.3051,1.1406639,0.914372,0.9327954
5855.9194,748.2713,1337.1633,37348.715,289.46747,227.29381,1.140229,0.91593117,0.9337959
5914.3286,748.0278,1336.8922,37349.35,289.3545,227.28276,1.1397926,0.9174766,0.93478155
5973.0044,747.7852,1336.6199,37349.99,289.2423,227.27197,1.1393545,0.9190084,0.9357525
6031.9478,747.54364,1336.3463,37350.625,289.1309,227.26144,1.138915,0.92052656,0.93670905
6091.161,747.303,1336.0715,37351.26,289.02023,227.25114,1.1384737,0.9220313,0.93765134
6150.637,747.06323,1335.7957,37351.9,288.91034,227.24107,1.138031,0.9235226,0.9385796
