con,Omega,Theta,ygross,ynet,inv,Eind,carbontax,Abatement,Dam,Emissions
268.1231,0.0034553423,0.02819139,372.54108,371.25378,92.66454,0.0,434.8139,10.50245,1.287257,0.8820653
274.21738,0.0034502393,0.027607234,380.70926,379.39572,94.70427,0.0,432.64526,10.51033,1.3135381,0.8620093
280.39368,0.0034451974,0.02703469,388.9817,387.6416,96.76816,0.0,430.48746,10.516001,1.3401188,0.8424093
286.653,0.0034402157,0.02647363,397.3599,395.9929,98.856476,0.0,428.34033,10.519558,1.3670038,0.823255
292.99612,0.0034352948,0.025923794,405.84418,404.45,100.96903,0.0,426.20395,10.521022,1.3941945,0.80453616
299.4235,0.003430434,0.025385015,414.43555,413.0139,103.10599,0.0,424.07834,10.520453,1.4216939,0.78624314
305.93582,0.0034256335,0.024856977,423.13477,421.6852,105.2676,0.0,421.96323,10.517851,1.4495046,0.76836574
312.5339,0.003420892,0.024339572,431.94247,430.46487,107.45361,0.0,419.85864,10.513295,1.4776286,0.7508949
319.21176,0.0034162097,0.023832502,440.8596,439.35352,109.67085,0.0,417.76456,10.506786,1.5060686,0.73382133
325.9295,0.0034115864,0.02333566,449.8862,448.3514,111.95931,0.0,415.68094,10.498391,1.5348257,0.7171359
332.73233,0.0034070213,0.022848805,459.02258,457.45874,114.27403,0.0,413.60776,10.488118,1.5638998,0.70083004
339.62103,0.0034025142,0.022371741,468.2698,466.6765,116.6151,0.0,411.5449,10.476011,1.5932946,0.68489486
346.59552,0.003398064,0.021904316,477.62805,476.00504,118.98293,0.0,409.49225,10.462116,1.6230108,0.669322
353.65683,0.00339367,0.021446273,487.098,485.44495,121.37711,0.0,407.4499,10.446436,1.6530498,0.6541032
360.8053,0.0033893331,0.020997463,496.6804,494.99698,123.79798,0.0,405.41776,10.429028,1.6834153,0.6392305
368.04095,0.0033850512,0.020557748,506.37564,504.6615,126.24588,0.0,403.3957,10.409944,1.7141075,0.62469596
375.3646,0.003380824,0.02012691,516.1842,514.4391,128.72044,0.0,401.38373,10.389194,1.745128,0.61049193
382.77628,0.00337665,0.01970475,526.1065,524.33,131.22197,0.0,399.38184,10.366797,1.7764776,0.59661067
390.2773,0.0033725307,0.01929116,536.14355,534.3353,133.75009,0.0,397.38986,10.342831,1.8081605,0.58304524
397.86697,0.0033684631,0.018885948,546.2952,544.4551,136.30554,0.0,395.4079,10.317304,1.8401755,0.56978816
405.5462,0.0033644494,0.01848894,556.5622,554.6897,138.88791,0.0,393.43576,10.290245,1.8725255,0.5568326
413.315,0.003360486,0.018099988,566.9448,565.0396,141.49742,0.0,391.47354,10.261695,1.9052099,0.5441719
421.17432,0.0033565734,0.017718924,577.4439,575.5057,144.13402,0.0,389.52103,10.231685,1.9382329,0.5317987
429.12396,0.0033527117,0.017345605,588.0595,586.0879,146.79791,0.0,387.5783,10.200248,1.971594,0.5197067
437.1646,0.003348898,0.016979866,598.7926,596.7873,149.48929,0.0,385.64514,10.167418,2.005295,0.5078899
445.2961,0.0033451342,0.016621575,609.6425,607.60315,152.20773,0.0,383.7218,10.133219,2.039336,0.49634153
453.5192,0.0033414166,0.016270546,620.6107,618.537,154.9539,0.0,381.8079,10.097675,2.0737188,0.48505595
461.82635,0.003337746,0.015926728,631.69666,629.58826,157.73462,0.0,379.90366,10.060861,2.108443,0.47402695
470.22516,0.0033341222,0.015589868,642.90326,640.75977,160.54526,0.0,378.00888,10.022778,2.1435182,0.46324873
478.71848,0.0033305425,0.01525991,654.2309,652.052,163.38332,0.0,376.1236,9.983505,2.1789439,0.45271567
487.3058,0.003327008,0.014936692,665.6796,663.46497,166.2492,0.0,374.24768,9.943051,2.2147217,0.44242203
495.9875,0.003323517,0.01462008,677.2497,674.9989,169.14287,0.0,372.3811,9.901444,2.2508512,0.43236247
504.76352,0.0033200684,0.0143099455,688.94116,686.6538,172.06429,0.0,370.52383,9.858709,2.2873313,0.42253155
513.6342,0.0033166623,0.014006136,700.7541,698.42993,175.0134,0.0,368.67575,9.814857,2.3241644,0.4129241
522.5654,0.0033132972,0.0137085775,712.68835,710.327,178.02405,0.0,366.83698,9.769944,2.3613484,0.40353513
531.53827,0.003309972,0.0134171,724.7435,722.34467,181.11455,0.0,365.00735,9.723956,2.3988807,0.39435962
540.6022,0.003306687,0.013131624,736.91846,734.48175,184.23465,0.0,363.18686,9.676936,2.4367588,0.3853927
549.75653,0.00330344,0.0128519945,749.2137,746.73865,187.38504,0.0,361.37546,9.62889,2.4749825,0.3766298
559.00214,0.0033002319,0.012578112,761.6292,759.11566,190.5653,0.0,359.57306,9.579858,2.5135531,0.36806604
568.3388,0.00329706,0.012309865,774.16583,771.6134,193.77615,0.0,357.77966,9.529878,2.5524714,0.35969707
577.7672,0.0032939243,0.0120471455,786.8235,784.2317,197.01672,0.0,355.99527,9.478977,2.591737,0.35151836
587.288,0.003290824,0.011789834,799.60315,796.97174,200.2875,0.0,354.21964,9.427188,2.6313531,0.3435256
596.9009,0.0032877591,0.0115378145,812.505,809.8336,203.58908,0.0,352.45297,9.374532,2.6713207,0.33571473
606.6063,0.0032847268,0.011291017,825.5289,822.81726,206.92047,0.0,350.6951,9.321061,2.711637,0.3280814
616.40466,0.0032817277,0.0110493,838.67584,835.9235,210.28255,0.0,348.946,9.266781,2.7523055,0.32062155
626.2963,0.0032787605,0.010812577,851.94617,849.15283,213.67493,0.0,347.20557,9.211733,2.793327,0.31333125
636.2813,0.003275825,0.010580756,865.3397,862.50494,217.09764,0.0,345.47385,9.155948,2.8347013,0.30620688
646.35895,0.0032729201,0.010353737,878.8563,875.9799,220.55132,0.0,343.75082,9.099446,2.8764265,0.29924446
656.5306,0.0032700456,0.010131402,892.4965,889.57806,224.0348,0.0,342.0363,9.042241,2.9185045,0.2924403
666.7956,0.0032671995,0.009913702,906.26056,903.29956,227.549,0.0,340.3304,8.984397,2.960934,0.28579083
677.15466,0.003264381,0.009700501,920.14905,917.1453,231.09387,0.0,338.63303,8.925907,3.003717,0.2792926
687.6075,0.003261591,0.009491713,934.1616,931.1148,234.66939,0.0,336.944,8.866795,3.0468535,0.27294213
698.1542,0.003258828,0.009287285,948.298,945.2077,238.27509,0.0,335.2635,8.807114,3.09034,0.26673612
708.79553,0.0032560914,0.009087094,962.5599,959.4257,241.91173,0.0,333.5913,8.746872,3.134183,0.26067114
719.5309,0.0032533796,0.008891075,976.94556,973.76715,245.57852,0.0,331.92758,8.686096,3.178375,0.2547441
730.3604,0.003250692,0.0086991405,991.45636,988.23346,249.27617,0.0,330.272,8.624819,3.2229192,0.2489518
741.28394,0.003248028,0.008511213,1006.092,1002.8242,253.00497,0.0,328.6248,8.563063,3.2678146,0.24329129
752.30237,0.003245387,0.008327193,1020.8524,1017.53937,256.7637,0.0,326.98578,8.500835,3.3130615,0.23775938
763.4149,0.0032427679,0.008147018,1035.7379,1032.3793,260.55356,0.0,325.35492,8.438176,3.3586578,0.2323533
774.61774,0.003240171,0.007970612,1050.749,1047.3445,264.37872,0.0,323.73218,8.375113,3.4046063,0.22707012
785.90765,0.003237595,0.007797884,1065.8822,1062.4313,268.23886,0.0,322.11758,8.311625,3.450895,0.22190705
797.2877,0.0032350398,0.0076287743,1081.1401,1077.6427,272.13382,0.0,320.51096,8.247775,3.4975317,0.21686128
808.7654,0.003232504,0.0074631968,1096.5264,1092.9819,276.0594,0.0,318.91235,8.183592,3.5445259,0.21193029
820.3395,0.0032299869,0.007301107,1112.0402,1108.4484,280.01596,0.0,317.32175,8.119123,3.591875,0.20711158
832.00977,0.0032274877,0.0071423952,1127.6814,1124.0417,284.0037,0.0,315.73904,8.054346,3.6395779,0.20240222
843.7761,0.0032250064,0.006987034,1143.4487,1139.7611,288.02142,0.0,314.16434,7.9893155,3.6876297,0.1978001
855.6386,0.0032225423,0.0068349256,1159.344,1155.6079,292.07086,0.0,312.59738,7.9240294,3.7360349,0.1933026
867.59674,0.0032200955,0.006686021,1175.3657,1171.5809,296.15094,0.0,311.0383,7.8585205,3.78479,0.1889073
