    1,           45.52
    2,           45.74
    3,           45.70
    4,           47.69
    5,           47.22
    6,           47.96
    7,           48.85
    8,           47.12
    9,           46.93
   10,           47.56
   11,           48.05
   12,           49.38
   13,           49.28
   14,           50.18
   15,           51.32
   16,           49.76
   17,           50.47
   18,           51.82
   19,           52.82
   20,           52.52
   21,           52.13
   22,           52.79
   23,           54.15
   24,           52.19
   25,           52.99
   26,           53.65
   27,           53.28
   28,           53.76
   29,           54.19
   30,           54.38
   31,           54.54
   32,           54.82
   33,           54.47
   34,           55.87
   35,           54.57
   36,           54.93
   37,           54.61
   38,           53.18
   39,           54.17
   40,           54.73
   41,           54.64
   42,           53.77
   43,           54.36
   44,           54.53
   45,           54.25
   46,           54.31
   47,           53.14
   48,           52.80
   49,           54.70
   50,           54.89
   51,           55.24
   52,           54.17
   53,           54.25
   54,           55.39
   55,           56.63
   56,           56.07
   57,           56.65
   58,           56.89
   59,           55.91
   60,           56.25
   61,           55.49
   62,           55.62
   63,           55.26
   64,           55.08
   65,           55.86
   66,           53.86
   67,           53.65
   68,           54.53
   69,           56.21
   70,           52.99
   71,           53.18
   72,           55.18
   73,           55.12
   74,           53.16
   75,           54.11
   76,           53.16
   77,           53.57
   78,           55.53
   79,           56.42
   80,           53.89
   81,           56.24
   82,           56.41
   83,           54.36
   84,           56.45
   85,           53.45
   86,           53.66
   87,           54.62
   88,           53.78
   89,           55.08
   90,           54.56
   91,           54.52
   92,           56.12
   93,           54.85
   94,           53.32
   95,           56.61
   96,           54.10
   97,           53.14
   98,           52.57
   99,           53.41
  100,           53.77
  101,           51.93
  102,           52.29
  103,           53.46
  104,           53.03
  105,           52.87
  106,           56.37
  107,           53.88
  108,           53.54
  109,           55.78
  110,           53.63
  111,           55.28
  112,           53.67
  113,           52.65
  114,           51.94
  115,           53.72
  116,           52.95
  117,           53.64
  118,           53.84
  119,           54.77
  120,           55.73
  121,           53.56
  122,           54.88
  123,           54.66
  124,           53.09
  125,           54.82
  126,           54.07
  127,           51.56
  128,           50.44
  129,           51.35
  130,           53.02
  131,           52.35
  132,           54.61
  133,           54.79
  134,           52.76
  135,           55.84
  136,           56.05
  137,           55.07
  138,           55.52
  139,           53.44
  140,           52.38
  141,           54.28
  142,           54.31
  143,           53.83
  144,           51.66
  145,           53.95
  146,           56.14
  147,           52.84
  148,           52.62
  149,           51.89
  150,           51.71
  151,           51.90
  152,           52.26
  153,           49.86
  154,           51.00
  155,           53.24
  156,           55.68
  157,           53.97
  158,           54.18
  159,           56.03
  160,           55.65
  161,           53.24
  162,           53.20
  163,           55.17
  164,           54.74
  165,           53.18
  166,           51.72
  167,           51.81
