kx,MATx,MUOx,MLOx,MLFx,MLFeqx,TATx,TOCx,taux
223.00183,850.0,1236.0,37236.0,371.0,258.0,1.1,0.27,0.0
227.42038,854.3929,1239.2394,37236.395,371.18558,257.29077,1.1494261,0.27571872,0.014888048
232.31897,858.7151,1242.5251,37236.793,371.47125,256.5977,1.1911632,0.28173855,0.029554427
237.63177,862.981,1245.8553,37237.203,371.841,255.92035,1.2270937,0.2880045,0.044002473
243.34538,867.2048,1249.2283,37237.617,372.28174,255.2584,1.258634,0.2944748,0.058235407
249.44699,871.39667,1252.6422,37238.043,372.78302,254.61153,1.2868534,0.30111787,0.072256446
255.92142,875.5633,1256.096,37238.48,373.33636,253.97935,1.3125582,0.30790958,0.08606875
262.75342,879.7095,1259.5886,37238.92,373.93494,253.36156,1.3363556,0.3148316,0.09967542
269.92685,883.838,1263.119,37239.37,374.57294,252.75778,1.3587027,0.3218699,0.11307949
277.42606,887.9502,1266.6864,37239.832,375.24557,252.16776,1.3799428,0.32901368,0.126284
285.2385,892.04663,1270.2899,37240.305,375.9488,251.59114,1.4003329,0.33625457,0.13929194
293.3616,896.1264,1273.9287,37240.78,376.67908,251.02765,1.4200654,0.34358606,0.15210623
301.77084,900.18616,1277.6019,37241.27,377.43326,250.47696,1.439283,0.351003,0.16472971
310.4517,904.22437,1281.3086,37241.766,378.20853,249.93878,1.4580889,0.35850123,0.17716527
319.3942,908.23914,1285.0481,37242.27,379.00217,249.41286,1.4765592,0.3660774,0.1894157
328.5901,912.22784,1288.8192,37242.785,379.81183,248.8989,1.494749,0.3737286,0.20148373
338.0469,916.1859,1292.621,37243.312,380.63522,248.3966,1.5126971,0.38145244,0.21337211
347.75638,920.1105,1296.4524,37243.848,381.4702,247.90575,1.5304288,0.3892467,0.22508347
357.71182,923.99854,1300.3125,37244.39,382.31458,247.42604,1.5479609,0.39710945,0.23662049
367.90747,927.84717,1304.2,37244.945,383.16632,246.95726,1.5653032,0.4050388,0.24798572
378.33868,931.65314,1308.1135,37245.51,384.0236,246.49911,1.5824611,0.41303304,0.25918174
389.00113,935.4135,1312.0522,37246.082,384.8845,246.0514,1.5994363,0.4210904,0.2702111
399.89185,939.12604,1316.0144,37246.664,385.7472,245.61386,1.6162275,0.4292092,0.28107625
411.00452,942.7899,1319.999,37247.258,386.61005,245.18626,1.6328323,0.43738776,0.29177964
422.33847,946.4023,1324.0045,37247.86,387.47156,244.7684,1.6492488,0.44562438,0.3023237
433.89246,949.95996,1328.0297,37248.473,388.33023,244.36003,1.6654737,0.45391735,0.31271076
445.66577,953.45984,1332.0731,37249.098,389.1846,243.96095,1.6815015,0.46226498,0.32294315
457.6585,956.8992,1336.1333,37249.73,390.0332,243.57094,1.697327,0.4706655,0.33302325
469.87057,960.275,1340.2089,37250.375,390.87463,243.1898,1.7129432,0.4791172,0.34295326
482.2855,963.58386,1344.2982,37251.027,391.70743,242.81732,1.7283436,0.48761827,0.35273546
494.9001,966.8231,1348.3997,37251.69,392.53024,242.45332,1.7435207,0.49616686,0.36237198
507.7166,969.9903,1352.5116,37252.363,393.3416,242.0976,1.758467,0.5047611,0.37186503
520.7386,973.0833,1356.6326,37253.047,394.14026,241.74995,1.7731752,0.5133991,0.38121676
533.96814,976.0999,1360.7607,37253.742,394.92484,241.41023,1.7876389,0.522079,0.39042926
547.3983,979.0374,1364.8944,37254.45,395.69418,241.07822,1.8018516,0.5307987,0.3995046
561.0166,981.8934,1369.0319,37255.16,396.44702,240.75375,1.815807,0.5395562,0.40844482
574.8286,984.6661,1373.1715,37255.887,397.18216,240.43668,1.8294982,0.54834956,0.41725194
588.8382,987.3539,1377.3116,37256.62,397.89844,240.1268,1.8429195,0.55717665,0.42592794
603.04913,989.9553,1381.4502,37257.37,398.59485,239.82397,1.8560654,0.5660354,0.43447477
617.46643,992.4688,1385.5854,37258.125,399.27032,239.52805,1.8689314,0.5749237,0.44289434
632.09344,994.8917,1389.7157,37258.89,399.92392,239.23883,1.881513,0.5838394,0.45118856
646.93066,997.2144,1393.8392,37259.67,400.55463,238.95619,1.893805,0.5927804,0.4593593
661.9814,999.43634,1397.9539,37260.457,401.16104,238.68,1.9057958,0.6017445,0.46740842
677.2492,1001.5564,1402.0579,37261.254,401.74188,238.41005,1.9174768,0.6107294,0.47533768
692.73804,1003.5743,1406.149,37262.062,402.29602,238.14626,1.928841,0.61973286,0.48314893
708.45197,1005.48926,1410.2255,37262.883,402.82245,237.88847,1.9398836,0.6287526,0.49084383
724.3926,1007.2997,1414.2853,37263.71,403.32025,237.63654,1.9505999,0.63778627,0.49842417
740.5615,1009.00433,1418.3267,37264.55,403.7886,237.39032,1.9609861,0.6468316,0.5058917
756.9621,1010.60284,1422.3473,37265.4,404.22665,237.14972,1.9710382,0.6558861,0.513248
773.59735,1012.0947,1426.3456,37266.258,404.6337,236.91458,1.9807534,0.6649475,0.5204948
790.47174,1013.48004,1430.3195,37267.13,405.00906,236.68478,1.990129,0.67401344,0.5276337
807.5876,1014.7586,1434.2672,37268.004,405.35223,236.46022,1.9991632,0.68308145,0.53466636
824.92163,1015.92804,1438.1868,37268.89,405.6627,236.24075,2.0078552,0.6921492,0.54159427
842.4623,1016.9877,1442.0764,37269.785,405.93988,236.02629,2.016202,0.70121443,0.54841906
860.2102,1017.93634,1445.9344,37270.69,406.18326,235.81668,2.024201,0.7102747,0.5551423
878.15576,1018.77057,1449.7587,37271.605,406.3924,235.61186,2.0318494,0.7193276,0.5617654
896.341,1019.4837,1453.5472,37272.53,406.56653,235.41168,2.0391424,0.7283709,0.5682899
914.7823,1020.0726,1457.2983,37273.465,406.70468,235.21606,2.046071,0.73740214,0.5747172
