kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
878.22455,1.050656,0.6828893,2.7595317,-0.92987514,-0.0042745965,-2.4430935,-0.16713507,-0.603832
896.4103,1.0507911,0.6941794,2.7618074,-0.93038905,-0.004242857,-2.4450133,-0.16769738,-0.603864
914.8519,1.0509673,0.7056923,2.7641609,-0.9309681,-0.0042212503,-2.447002,-0.16826214,-0.6038635
933.51154,1.0511394,0.7178194,2.7663348,-0.93145955,-0.004181226,-2.4488575,-0.16873004,-0.60372126
952.40155,1.0512799,0.73002905,2.7686388,-0.932063,-0.004202594,-2.4508364,-0.1690376,-0.60345054
971.5284,1.0514029,0.7421283,2.7709272,-0.9326757,-0.004224648,-2.4528012,-0.16932161,-0.60317034
990.90015,1.051507,0.75410825,2.7732015,-0.93329823,-0.0042459564,-2.454754,-0.16958328,-0.6028823
1010.52216,1.0515863,0.7659625,2.7754643,-0.9339329,-0.004267295,-2.4566922,-0.16982318,-0.6025883
1030.4008,1.0516392,0.7776863,2.777713,-0.9345803,-0.0042877095,-2.4586205,-0.17004086,-0.60228664
1050.542,1.0516636,0.78927416,2.779952,-0.93524027,-0.004307409,-2.4605372,-0.17023648,-0.6019791
1070.9501,1.0516586,0.8007239,2.7821813,-0.9359131,-0.0043267803,-2.4624448,-0.17041047,-0.601666
1091.6305,1.051622,0.8120293,2.7844,-0.93659806,-0.004345407,-2.4643433,-0.17056341,-0.6013472
1112.5879,1.051553,0.8231895,2.78661,-0.9372964,-0.0043623643,-2.4662335,-0.17069544,-0.60102344
1133.8269,1.0514507,0.8341991,2.7888103,-0.9380069,-0.004378994,-2.4681156,-0.17080761,-0.60069466
1155.35,1.0513157,0.84505635,2.7910013,-0.9387295,-0.0043938654,-2.469989,-0.17090006,-0.6003613
1177.163,1.0511469,0.8557569,2.7931833,-0.9394641,-0.0044082897,-2.471855,-0.17097224,-0.6000242
1199.2678,1.0509441,0.8662983,2.795356,-0.94021064,-0.0044206874,-2.4737132,-0.17102583,-0.59968245
1221.6703,1.0507069,0.8766786,2.7975204,-0.9409692,-0.00443237,-2.4755628,-0.171061,-0.599338
1244.3712,1.0504367,0.88689214,2.7996736,-0.941738,-0.0044419663,-2.4774058,-0.17107786,-0.59898883
1267.3752,1.0501329,0.89693856,2.8018196,-0.9425174,-0.004450907,-2.4792407,-0.1710762,-0.5986374
1290.6838,1.0497957,0.90681434,2.8039544,-0.9433073,-0.0044580894,-2.4810681,-0.17105813,-0.5982826
1314.3019,1.0494251,0.91651815,2.8060799,-0.9441058,-0.004463245,-2.4828858,-0.17102273,-0.5979255
1338.2297,1.0490232,0.92604536,2.8081932,-0.94491506,-0.004466166,-2.4846957,-0.17097051,-0.5975647
1362.4717,1.0485889,0.9353951,2.8102956,-0.94573236,-0.004468729,-2.4864962,-0.17090262,-0.59720206
1387.0288,1.0481235,0.9445649,2.8123875,-0.94655746,-0.0044692056,-2.4882872,-0.17081828,-0.5968376
1411.9169,1.0476207,0.95344305,2.8144786,-0.9473779,-0.004457523,-2.490114,-0.17072327,-0.5964646
1437.1371,1.0470839,0.9621539,2.8165605,-0.948208,-0.0044443505,-2.4919317,-0.17061283,-0.59609014
1462.704,1.0465298,0.9706267,2.818632,-0.9490541,-0.004429032,-2.4937422,-0.17048754,-0.59571767
1488.6676,1.0459782,0.97871405,2.8206933,-0.9499328,-0.004411538,-2.495559,-0.17035075,-0.59534955
1515.0784,1.0453517,0.9862644,2.8227694,-0.95086324,-0.004415144,-2.497367,-0.17018814,-0.594946
1541.9424,1.0446267,0.9934501,2.824883,-0.9518726,-0.004434784,-2.49916,-0.16999532,-0.59461784
1569.2611,1.0437207,0.99861944,2.8269668,-0.9529502,-0.0044399993,-2.5009158,-0.16973849,-0.5942133
1597.0078,1.0426526,1.0,2.8286622,-0.9540324,-0.0044735568,-2.5025227,-0.16961862,-0.5935606
1625.1787,1.0415419,1.0,2.8303192,-0.95513976,-0.0045382874,-2.5041213,-0.16953506,-0.59287477
1653.7422,1.0403668,1.0,2.8318727,-0.95627713,-0.0046200054,-2.5056283,-0.16926403,-0.5924278
1682.689,1.0391562,1.0,2.833423,-0.957405,-0.0046977,-2.507145,-0.16897781,-0.59201217
1711.9857,1.0379072,1.0,2.834882,-0.9585067,-0.004759361,-2.5086586,-0.16871955,-0.5915738
1741.6213,1.0366535,1.0,2.8363147,-0.9595981,-0.004816224,-2.5101588,-0.16846688,-0.59113646
1771.5914,1.0354033,1.0,2.8377368,-0.96067834,-0.0048702555,-2.5116496,-0.16821744,-0.5907036
