,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,8.255e-04,3.325e-03,3.390e-04,6.746e-04,8.677e-04,2.795e-04,3.413e-05,3.610e-04,1.928e-04
std,4.926e-04,3.942e-04,7.044e-04,3.835e-04,4.372e-04,1.984e-04,2.801e-05,2.791e-04,1.627e-04
min,6.402e-05,2.677e-03,0.000e+00,9.581e-06,1.025e-05,5.960e-07,9.569e-08,2.646e-05,1.132e-06
0.1%,6.402e-05,2.677e-03,0.000e+00,9.581e-06,1.025e-05,5.960e-07,9.569e-08,2.646e-05,1.132e-06
25%,3.525e-04,3.012e-03,0.000e+00,3.770e-04,5.484e-04,9.374e-05,1.220e-05,1.337e-04,4.798e-05
50%,9.053e-04,3.245e-03,0.000e+00,6.624e-04,8.708e-04,2.692e-04,3.121e-05,2.681e-04,1.366e-04
75%,1.266e-03,3.624e-03,3.574e-04,8.969e-04,1.200e-03,4.215e-04,5.454e-05,5.502e-04,3.187e-04
99.9%,1.732e-03,4.972e-03,4.003e-03,1.368e-03,1.724e-03,9.696e-04,2.715e-04,1.678e-03,5.429e-04
max,1.732e-03,4.972e-03,4.003e-03,1.368e-03,1.724e-03,9.696e-04,2.715e-04,1.678e-03,5.429e-04
