kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
228.14366,0.9819804,0.85026246,-0.3265641,-0.00046490063,-0.7425901,-0.03432292,-0.22940183
233.8192,0.99051666,0.849061,-0.32508954,-0.00069223274,-0.74037796,-0.034797136,-0.22982225
239.96315,0.996818,0.8480332,-0.32373226,-0.0007750832,-0.7385538,-0.03528476,-0.23030531
246.47934,1.0017223,0.8470759,-0.32226396,-0.0007109486,-0.7368597,-0.03562856,-0.230988
253.28905,1.005491,0.84621704,-0.32089666,-0.0005710565,-0.7353935,-0.035995428,-0.2316783
260.41263,1.0088067,0.845732,-0.3196734,-0.00043420424,-0.7341908,-0.03640509,-0.23240453
267.96567,1.012063,0.84602714,-0.31866553,-0.00039093127,-0.7333523,-0.036894802,-0.23322222
275.8356,1.0140362,0.84640646,-0.3176886,-0.00030229916,-0.73265004,-0.037416402,-0.23406449
283.95193,1.0152206,0.84683704,-0.3167371,-0.00018338789,-0.73204255,-0.037955765,-0.23492247
292.405,1.0167072,0.8475884,-0.3160129,-0.00011353125,-0.73169476,-0.03845537,-0.23595834
301.18973,1.0178171,0.8485485,-0.31540263,-5.988707e-05,-0.7315173,-0.038951878,-0.23709512
310.23508,1.0182049,0.84956384,-0.31479317,1.0565622e-05,-0.7314005,-0.03947157,-0.23824489
319.59677,1.0187646,0.8508252,-0.3143411,7.595192e-05,-0.7314864,-0.04001582,-0.23952386
329.26172,1.0190254,0.85223377,-0.31395593,0.00014455686,-0.73169345,-0.040583555,-0.24087161
339.17636,1.0187792,0.853684,-0.3135645,0.000220672,-0.7319344,-0.04116762,-0.24222577
349.3347,1.0184569,0.8552444,-0.31325743,0.00020875107,-0.7323202,-0.041788463,-0.24361366
359.73074,1.0180962,0.85688484,-0.31305292,0.0001629151,-0.73280764,-0.042437974,-0.24502155
370.34576,1.0175287,0.8585525,-0.31284925,0.00011922489,-0.7333162,-0.043094937,-0.24643338
