con,Omega,ygross,ynet,inv,Eind,scc,carbontax,Dam,Emissions
77.175674,0.0028556,105.17594,104.8756,27.69993,36.845238,17.509594,550.0,0.3003404,39.445236
79.61988,0.0031179856,108.67582,108.33696,28.717087,37.496696,17.9697,547.25684,0.33884963,40.03758
82.21533,0.0033495047,112.3099,111.93372,29.718393,38.165142,18.480623,544.5275,0.37618256,40.648254
84.922874,0.0035570636,116.058975,115.64615,30.723269,38.842693,19.023136,541.8116,0.4128292,41.26934
87.73353,0.0037465154,119.91054,119.46128,31.727758,39.524227,19.597145,539.1093,0.44924667,41.8957
90.61103,0.003922639,123.85426,123.36843,32.7574,40.20549,20.196762,536.4205,0.48583558,42.52304
93.53281,0.0040892465,127.8939,127.37092,33.8381,40.887096,20.82559,533.7451,0.5229897,43.151955
96.57976,0.004249324,132.04759,131.48648,34.906723,41.574078,21.494974,531.08307,0.56111294,43.787437
99.72608,0.004405194,136.29936,135.69894,35.972862,42.260506,22.194784,528.4342,0.6004252,44.423542
102.9008,0.0045586596,140.63953,139.99838,37.09758,42.94274,22.907486,525.79865,0.6411277,45.05659
106.15117,0.0047111055,145.082,144.39851,38.247337,43.62466,23.647469,523.1762,0.6834966,45.69045
109.50551,0.0048635867,149.62666,148.89894,39.39344,44.3053,24.420702,520.5669,0.7277223,46.32412
112.900734,0.0050169104,154.26349,153.48956,40.588825,44.981354,25.211899,517.9706,0.77392614,46.95427
116.37316,0.005171695,159.00125,158.17892,41.805775,45.65462,26.030985,515.3871,0.82230586,47.582672
119.942055,0.0053284033,163.83835,162.96536,43.023304,46.324326,26.88122,512.81665,0.87299687,48.20854
123.57562,0.0054873917,168.76732,167.84123,44.265617,46.9876,27.754799,510.25897,0.9260924,48.82897
127.27162,0.0056489278,173.78767,172.80595,45.534348,47.64417,28.650179,507.71402,0.981714,49.443676
131.0458,0.0058132056,178.89893,177.85896,46.813164,48.293262,29.570383,505.18176,1.0399762,50.05185
134.89339,0.0059803706,184.09862,182.99763,48.104248,48.93413,30.513748,502.66214,1.100978,50.652733
138.81223,0.0061505223,189.38571,188.22089,49.40867,49.565933,31.47947,500.15515,1.164821,51.24546
142.80156,0.0063237306,194.76012,193.52852,50.72697,50.188526,32.467392,497.66055,1.2316107,51.829865
146.85976,0.006500039,200.22191,198.92044,52.06068,50.80167,33.477055,495.1785,1.30145,52.40569
150.98161,0.006679468,205.77182,204.39737,53.41577,51.405235,34.507084,492.70874,1.3744464,52.972782
155.16914,0.0068620224,211.41118,209.96048,54.791348,51.99936,35.5592,490.2514,1.4507083,53.531265
159.41882,0.0070476998,217.1383,215.60799,56.189156,52.583237,36.63213,487.80627,1.5303255,54.080307
163.72748,0.007236488,222.95274,221.33936,57.611866,53.15682,37.722687,485.37332,1.613395,54.61985
168.10428,0.007428365,228.85649,227.15646,59.052177,53.7201,38.835144,482.95248,1.7000294,55.149864
172.55168,0.007623303,234.85101,233.06067,60.509003,54.273514,39.97051,480.5438,1.7903407,55.670773
177.06184,0.00782127,240.93727,239.05284,61.990997,54.816776,41.127388,478.147,1.8844355,56.182262
181.62027,0.008022234,247.11386,245.13144,63.511158,55.34958,42.302685,475.76218,1.982405,56.68402
186.24644,0.008226154,253.38144,251.29709,65.05064,55.871803,43.50028,473.38937,2.0843549,57.175903
190.9428,0.008432995,259.74176,257.55136,66.60856,56.383755,44.721264,471.02832,2.1904008,57.6582
195.71082,0.008642713,266.1961,263.89545,68.18463,56.88545,45.966263,468.67902,2.3006566,58.130913
200.55174,0.008855265,272.74554,270.33032,69.778564,57.376926,47.235897,466.3415,2.415234,58.59408
205.46689,0.009070607,279.39117,276.85693,71.39004,57.858376,48.530743,464.01566,2.5342476,59.047848
210.45695,0.009288698,286.1338,283.47598,73.01903,58.329662,49.851192,461.7013,2.6578104,59.492092
215.52277,0.009509489,292.97415,290.1881,74.66534,58.79079,51.19776,459.39856,2.7860346,59.926785
220.65591,0.009732936,299.91302,296.99396,76.33805,59.24187,52.56735,457.10733,2.9190342,60.35204
225.86905,0.009958987,306.95596,303.899,78.029945,59.683712,53.96517,454.8275,3.0569704,60.768635
231.16862,0.010187603,314.10486,310.90488,79.736275,60.116497,55.391487,452.55902,3.1999755,61.17675
236.5348,0.010418735,321.35013,318.00204,81.467255,60.538216,56.83355,450.30185,3.348062,61.57437
241.93419,0.010652336,328.67148,325.17032,83.23615,60.945114,58.284122,448.05597,3.501119,61.95771
247.38657,0.010888363,336.08047,332.4211,85.034546,61.33932,59.75143,445.82132,3.659366,62.32889
252.90317,0.01112676,343.58374,339.76077,86.8576,61.72211,61.240067,443.59775,3.822974,62.68918
258.48962,0.011367461,351.18497,347.19284,88.703255,62.093872,62.75254,441.38525,3.9920812,63.03895
264.14996,0.011610404,358.8866,354.71976,90.5698,62.455162,64.29044,439.1839,4.166818,63.37875
269.88583,0.011855533,366.68988,362.34253,92.45673,62.806015,65.85468,436.99344,4.3473043,63.7086
275.6989,0.012102793,374.59628,370.06265,94.36372,63.14659,67.44589,434.8139,4.533661,64.02866
281.5902,0.012352121,382.60657,377.88055,96.290375,63.477043,69.06466,432.64526,4.7260027,64.33905
287.52448,0.012603468,390.7215,385.797,98.272545,63.79718,70.6981,430.48746,4.924445,64.63959
293.53616,0.012856781,398.94144,393.81235,100.27617,64.10722,72.36316,428.34033,5.129102,64.93047
299.6186,0.013111996,407.26288,401.92285,102.30426,64.406425,74.05306,426.20395,5.340029,65.21097
305.77304,0.013369076,415.68832,410.13095,104.3579,64.69527,75.77095,424.07834,5.5573688,65.48151
311.9982,0.013627955,424.21933,418.43814,106.43991,64.97368,77.520065,421.96323,5.7812424,65.74205
318.3006,0.013888586,432.85696,426.84518,108.544586,65.24205,79.29726,419.85864,6.011771,65.99295
324.6819,0.014150912,441.6024,435.3533,110.67144,65.50023,81.1033,417.76456,6.2490764,66.23405
331.14297,0.014414882,450.4563,443.963,112.82003,65.74853,82.93873,415.68094,6.493274,66.46566
337.6843,0.014680438,459.41925,452.6748,114.99049,65.986855,84.803825,413.60776,6.7444763,66.68768
344.30814,0.014947529,468.49255,461.48972,117.181595,66.21533,86.69815,411.5449,7.0028057,66.90023
351.0036,0.015216104,477.6701,470.4019,119.398285,66.43324,88.61625,409.49225,7.268278,67.10257
357.75537,0.015486109,486.9451,479.4042,121.64882,66.63937,90.553734,407.4499,7.540885,67.29348
364.57782,0.01575749,496.3244,488.50357,123.925766,66.834854,92.51573,405.41776,7.820827,67.47409
371.47574,0.016030194,505.8112,497.703,126.22726,67.02026,94.504906,403.3957,8.108252,67.64495
378.45105,0.016304156,515.4077,507.00443,128.55334,67.195724,96.52275,401.38373,8.403287,67.80621
385.50626,0.016579326,525.1153,516.40924,130.90294,67.36132,98.570274,399.38184,8.706058,67.95793
392.64334,0.016855642,534.93536,525.9187,133.27538,67.51749,100.6485,397.38986,9.01668,68.10054
399.86237,0.017133053,544.86835,535.5331,135.6707,67.6641,102.75748,395.4079,9.3352585,68.23389
407.17285,0.01741151,554.9149,545.253,138.08014,67.801285,104.900444,393.43576,9.661906,68.35812
414.57233,0.017690957,565.06866,555.0721,140.49977,67.92825,107.07493,391.47354,9.996606,68.47243
422.02014,0.017971344,575.3189,564.9796,142.95953,68.04378,109.26895,389.52103,10.339254,68.575584
429.5302,0.01825262,585.67316,574.98303,145.45285,68.148865,111.48951,387.5783,10.690069,68.668564
437.11133,0.018534727,596.1359,585.0867,147.97539,68.24408,113.73642,385.64514,11.049216,68.75197
444.76917,0.018817605,606.7099,595.293,150.52386,68.32979,116.01232,383.7218,11.416827,68.826126
452.5075,0.019101206,617.3976,605.60455,153.09708,68.406204,118.31891,381.8079,11.793039,68.89126
460.32773,0.019385476,628.19965,616.0217,155.694,68.47376,120.656815,379.90366,12.177949,68.947784
468.22128,0.019670358,639.1173,626.54565,158.32436,68.53215,123.022194,378.00888,12.571668,68.9954
476.18848,0.01995581,650.1509,637.1766,160.9881,68.58181,125.41581,376.1236,12.974288,69.034515
484.22928,0.020241773,661.2999,647.914,163.68471,68.62259,127.839905,374.24768,13.385882,69.06501
492.34805,0.020528203,672.5631,658.7566,166.40855,68.65441,130.29382,372.3811,13.806511,69.08678
500.54822,0.020815056,683.9423,669.70605,169.1578,68.67753,132.77936,370.52383,14.236299,69.10006
508.83148,0.021102287,695.4387,680.76337,171.93193,68.69196,135.2971,368.67575,14.675347,69.10488
517.19824,0.021389844,707.05286,691.92914,174.7309,68.69806,137.8475,366.83698,15.123751,69.10159
525.64996,0.021677686,718.7854,703.2038,177.5538,68.695694,140.4313,365.00735,15.581604,69.09005
534.1871,0.021965768,730.637,714.588,180.40096,68.68523,143.0486,363.18686,16.049004,69.07062
542.8096,0.022254044,742.6081,726.0821,183.27246,68.66649,145.69946,361.37546,16.526033,69.04312
551.5179,0.022542471,754.6985,737.6857,186.16786,68.63966,148.38441,359.57306,17.01277,69.00773
560.3127,0.02283101,766.9091,749.3998,189.08716,68.60485,151.10364,357.77966,17.50931,68.96455
569.1934,0.023119614,779.2398,761.224,192.03062,68.56213,153.85709,355.99527,18.015722,68.91366
578.162,0.023408243,791.6918,773.1596,194.99765,68.51167,156.64557,354.21964,18.532116,68.855194
587.21735,0.023696851,804.2646,785.20605,197.98872,68.453354,159.46863,352.45297,19.058538,68.78906
596.34503,0.023985412,816.95886,797.3637,201.01874,68.387535,162.3152,350.6951,19.595095,68.715614
605.5179,0.024273872,829.7599,809.6184,204.10051,68.312836,165.17325,348.946,20.141485,68.63346
614.7386,0.024562193,842.66345,821.9658,207.2272,68.22916,168.0477,347.20557,20.697662,68.54249
624.02606,0.024850339,855.6786,834.4146,210.3886,68.1374,170.9475,345.47385,21.263905,68.4436
633.3888,0.025138263,868.8099,846.9696,213.58076,68.037994,173.8767,343.75082,21.840372,68.337234
642.83234,0.02542592,882.06024,859.6331,216.80078,67.931145,176.83751,342.0363,22.427193,68.22358
652.3581,0.025713278,895.43097,872.4065,220.04842,67.81731,179.831,340.3304,23.024464,68.103096
