foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
4.146e-04,4.196e-03,1.375e-04,3.774e-04,2.317e-04,2.143e-05,2.426e-04,1.327e-04
4.250e-04,4.236e-03,1.284e-04,3.666e-04,2.268e-04,2.185e-05,2.241e-04,1.236e-04
4.295e-04,4.265e-03,1.212e-04,3.552e-04,2.223e-04,1.990e-05,2.058e-04,1.152e-04
4.299e-04,4.287e-03,1.141e-04,3.440e-04,2.167e-04,2.066e-05,1.894e-04,1.058e-04
4.283e-04,4.303e-03,1.080e-04,3.333e-04,2.119e-04,1.976e-05,1.721e-04,9.680e-05
4.261e-04,4.317e-03,1.014e-04,3.223e-04,2.069e-04,1.856e-05,1.549e-04,8.798e-05
4.240e-04,4.328e-03,9.568e-05,3.107e-04,2.016e-04,1.819e-05,1.392e-04,8.065e-05
4.224e-04,4.338e-03,9.004e-05,3.003e-04,1.967e-04,1.669e-05,1.218e-04,7.248e-05
4.177e-04,4.346e-03,8.451e-05,2.898e-04,1.914e-04,1.762e-05,1.076e-04,6.360e-05
4.152e-04,4.352e-03,7.964e-05,2.792e-04,1.859e-04,1.569e-05,9.084e-05,5.674e-05
4.127e-04,4.357e-03,7.503e-05,2.680e-04,1.818e-04,1.473e-05,7.606e-05,4.816e-05
4.092e-04,4.360e-03,7.033e-05,2.578e-04,1.759e-04,1.381e-05,6.104e-05,4.035e-05
4.066e-04,4.360e-03,6.594e-05,2.475e-04,1.708e-04,1.372e-05,4.482e-05,3.368e-05
4.036e-04,4.361e-03,6.208e-05,2.377e-04,1.648e-04,1.234e-05,3.004e-05,2.599e-05
4.014e-04,4.359e-03,6.002e-05,2.265e-04,1.606e-04,1.201e-05,1.585e-05,1.794e-05
3.986e-04,4.356e-03,5.563e-05,2.161e-04,1.546e-04,1.085e-05,1.550e-06,1.252e-05
3.959e-04,4.353e-03,5.187e-05,2.072e-04,1.503e-04,1.040e-05,1.252e-05,4.768e-06
3.932e-04,4.347e-03,5.037e-05,1.966e-04,1.430e-04,9.418e-06,2.730e-05,2.086e-06
3.904e-04,4.340e-03,4.628e-05,1.866e-04,1.391e-04,8.966e-06,4.208e-05,8.225e-06
3.896e-04,4.331e-03,3.824e-05,1.884e-04,1.303e-04,3.587e-06,5.794e-05,1.752e-05
3.980e-04,4.331e-03,1.751e-05,2.140e-04,1.172e-04,9.301e-06,7.796e-05,3.201e-05
4.072e-04,4.356e-03,2.645e-05,2.149e-04,1.139e-04,8.507e-06,8.273e-05,3.338e-05
4.113e-04,4.371e-03,3.727e-05,2.151e-04,1.072e-04,1.107e-05,8.690e-05,3.564e-05
4.128e-04,4.382e-03,4.803e-05,2.155e-04,1.041e-04,9.038e-06,9.239e-05,3.618e-05
4.134e-04,4.390e-03,5.904e-05,2.161e-04,9.897e-05,1.068e-05,9.501e-05,3.701e-05
4.054e-04,4.395e-03,7.589e-05,2.267e-04,1.235e-04,4.132e-06,9.120e-05,9.775e-06
3.577e-04,4.379e-03,9.432e-05,2.427e-04,1.730e-04,2.455e-05,7.403e-05,5.579e-05
3.257e-04,4.268e-03,9.893e-05,2.347e-04,1.662e-04,2.345e-05,7.558e-05,4.971e-05
3.092e-04,4.181e-03,1.009e-04,2.259e-04,1.596e-04,2.235e-05,7.856e-05,4.601e-05
3.022e-04,4.103e-03,1.121e-04,2.127e-04,1.396e-04,2.546e-05,5.901e-05,4.643e-05
3.059e-04,4.051e-03,1.179e-04,1.985e-04,1.234e-04,2.795e-05,4.923e-05,4.637e-05
3.113e-04,4.015e-03,1.168e-04,1.867e-04,1.157e-04,2.588e-05,5.901e-05,3.803e-05
3.158e-04,3.972e-03,1.095e-04,1.798e-04,1.227e-04,2.546e-05,7.522e-05,4.202e-05
3.312e-04,3.932e-03,7.570e-05,2.149e-04,2.149e-04,3.525e-05,9.799e-05,1.050e-04
