kx,MATx,MUOx,MLOx,MLFx,MLFeqx,TATx,TOCx,taux
1080.148,1296.381,1593.2363,37285.5,498.81174,233.96576,2.825029,0.91169095,0.6171076
1101.0016,1303.5079,1600.8109,37286.78,501.303,233.80302,2.8484862,0.9248738,0.62280816
1122.0884,1310.6122,1608.4288,37288.082,503.79288,233.64398,2.8718257,0.9381275,0.6284238
1143.42,1317.693,1616.0891,37289.402,506.2808,233.48856,2.8950455,0.9514507,0.63395584
1165.0035,1324.7491,1623.7904,37290.742,508.76617,233.33667,2.9181442,0.9648421,0.6394055
1186.828,1331.7794,1631.5317,37292.098,511.2486,233.18825,2.9411201,0.97830033,0.6447741
1208.902,1338.7828,1639.3121,37293.477,513.7275,233.04318,2.963972,0.99182415,0.65006274
1231.2329,1345.7583,1647.1305,37294.87,516.2024,232.90141,2.9866986,1.0054122,0.65527266
1253.8237,1352.7048,1654.9857,37296.29,518.6728,232.76288,3.0092986,1.0190632,0.66040504
1276.6776,1359.6217,1662.8765,37297.727,521.1381,232.62749,3.0317707,1.032776,0.665461
1299.7965,1366.5077,1670.8019,37299.184,523.598,232.49518,3.054114,1.0465491,0.6704416
1323.1841,1373.3622,1678.7606,37300.66,526.05194,232.36588,3.0763273,1.0603812,0.6753481
1346.8394,1380.1841,1686.7517,37302.156,528.4996,232.23952,3.09841,1.0742711,0.6801815
1370.7662,1386.9724,1694.7742,37303.668,530.9403,232.11603,3.1203609,1.0882174,0.68494296
1394.9645,1393.7263,1702.8267,37305.207,533.37384,231.99535,3.142179,1.1022189,0.6896336
1419.4363,1400.4451,1710.9081,37306.76,535.7997,231.8774,3.163864,1.1162742,0.6942544
1444.1832,1407.1279,1719.0172,37308.34,538.2174,231.76215,3.1854146,1.1303822,0.6988064
1469.1603,1413.7742,1727.1532,37309.938,540.6267,231.6495,3.2068307,1.1445414,0.70329064
1494.374,1420.3822,1735.3147,37311.555,543.02704,231.53943,3.2281115,1.1587505,0.7077081
1519.8441,1426.9517,1743.5006,37313.19,545.41815,231.43185,3.249256,1.1730084,0.71205986
1545.5781,1433.4818,1751.7097,37314.85,547.79956,231.32674,3.2702641,1.1873138,0.71634674
1571.5825,1439.9717,1759.941,37316.527,550.17096,231.224,3.2911348,1.2016653,0.72056985
1597.862,1446.4205,1768.1932,37318.227,552.53186,231.1236,3.3118675,1.2160617,0.7247301
1624.4171,1452.8278,1776.4655,37319.945,554.88196,231.02547,3.3324618,1.2305018,0.7288283
1651.2509,1459.1925,1784.7562,37321.688,557.2208,230.92958,3.3529177,1.2449843,0.7328656
1678.3112,1465.5144,1793.0645,37323.445,559.54816,230.83589,3.3732338,1.2595079,0.7368427
1705.6116,1471.7924,1801.3892,37325.223,561.86365,230.74431,3.3934107,1.2740715,0.74076056
1733.1711,1478.0256,1809.7294,37327.023,564.16693,230.6548,3.4134476,1.2886738,0.7446202
1761.0015,1484.2139,1818.0835,37328.844,566.4577,230.56735,3.4333444,1.3033135,0.7484224
1789.0923,1490.3561,1826.4507,37330.68,568.73553,230.48187,3.4531004,1.3179893,0.75216794
1817.423,1496.4519,1834.83,37332.543,571.0002,230.39836,3.4727154,1.3327003,0.7558577
1846.0142,1502.5004,1843.2197,37334.42,573.2512,230.31673,3.4921896,1.347445,0.7594925
1874.8768,1508.5012,1851.6193,37336.33,575.4886,230.23697,3.511522,1.3622223,0.76307327
1904.0157,1514.4539,1860.0273,37338.25,577.71173,230.159,3.530713,1.377031,0.76660067
