kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
227.75302,0.9821838,0.9557676,-0.36515728,-0.0010375156,-0.8724179,-0.036706947,-0.24458918
233.04866,0.9919421,0.9530415,-0.3631256,-0.001106955,-0.86953056,-0.037242256,-0.24498388
238.85017,0.9994495,0.9508602,-0.36118314,-0.0011153592,-0.8671746,-0.037753783,-0.24550399
245.06612,1.0052385,0.9490746,-0.35925952,-0.0010558738,-0.86518055,-0.03820326,-0.24609154
251.6954,1.0101599,0.94783276,-0.3576058,-0.0010466947,-0.8636114,-0.038662992,-0.24681318
258.75525,1.0143929,0.9471508,-0.356248,-0.0010999813,-0.8624489,-0.03912767,-0.24770698
266.15338,1.0172982,0.9466887,-0.35496995,-0.0011311545,-0.8615417,-0.0396119,-0.24861437
273.82507,1.0192901,0.94638026,-0.35374913,-0.0011434926,-0.86081856,-0.04010936,-0.24952406
281.90945,1.0218431,0.9466925,-0.35277936,-0.0011644735,-0.8603984,-0.040603004,-0.2507397
290.3233,1.0233366,0.94716686,-0.3518835,-0.0011663808,-0.86016124,-0.04111304,-0.25198215
299.0206,1.0243036,0.9478561,-0.35111442,-0.0011185779,-0.8600561,-0.041690134,-0.2532322
307.96405,1.0248418,0.94867665,-0.35042584,-0.0010410919,-0.86004907,-0.04230591,-0.254487
317.22528,1.0255916,0.94975036,-0.34982708,-0.0010103359,-0.8602638,-0.042996548,-0.2558868
326.78223,1.0259405,0.95095545,-0.34928957,-0.0009813084,-0.86061144,-0.04371532,-0.25734118
336.5935,1.025855,0.952254,-0.34884673,-0.0009326114,-0.8610923,-0.04439827,-0.25883856
346.6487,1.0256052,0.9537401,-0.348657,-0.00084177393,-0.8618665,-0.044932984,-0.26047623
356.9222,1.0250928,0.9552492,-0.34848064,-0.000742711,-0.86266774,-0.045483552,-0.26211116
367.39883,1.0244181,0.9567762,-0.34831718,-0.0006374492,-0.8634915,-0.046044253,-0.26374567
378.07004,1.0236402,0.958318,-0.34817114,-0.0005246176,-0.864336,-0.046612762,-0.26538125
