con,Omega,ygross,ynet,inv,Eind,scc,carbontax,Dam,Emissions
359.05127,0.01398411,487.75397,480.93317,121.88193,66.75007,80.55512,407.4499,6.8208055,67.404175
365.92072,0.0142244855,497.15228,490.08057,124.159874,66.94634,82.30543,405.41776,7.071736,67.58557
372.86734,0.014466191,506.65976,499.33032,126.463,67.1327,84.08102,403.3957,7.3294363,67.757385
379.89322,0.014709188,516.2772,508.6832,128.78998,67.309074,85.882355,401.38373,7.5940185,67.91957
386.99506,0.01495343,526.0023,518.1368,131.14172,67.475105,87.70797,399.38184,7.8655386,68.071724
394.1731,0.015198873,535.836,527.69183,133.51878,67.63116,89.558205,397.38986,8.144103,68.2142
401.42783,0.015445481,545.7788,537.349,135.92117,67.77717,91.43346,395.4079,8.429816,68.346954
408.76,0.015693206,555.8319,547.10913,138.3491,67.913315,93.334114,393.43576,8.722785,68.47015
416.16754,0.015942007,565.99585,556.9727,140.80518,68.0397,95.25737,391.47354,9.02311,68.583885
423.6525,0.01619184,576.27075,566.9399,143.28737,68.15635,97.20589,389.52103,9.330884,68.688156
431.2108,0.016442664,586.6569,577.01074,145.8,68.263336,99.18166,387.5783,9.646202,68.783035
438.84744,0.016694432,597.15625,587.1871,148.33963,68.360886,101.18438,385.64514,9.969185,68.868774
446.55515,0.016947111,607.7686,597.4687,150.91353,68.44903,103.22265,383.7218,10.299922,68.945366
454.34198,0.017200654,618.496,607.8574,153.51544,68.5279,105.28996,381.8079,10.6385355,69.012955
462.20883,0.017455025,629.33826,618.35315,156.1443,68.59786,107.38547,379.90366,10.985114,69.071884
470.1565,0.01771018,640.2965,628.9568,158.80025,68.65859,109.50933,378.00888,11.339767,69.12184
478.18576,0.017966073,651.3708,639.6682,161.48247,68.71049,111.66047,376.1236,11.702575,69.1632
486.29712,0.018222678,662.5598,650.4862,164.1891,68.75333,113.836174,374.24768,12.073615,69.195755
494.4848,0.01847995,673.86,661.4071,166.92229,68.786804,116.03728,372.3811,12.452901,69.21916
502.74982,0.018737845,685.27264,672.43207,169.6823,68.81111,118.26454,370.52383,12.840533,69.23364
511.09338,0.018996326,696.7992,683.5625,172.46915,68.82633,120.51865,368.67575,13.236625,69.23926
519.51556,0.019255353,708.4399,694.7986,175.283,68.832825,122.79989,366.83698,13.641259,69.23636
528.0175,0.019514889,720.1961,706.1416,178.124,68.83053,125.108116,365.00735,14.054547,69.22489
