kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
1015.7716,0.98868835,0.8353466,-0.451788,-0.0016651542,-0.67199564,-0.066397175,-0.3063906
1036.0626,0.9884385,0.8372855,-0.45269746,-0.0016681089,-0.67343146,-0.06693376,-0.30816525
1056.6079,0.9882033,0.83923614,-0.45360133,-0.0016748412,-0.67487776,-0.06745816,-0.3099574
1077.4105,0.9879739,0.8411895,-0.4545089,-0.0016823162,-0.6763287,-0.067981474,-0.3117483
1098.453,0.98774385,0.84313345,-0.45544714,-0.0016885216,-0.6777963,-0.06851304,-0.31351075
1119.7375,0.9875263,0.8450724,-0.4563905,-0.0016950709,-0.67926556,-0.06904478,-0.3152646
1141.2693,0.9873215,0.8470092,-0.45733485,-0.0017020958,-0.68073493,-0.06957513,-0.31701493
1163.0526,0.9871273,0.84894484,-0.45828146,-0.0017099192,-0.6822062,-0.07010378,-0.31876212
1185.0907,0.9869422,0.8508801,-0.4592298,-0.0017183961,-0.68367857,-0.07063092,-0.3205062
1207.381,0.9867734,0.85279727,-0.46019107,-0.001728564,-0.68513995,-0.07114942,-0.32224935
1229.9255,0.9866146,0.8547118,-0.461155,-0.001739586,-0.6866013,-0.07166574,-0.32398924
1252.7317,0.9864796,0.8566728,-0.46213815,-0.0017428081,-0.6881028,-0.07214744,-0.32579172
1275.804,0.98635256,0.85864246,-0.46312732,-0.0017452389,-0.6896134,-0.072623104,-0.32760203
1299.1483,0.9862557,0.8606755,-0.4642258,-0.0017509181,-0.6912359,-0.07315289,-0.3294198
1322.7694,0.9861644,0.86271995,-0.46534267,-0.001757374,-0.69287795,-0.073689,-0.3312363
1346.6664,0.98607457,0.86476827,-0.4664644,-0.0017645245,-0.6945251,-0.07422358,-0.33305156
1370.8412,0.9859859,0.86681944,-0.46758997,-0.0017716174,-0.696177,-0.07475688,-0.33486438
1395.2831,0.9858965,0.86886156,-0.46871638,-0.0017771604,-0.6978258,-0.07528803,-0.33666334
1419.9647,0.9858054,0.87087137,-0.46983704,-0.0017775402,-0.6994576,-0.07581574,-0.33842918
1444.894,0.98573035,0.8728739,-0.47095466,-0.0017782899,-0.7010852,-0.07634165,-0.3401882
1470.0789,0.9856682,0.87487125,-0.47207057,-0.0017796394,-0.70270896,-0.07686542,-0.34194127
1495.5236,0.98561597,0.8768649,-0.47318575,-0.0017813838,-0.7043306,-0.077387184,-0.34368888
1521.2332,0.9855724,0.87885547,-0.47430104,-0.001783615,-0.7059522,-0.07790704,-0.34543082
1547.2102,0.9855351,0.88084126,-0.47541142,-0.0017788515,-0.707563,-0.07842049,-0.34716257
1573.4568,0.9855042,0.8828245,-0.4765216,-0.0017733176,-0.7091718,-0.07893103,-0.34888828
1599.9728,0.98547274,0.8848202,-0.47765857,-0.001778173,-0.7108067,-0.07944233,-0.35063842
1626.7572,0.98544437,0.8868223,-0.4787994,-0.0017909999,-0.71245456,-0.07994907,-0.352395
1653.8147,0.98542154,0.88882214,-0.47994035,-0.0018043541,-0.7141019,-0.080454186,-0.3541465
1681.1476,0.9854034,0.89082044,-0.48108238,-0.0018178828,-0.7157492,-0.080957055,-0.35589316
1708.76,0.98538953,0.8928175,-0.4822248,-0.0018321353,-0.7173968,-0.08145796,-0.3576346
1736.6536,0.985379,0.8948138,-0.4833684,-0.0018465125,-0.71904486,-0.081956856,-0.35937163
1764.8297,0.9853713,0.89680934,-0.48451313,-0.0018611769,-0.7206927,-0.082453966,-0.36110392
1793.2916,0.9853659,0.89880395,-0.48565874,-0.0018759496,-0.7223417,-0.08294874,-0.36283112
1822.0417,0.98536247,0.90079814,-0.48680562,-0.0018911418,-0.72399116,-0.08344172,-0.36455408
1851.0793,0.9853605,0.9027919,-0.48795348,-0.0019064168,-0.7256415,-0.083932586,-0.36627182
1880.4056,0.9853602,0.9047851,-0.48910215,-0.001921847,-0.72729194,-0.084421374,-0.36798504
1910.0225,0.9853611,0.90677726,-0.49025184,-0.0019376017,-0.7289426,-0.084907845,-0.36969313
1939.933,0.9853634,0.90876895,-0.49140248,-0.0019536202,-0.7305937,-0.08539227,-0.37139672
1970.1327,0.9853691,0.9107618,-0.492556,-0.0019699053,-0.73224753,-0.08587507,-0.37309688
2000.58,0.9854088,0.9127739,-0.49373436,-0.0019862582,-0.7339333,-0.08636225,-0.37481764
2031.2812,0.98546183,0.914777,-0.49490854,-0.0020033056,-0.7356127,-0.08684722,-0.37653086
2062.2483,0.9855252,0.9167727,-0.49607977,-0.002020776,-0.73728585,-0.087330036,-0.37823611
2093.484,0.98559666,0.9187624,-0.4972482,-0.0020381615,-0.7389551,-0.08781037,-0.37993428
2124.9956,0.98567456,0.9207465,-0.49841458,-0.0020562646,-0.7406205,-0.08828841,-0.3816258
2156.7866,0.98575723,0.9227267,-0.49957976,-0.0020746014,-0.7422829,-0.08876408,-0.38331053
2188.8596,0.98584425,0.92470264,-0.50074303,-0.0020927503,-0.743943,-0.089237325,-0.3849886
2221.2197,0.9859342,0.9266752,-0.5019058,-0.0021113553,-0.7456005,-0.08970825,-0.3866608
2253.8674,0.9860262,0.9286446,-0.50306743,-0.0021298223,-0.7472564,-0.09017699,-0.3883265
2286.805,0.9861201,0.93061095,-0.5042289,-0.0021490129,-0.74891,-0.09064317,-0.3899859
2320.0332,0.98621553,0.93257445,-0.5053883,-0.0021678763,-0.7505612,-0.091107026,-0.39163947
2353.5515,0.9863119,0.93453085,-0.5065501,-0.0021870767,-0.75220895,-0.09156656,-0.39328098
2387.357,0.98640877,0.9364783,-0.5077135,-0.0022065912,-0.7538513,-0.092021845,-0.394909
2421.4524,0.9865081,0.9384222,-0.5088762,-0.0022263124,-0.7554911,-0.09247451,-0.39653057
2455.8386,0.9866084,0.94036245,-0.51003706,-0.0022459133,-0.7571283,-0.09292489,-0.39814472
2490.513,0.9867089,0.9422964,-0.5111944,-0.0022671998,-0.7587675,-0.09337323,-0.39974242
2525.476,0.9868115,0.94422567,-0.51234996,-0.0022884593,-0.76040274,-0.09381914,-0.4013326
2560.731,0.98691547,0.94615096,-0.51350397,-0.0023100933,-0.76203537,-0.094262615,-0.4029162
2596.279,0.9870207,0.9480726,-0.51465636,-0.0023317803,-0.7636657,-0.09470363,-0.40449372
2632.122,0.98712677,0.94999045,-0.51580715,-0.0023531727,-0.7652923,-0.095141664,-0.40606415
2668.2554,0.9872341,0.95189995,-0.5169463,-0.0023681885,-0.76690495,-0.095572636,-0.40762007
2704.6807,0.9873438,0.9538017,-0.5180779,-0.0023791695,-0.7685071,-0.09599797,-0.4091641
2741.3906,0.98745877,0.9556898,-0.51920974,-0.0023861893,-0.7701079,-0.096432894,-0.4106872
2778.3848,0.9875776,0.9575696,-0.5203397,-0.00239238,-0.7717055,-0.09686916,-0.41219828
2815.668,0.98769844,0.9594445,-0.52146775,-0.0023985456,-0.7732988,-0.097302645,-0.41370288
2853.2412,0.9878196,0.9613139,-0.52259475,-0.002403932,-0.7748921,-0.0977352,-0.41519752
2891.1,0.9879395,0.9631792,-0.5237234,-0.0024100288,-0.776487,-0.0981673,-0.41667747
2929.2466,0.98806113,0.96503884,-0.5248495,-0.002416191,-0.7780779,-0.098596685,-0.41815016
2967.6812,0.9881842,0.9668935,-0.52597266,-0.0024225933,-0.7796646,-0.09902352,-0.41961613
3006.4075,0.98830783,0.96874243,-0.52709264,-0.0024280366,-0.7812444,-0.099447526,-0.42107368
3045.419,0.98843205,0.97058547,-0.5282096,-0.0024318763,-0.7828166,-0.09986899,-0.42252138
3084.7222,0.98855776,0.9724231,-0.5293239,-0.0024356116,-0.7843843,-0.10028769,-0.42396194
3124.3145,0.988684,0.9742556,-0.5304357,-0.0024397445,-0.78594816,-0.10070364,-0.42539555
3164.198,0.98881054,0.976083,-0.53154427,-0.0024435725,-0.7875071,-0.10111669,-0.42682222
3204.3618,0.98893577,0.97789395,-0.5326374,-0.0024403273,-0.7890656,-0.10152017,-0.42823732
3244.8098,0.9890629,0.9796984,-0.5337273,-0.0024368786,-0.79061824,-0.10192082,-0.42964554
3285.5444,0.98919135,0.98149705,-0.53481406,-0.0024338376,-0.79216594,-0.1023189,-0.43104663
3326.5657,0.9893206,0.9832898,-0.5358978,-0.0024304541,-0.7937089,-0.10271396,-0.4324401
3367.8716,0.9894498,0.9850726,-0.53697294,-0.0024224736,-0.7952385,-0.10310489,-0.4338262
3409.4624,0.98957986,0.9868436,-0.53803676,-0.002408272,-0.7967524,-0.103491135,-0.43520495
3451.3374,0.98971003,0.9886087,-0.5390976,-0.0023941218,-0.79826117,-0.10387444,-0.43657526
3493.5007,0.9898413,0.99036735,-0.54015476,-0.0023801674,-0.7997653,-0.10425526,-0.43793893
3535.952,0.9899725,0.9921204,-0.5412093,-0.0023659442,-0.80126435,-0.104633026,-0.4392953
3578.69,0.9901037,0.99386764,-0.54226065,-0.002352184,-0.80275846,-0.10500819,-0.44064373
3621.717,0.9902343,0.9956092,-0.5433088,-0.0023382618,-0.8042478,-0.10538038,-0.44198564
3665.0325,0.990365,0.99734485,-0.54435366,-0.002324158,-0.80573225,-0.10575005,-0.44331998
3708.6401,0.99049485,0.999075,-0.5453953,-0.0023103668,-0.8072118,-0.10611701,-0.44464645
3752.5342,0.99062496,1.0007944,-0.5464287,-0.0022923935,-0.80868214,-0.106478505,-0.4459582
3796.709,0.99075603,1.0024987,-0.54744786,-0.0022671283,-0.81014067,-0.106832735,-0.44724753
3841.1697,0.9908872,1.0041969,-0.54846394,-0.0022415533,-0.8115936,-0.10718404,-0.44853038
3885.9136,0.99101835,1.0058892,-0.54947627,-0.002216655,-0.8130411,-0.107533015,-0.44980538
3930.9456,0.9911489,1.007575,-0.55048573,-0.0021911894,-0.8144835,-0.107879,-0.4510733
3976.2615,0.9912786,1.0092549,-0.5514916,-0.0021662593,-0.8159207,-0.10822217,-0.45233345
4021.8613,0.9914079,1.0109288,-0.55249345,-0.0021412724,-0.8173532,-0.108562835,-0.45358637
4067.7437,0.99153614,1.0125962,-0.5534927,-0.002116249,-0.8187794,-0.10890082,-0.45483252
4113.9116,0.991664,1.0142578,-0.5544882,-0.0020910893,-0.82020086,-0.109235935,-0.4560706
4160.365,0.9917904,1.0159129,-0.55547994,-0.002066226,-0.82161695,-0.10956806,-0.45730206
4207.0996,0.99191606,1.017562,-0.556469,-0.0020411022,-0.8230281,-0.10989783,-0.45852557
4254.1157,0.99204034,1.019205,-0.55745447,-0.0020162535,-0.8244334,-0.1102249,-0.4597421
4301.418,0.99216413,1.0208415,-0.5584363,-0.0019913907,-0.82583404,-0.11054933,-0.46095115
4348.991,0.99228203,1.0224687,-0.5594111,-0.0019663079,-0.8272231,-0.110869594,-0.46214923
4396.8296,0.9923914,1.0240825,-0.5603749,-0.0019410336,-0.8285966,-0.11118463,-0.46333185
4444.9326,0.9925017,1.0256886,-0.5613348,-0.0019160528,-0.82996416,-0.11149706,-0.46450758
4493.3047,0.9926128,1.0272874,-0.5622912,-0.0018909948,-0.8313247,-0.11180699,-0.46567595
4541.9443,0.99272364,1.028879,-0.5632433,-0.0018662589,-0.83267945,-0.11211432,-0.46683645
4590.8535,0.99283504,1.030464,-0.56419104,-0.0018417032,-0.8340286,-0.1124189,-0.4679904
4640.033,0.9929458,1.032042,-0.5651354,-0.0018170853,-0.83537203,-0.11272092,-0.4691369
4689.483,0.9930562,1.033613,-0.566076,-0.0017926081,-0.8367094,-0.1130201,-0.47027576
4739.2017,0.99316597,1.0351774,-0.56701225,-0.0017680652,-0.83804077,-0.11331684,-0.47140774
4789.195,0.99327475,1.0367347,-0.56794506,-0.001743939,-0.8393667,-0.113610834,-0.47253245
4839.4575,0.9933825,1.0382854,-0.5688741,-0.0017195116,-0.84068656,-0.11390262,-0.47364953
4889.987,0.9934894,1.0398295,-0.5697993,-0.0016951042,-0.8420008,-0.114191376,-0.47475997
4940.7827,0.99359524,1.041367,-0.57072043,-0.0016708837,-0.8433098,-0.11447749,-0.47586244
4991.8496,0.99370015,1.0428973,-0.5716379,-0.0016463066,-0.8446118,-0.114761166,-0.4769585
5043.1816,0.9938039,1.0444211,-0.5725516,-0.0016222028,-0.8459089,-0.11504216,-0.4780465
5094.7773,0.99390626,1.045938,-0.57346135,-0.001598004,-0.8471996,-0.11532062,-0.47912765
5146.636,0.99400806,1.0474479,-0.5743672,-0.0015737747,-0.84848535,-0.11559645,-0.48020238
5198.756,0.9941084,1.048951,-0.57526904,-0.0015494658,-0.849764,-0.11586974,-0.4812688
5251.14,0.99420774,1.050447,-0.57616687,-0.001525104,-0.85103756,-0.116140485,-0.48232841
5303.7827,0.9943059,1.0519361,-0.5770607,-0.0015009281,-0.8523049,-0.11640866,-0.4833808
5356.6846,0.9944031,1.0534188,-0.5779503,-0.0014764648,-0.85356593,-0.11667414,-0.48442614
5409.85,0.9944986,1.0548937,-0.57883656,-0.0014524737,-0.8548216,-0.116937205,-0.48546422
5463.2666,0.9945931,1.0563625,-0.57971823,-0.0014282446,-0.8560711,-0.11719774,-0.48649514
5516.937,0.99468696,1.0578237,-0.58059573,-0.0014040098,-0.8573145,-0.11745582,-0.4875191
5570.8647,0.994779,1.0592781,-0.58147,-0.0013795074,-0.8585517,-0.11771116,-0.48853564
5625.04,0.9948703,1.0607252,-0.58233964,-0.0013553721,-0.8597831,-0.11796427,-0.48954564
5679.4746,0.9949602,1.0621651,-0.5832049,-0.0013312104,-0.8610085,-0.118214756,-0.49054843
5734.155,0.995049,1.0635986,-0.58406675,-0.0013070959,-0.8622279,-0.118462704,-0.49154365
5789.084,0.9951368,1.0650245,-0.5849244,-0.0012827448,-0.8634407,-0.11870824,-0.49253207
5844.257,0.99522334,1.066443,-0.58577734,-0.0012587511,-0.8646482,-0.11895134,-0.49351382
5899.6724,0.99530923,1.0678544,-0.58662623,-0.0012344904,-0.8658484,-0.1191918,-0.49448842
5955.3345,0.9953935,1.0692585,-0.5874714,-0.0012104511,-0.8670432,-0.11943,-0.49545568
6011.2417,0.9954767,1.0706561,-0.58831203,-0.0011862218,-0.8682322,-0.1196657,-0.4964161
6067.385,0.99555886,1.0720458,-0.58914876,-0.0011620289,-0.8694143,-0.119899236,-0.49736965
6123.769,0.99564,1.0734284,-0.58998096,-0.0011381155,-0.87059045,-0.12012987,-0.49831605
6180.3906,0.9957198,1.0748037,-0.5908092,-0.0011139237,-0.8717603,-0.12035867,-0.49925566
6237.2485,0.99579865,1.0761722,-0.5916335,-0.0010898795,-0.87292445,-0.12058457,-0.5001887
6294.3423,0.9958759,1.0775331,-0.5924531,-0.0010658184,-0.8740821,-0.12080821,-0.5011143
6351.667,0.9959524,1.0788866,-0.59326863,-0.0010416682,-0.8752333,-0.121029966,-0.50203305
6409.227,0.99602807,1.0802329,-0.5940798,-0.0010176529,-0.8763783,-0.12124868,-0.5029452
6467.0127,0.9961022,1.081572,-0.5948871,-0.000993686,-0.87751806,-0.12146555,-0.503851
6525.0244,0.9961756,1.0829037,-0.59568965,-0.0009696951,-0.8786503,-0.12167983,-0.5047494
6583.2637,0.99624765,1.0842282,-0.5964883,-0.0009455963,-0.87977666,-0.12189168,-0.5056411
6641.7295,0.9963185,1.0855452,-0.59728235,-0.00092148926,-0.8808969,-0.12210126,-0.5065259
6700.412,0.9963831,1.0868415,-0.5980561,-0.00089566765,-0.8819944,-0.12230188,-0.50740415
6759.3096,0.99644285,1.0881191,-0.59881246,-0.0008683062,-0.8830719,-0.12249454,-0.5082757
6818.4214,0.9965016,1.0893897,-0.5995654,-0.0008411338,-0.8841432,-0.122685045,-0.5091413
6877.747,0.9965604,1.0906521,-0.6003131,-0.00081381906,-0.8852092,-0.122873306,-0.5099998
6937.286,0.9966177,1.0919075,-0.6010567,-0.0007865404,-0.88626766,-0.1230595,-0.5108517
6997.035,0.9966741,1.0931556,-0.60179603,-0.0007591402,-0.88732,-0.123243205,-0.51169664
7056.994,0.99673,1.0943959,-0.60253143,-0.00073201273,-0.88836676,-0.123424865,-0.5125352
7117.1646,0.9967849,1.0956292,-0.6032624,-0.0007051683,-0.8894066,-0.12360458,-0.5133672
7177.547,0.9968392,1.0968544,-0.6039891,-0.0006780228,-0.8904405,-0.12378173,-0.5141929
7238.131,0.99689204,1.0980728,-0.6047118,-0.000650861,-0.89146864,-0.12395686,-0.515012
7298.9155,0.9969442,1.0992839,-0.6054298,-0.0006239985,-0.8924899,-0.124129735,-0.51582444
7359.901,0.9969954,1.1004871,-0.6061441,-0.00059709436,-0.8935054,-0.12430061,-0.5166304
7421.0884,0.99704564,1.1016836,-0.6068536,-0.0005701519,-0.89451456,-0.12446945,-0.5174303
7482.474,0.99709404,1.1028726,-0.60755867,-0.00054338557,-0.89551735,-0.12463681,-0.51822144
7544.0605,0.9971392,1.1040553,-0.60825884,-0.00051777094,-0.89651316,-0.124804266,-0.51900315
7605.8457,0.99718297,1.1052305,-0.6089549,-0.0004914485,-0.89750355,-0.124969915,-0.5197781
7667.826,0.9972254,1.1063987,-0.6096467,-0.0004657703,-0.8984873,-0.12513301,-0.5205469
7730.042,0.99727535,1.1075668,-0.6103357,-0.0004398112,-0.89947253,-0.12528709,-0.521314
7792.5,0.99732393,1.1087321,-0.61102086,-0.000413762,-0.90045446,-0.1254368,-0.5220763
7855.1914,0.99736744,1.1098924,-0.61170346,-0.00038710894,-0.90143216,-0.12558411,-0.52283275
7918.0947,0.99740756,1.1110466,-0.612382,-0.0003602142,-0.90240496,-0.12572955,-0.52358294
7981.197,0.9974439,1.1121944,-0.61305714,-0.0003332637,-0.90337247,-0.12587291,-0.52432674
8044.507,0.9974785,1.1133368,-0.61372876,-0.00030627957,-0.9043351,-0.1260144,-0.5250649
8108.0503,0.9975094,1.1144756,-0.614398,-0.00027952314,-0.9052949,-0.12615384,-0.52579653
8171.8057,0.99753624,1.1156082,-0.6150643,-0.00025209395,-0.90624946,-0.12629145,-0.52652276
8235.774,0.9975598,1.1167355,-0.6157271,-0.00022478792,-0.9072,-0.12642716,-0.52724254
8299.935,0.99757993,1.1178563,-0.61638564,-0.00019699516,-0.90814483,-0.1265609,-0.5279569
8364.288,0.99759823,1.1189711,-0.6170412,-0.00016927818,-0.90908366,-0.12669268,-0.528665
8428.821,0.9976146,1.1200784,-0.6176924,-0.00014180009,-0.91001713,-0.12682272,-0.5293666
8493.533,0.9976291,1.1211793,-0.6183398,-0.000113988586,-0.91094464,-0.1269505,-0.53006244
8558.422,0.9976426,1.1222732,-0.61898303,-8.638814e-05,-0.9118665,-0.12707695,-0.53075284
8623.479,0.9976548,1.1233598,-0.6196222,-5.8523205e-05,-0.9127826,-0.12720135,-0.5314371
8688.702,0.99766624,1.1244394,-0.6202572,-3.107707e-05,-0.9136926,-0.12732385,-0.5321152
8754.093,0.997676,1.1255121,-0.6208879,-3.149442e-06,-0.91459626,-0.12744474,-0.5327875
8819.6455,0.9976855,1.1265771,-0.6215152,2.4620793e-05,-0.9154941,-0.12756386,-0.5334536
8885.354,0.9976938,1.1276352,-0.622138,5.2132993e-05,-0.91638607,-0.12768115,-0.53411484
8951.219,0.9977014,1.1286861,-0.62275714,7.985387e-05,-0.91727185,-0.12779681,-0.53476954
9017.246,0.9977091,1.1297295,-0.6233719,0.00010733458,-0.9181517,-0.12791029,-0.53541875
9083.407,0.99771506,1.1307659,-0.6239819,0.0001342799,-0.91902566,-0.12802257,-0.5360623
9149.722,0.9977215,1.1317948,-0.6245888,0.00016230054,-0.9198935,-0.12813349,-0.53669995
9216.164,0.9977275,1.1328182,-0.6251932,0.00019310671,-0.92075187,-0.12824374,-0.5373346
9282.742,0.99773365,1.1338336,-0.6257938,0.00022372854,-0.9216048,-0.12835248,-0.53796387
9349.466,0.99774015,1.1348418,-0.62638927,0.00025422522,-0.92245156,-0.12845966,-0.5385872
9416.314,0.99774605,1.1358424,-0.626981,0.00028443412,-0.9232925,-0.1285653,-0.539205
9483.297,0.997752,1.1368358,-0.6275689,0.00031485304,-0.9241269,-0.12866896,-0.53981745
9550.408,0.9977573,1.137822,-0.62815243,0.0003450386,-0.9249555,-0.12877125,-0.54042387
9617.642,0.9977631,1.1387962,-0.628734,0.00037544017,-0.92577916,-0.12887284,-0.5410262
9684.986,0.9977697,1.1397591,-0.6293109,0.00040306937,-0.92659557,-0.1289753,-0.5416264
9752.442,0.9977766,1.140713,-0.6298831,0.0004288354,-0.927406,-0.12907735,-0.5422231
9820.006,0.9977844,1.1416596,-0.63045114,0.000454843,-0.9282096,-0.1291778,-0.5428139
9887.685,0.9977925,1.1425984,-0.6310149,0.00048043337,-0.92900723,-0.12927648,-0.54339886
9955.476,0.9978007,1.1435298,-0.6315745,0.00050583895,-0.92979854,-0.12937383,-0.5439792
10023.372,0.997809,1.1444538,-0.6321296,0.0005313259,-0.9305838,-0.12946959,-0.5445537
10091.25,0.9978237,1.145354,-0.6326712,0.0005554538,-0.9313497,-0.12956192,-0.5451136
