Acronym,beta_mean_HadGEM2-ES,beta_mean_MPI-ESM-LR
ARP,1.2522304781969933,1.3620458600179821
CNA,1.3455622219732806,1.2055629018582767
ECA,1.3771960424121517,1.4601908178578162
EEU,1.369466495962703,1.4208365592689334
SAS,1.0699647365861462,1.3012904758602488
