kx,MATx,MUOx,MLOx,MLFx,MLFeqx,TATx,TOCx,taux
1102.9902,1149.494,1536.1128,37282.86,450.29572,233.96576,2.4539492,0.85664755,0.6171076
1124.3461,1152.2671,1541.424,37284.0,451.26987,233.80302,2.4671905,0.86765295,0.62280816
1145.9608,1154.9478,1546.7192,37285.152,452.2152,233.64398,2.4801607,0.8786738,0.6284238
1167.8391,1157.5358,1551.997,37286.32,453.13132,233.48856,2.4928598,0.88970804,0.63395584
1189.9861,1160.031,1557.2554,37287.5,454.0179,233.33667,2.5052881,0.90075374,0.6394055
1212.4048,1162.4329,1562.4929,37288.69,454.87463,233.18825,2.517445,0.91180897,0.6447741
1235.1002,1164.7418,1567.708,37289.9,455.70126,233.04318,2.529331,0.9228718,0.65006274
1258.0685,1166.949,1572.8989,37291.113,456.49753,232.90141,2.540946,0.93394035,0.65527266
1281.3091,1169.0492,1578.0636,37292.348,457.26263,232.76288,2.5522845,0.9450126,0.66040504
1304.8278,1171.044,1583.2006,37293.59,457.99573,232.62749,2.5633388,0.95608675,0.665461
1328.6254,1172.9323,1588.3079,37294.848,458.696,232.49518,2.5741048,0.9671607,0.6704416
1352.696,1174.7109,1593.3838,37296.12,459.36282,232.36588,2.5845783,0.97823256,0.6753481
1377.0443,1176.3818,1598.4265,37297.402,459.99545,232.23952,2.5947547,0.9893003,0.6801815
1401.6664,1177.9415,1603.434,37298.7,460.59332,232.11603,2.6046321,1.0003619,0.68494296
1426.5432,1179.3892,1608.4047,37300.008,461.1557,231.99535,2.614206,1.0114154,0.6896336
1451.7238,1180.7236,1613.3365,37301.33,461.68207,231.8774,2.6234732,1.0224586,0.6942544
1477.2086,1181.9471,1618.2279,37302.656,462.17178,231.76215,2.6324303,1.0334896,0.6988064
1503.0005,1183.0609,1623.0771,37304.004,462.62445,231.6495,2.6410768,1.0445063,0.70329064
1529.102,1184.0664,1627.8822,37305.363,463.03983,231.53943,2.6494129,1.0555067,0.7077081
1555.5145,1184.9653,1632.642,37306.73,463.41776,231.43185,2.6574392,1.0664887,0.71205986
1582.2407,1185.7595,1637.3542,37308.113,463.75836,231.32674,2.6651585,1.0774504,0.71634674
1609.2809,1186.4504,1642.018,37309.504,464.06155,231.224,2.6725733,1.0883898,0.72056985
1636.6289,1187.0398,1646.6315,37310.91,464.3276,231.1236,2.6796868,1.0993048,0.7247301
1664.2833,1187.5294,1651.1934,37312.324,464.55676,231.02547,2.6865022,1.1101936,0.7288283
1692.248,1187.921,1655.7023,37313.75,464.74927,230.92958,2.6930232,1.1210544,0.7328656
1720.5255,1188.2164,1660.1569,37315.188,464.90555,230.83589,2.6992538,1.1318853,0.7368427
1749.115,1188.4176,1664.556,37316.64,465.02603,230.74431,2.705198,1.1426845,0.74076056
1778.0217,1188.5261,1668.8984,37318.1,465.11108,230.6548,2.71086,1.1534501,0.7446202
1807.2467,1188.5442,1673.1831,37319.574,465.16125,230.56735,2.716244,1.1641806,0.7484224
1836.792,1188.4733,1677.4088,37321.055,465.17712,230.48187,2.7213542,1.1748743,0.75216794
1866.6575,1188.3156,1681.5745,37322.543,465.1591,230.39836,2.7261949,1.1855296,0.7558577
1896.847,1188.0729,1685.6793,37324.043,465.10776,230.31673,2.73077,1.1961448,0.7594925
1927.3612,1187.7472,1689.7222,37325.555,465.02377,230.23697,2.735085,1.2067184,0.76307327
1958.2003,1187.3405,1693.7024,37327.07,464.90784,230.159,2.7391438,1.2172489,0.76660067
1989.3672,1186.8549,1697.619,37328.6,464.76038,230.08281,2.7429504,1.2277348,0.77007556
2020.8607,1186.2924,1701.4713,37330.145,464.58215,230.00836,2.74651,1.2381747,0.7734987
2052.6868,1185.6549,1705.2587,37331.69,464.3738,229.93561,2.7498271,1.2485671,0.7768709
2084.8423,1184.9442,1708.9805,37333.25,464.13605,229.86449,2.752906,1.2589108,0.78019285
2117.3293,1184.1631,1712.6359,37334.82,463.86948,229.79501,2.7557516,1.2692044,0.7834654
2150.1511,1183.3131,1716.2245,37336.395,463.57486,229.72711,2.7583687,1.2794467,0.78668916
2183.3054,1182.3962,1719.7457,37337.98,463.2529,229.66074,2.7607617,1.2896365,0.78986496
2216.7935,1181.4147,1723.1992,37339.58,462.9043,229.59589,2.7629356,1.2997725,0.7929935
2250.6143,1180.3706,1726.5847,37341.18,462.5298,229.53252,2.764895,1.3098537,0.79607546
2284.7725,1179.266,1729.9016,37342.793,462.13007,229.47057,2.766644,1.3198789,0.79911155
2319.2656,1178.1029,1733.1495,37344.414,461.70593,229.41003,2.768188,1.3298471,0.80210245
2354.0967,1176.8833,1736.3284,37346.043,461.25806,229.35088,2.7695317,1.3397573,0.8050488
2389.265,1175.6095,1739.438,37347.68,460.78717,229.29306,2.7706795,1.3496084,0.8079513
2424.7695,1174.2832,1742.478,37349.324,460.29407,229.23657,2.7716365,1.3593996,0.81081057
2460.61,1172.9066,1745.4484,37350.977,459.77942,229.18137,2.7724075,1.3691299,0.81362724
2496.789,1171.4817,1748.3491,37352.633,459.244,229.12741,2.7729974,1.3787985,0.81640196
2533.308,1170.0106,1751.1802,37354.3,458.68857,229.07468,2.7734106,1.3884045,0.8191354
2570.165,1168.495,1753.9414,37355.977,458.11383,229.02315,2.7736518,1.3979472,0.8218281
2607.3599,1166.9368,1756.633,37357.656,457.52048,228.9728,2.773726,1.4074258,0.8244808
2644.8948,1165.3383,1759.255,37359.34,456.90936,228.92357,2.7736373,1.4168396,0.82709396
2682.7688,1163.7009,1761.8076,37361.035,456.28113,228.87547,2.773391,1.426188,0.8296682
2720.98,1162.0269,1764.2906,37362.734,455.63647,228.82848,2.7729914,1.4354702,0.83220416
2759.5305,1160.318,1766.7047,37364.44,454.97614,228.78255,2.772443,1.4446857,0.8347023
2798.4192,1158.576,1769.0499,37366.152,454.3008,228.73767,2.7717505,1.4538339,0.83716327
2837.6453,1156.8024,1771.3264,37367.87,453.6112,228.6938,2.770918,1.4629143,0.83958757
2877.2122,1154.9994,1773.5345,37369.594,452.908,228.65092,2.7699504,1.4719265,0.8419758
2917.1152,1153.1683,1775.6747,37371.324,452.1919,228.60904,2.7688522,1.4808699,0.8443285
2957.3567,1151.3109,1777.7472,37373.06,451.46353,228.56808,2.7676272,1.4897441,0.8466462
2997.9329,1149.4291,1779.7523,37374.793,450.7236,228.52808,2.76628,1.4985486,0.84892935
3038.8472,1147.5243,1781.6908,37376.535,449.9727,228.48898,2.764815,1.5072833,0.8511785
3080.098,1145.5979,1783.563,37378.28,449.2115,228.45078,2.7632365,1.5159477,0.8533942
3121.6843,1143.6517,1785.3691,37380.03,448.4406,228.41344,2.761548,1.5245415,0.8555769
3163.6057,1141.6871,1787.1101,37381.785,447.66068,228.37694,2.759754,1.5330645,0.85772705
