kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
902.9846,0.99190444,0.37271467,0.991065,-0.34199068,-0.0014636004,-0.88234437,-0.064280406,-0.2537272
921.9091,0.9914737,0.37983146,0.9925859,-0.34239465,-0.0014582062,-0.8836143,-0.064666286,-0.25445846
941.0413,0.991047,0.3870885,0.9939874,-0.34272268,-0.0014397884,-0.8847694,-0.065002754,-0.2551027
960.40393,0.99070185,0.39443383,0.99536574,-0.34307125,-0.0014365697,-0.88593954,-0.06535764,-0.2557227
980.0332,0.9904314,0.40187883,0.99673635,-0.34346083,-0.001454928,-0.88715243,-0.06574203,-0.25633213
999.93176,0.9901489,0.40938035,0.99810034,-0.3438541,-0.0014749849,-0.88835794,-0.06612082,-0.25692892
1020.1026,0.9898536,0.4169352,0.9994571,-0.3442497,-0.0014955187,-0.889555,-0.066492036,-0.2575157
1040.492,0.98960817,0.4245779,1.0006449,-0.34464288,-0.0014581168,-0.89070404,-0.06682785,-0.2580269
1061.1096,0.9893811,0.43223652,1.0018253,-0.34503493,-0.0014236653,-0.891842,-0.06715645,-0.25852355
1081.9633,0.9891653,0.4399186,1.003012,-0.3454386,-0.0013924325,-0.89298856,-0.067464426,-0.25900424
1103.0656,0.98894876,0.44764456,1.0042349,-0.34588227,-0.0013677264,-0.89418375,-0.06772001,-0.2594599
1124.4215,0.9887334,0.4553909,1.0054497,-0.34632662,-0.0013445104,-0.89536715,-0.067969754,-0.2599037
1146.0366,0.9885187,0.46315736,1.0066565,-0.34677023,-0.0013240362,-0.8965405,-0.06821348,-0.2603345
1167.9156,0.9883015,0.47094327,1.0078549,-0.34721392,-0.0013052905,-0.89770305,-0.068450466,-0.260753
1190.0626,0.9880802,0.4787461,1.0090458,-0.34765813,-0.0012887204,-0.8988559,-0.06868209,-0.2611595
1212.4823,0.98785293,0.48656574,1.0102273,-0.34810254,-0.0012735808,-0.8999989,-0.06890853,-0.26155445
