kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
904.33905,1.0284292,0.64823484,2.426353,-0.8120136,-0.0034440716,-1.99732,-0.15395716,-0.5720521
923.3685,1.0284014,0.658281,2.4285202,-0.8122748,-0.0034494658,-1.9985913,-0.15443614,-0.57238656
942.6534,1.0283581,0.6682896,2.4306796,-0.8125539,-0.003452744,-1.9998726,-0.15489921,-0.5727085
962.20233,1.0283006,0.6783955,2.4328692,-0.8128735,-0.0034479161,-2.0011902,-0.15533975,-0.5730102
982.02026,1.0282466,0.68865937,2.4350367,-0.8132351,-0.003439959,-2.002576,-0.1557776,-0.57327276
1002.1131,1.0281906,0.70003384,2.437079,-0.8137756,-0.003438141,-2.0041776,-0.15611467,-0.5733097
1022.46564,1.0280509,0.7118077,2.4391716,-0.8143792,-0.0034296473,-2.0058491,-0.15638837,-0.57327163
1043.065,1.0278541,0.72378165,2.4413197,-0.8150294,-0.0034178158,-2.0075605,-0.1566402,-0.57319736
1063.9095,1.027683,0.73653185,2.4436169,-0.81580603,-0.0033872982,-2.0093498,-0.15684727,-0.5730564
1084.9929,1.0275314,0.7493912,2.445918,-0.8166032,-0.003332134,-2.0111296,-0.15700337,-0.57287914
1106.2924,1.0273842,0.76245165,2.448239,-0.8174554,-0.003280755,-2.012948,-0.15714613,-0.57268745
1127.8082,1.0272397,0.7753485,2.4505281,-0.81831545,-0.0032268425,-2.0147507,-0.15727851,-0.57249266
1149.5266,1.027053,0.78821355,2.4528377,-0.81920695,-0.0031832417,-2.0165732,-0.15739831,-0.57228905
1171.4396,1.0267904,0.801065,2.4551735,-0.8201377,-0.0031619628,-2.0184152,-0.1575019,-0.5720537
1193.5536,1.0264531,0.81384045,2.4575202,-0.8211013,-0.0031636616,-2.0202637,-0.15759072,-0.5717847
1215.879,1.0261204,0.8263197,2.4598267,-0.8220613,-0.0031655391,-2.0220804,-0.15766487,-0.5715113
1238.425,1.0257885,0.8385055,2.4620965,-0.82302105,-0.0031678637,-2.0238683,-0.15772638,-0.5712353
1261.2142,1.0254316,0.85045314,2.4643612,-0.82400256,-0.0031751653,-2.0256505,-0.15776393,-0.5709565
1284.2488,1.0250657,0.8621272,2.4665997,-0.8249873,-0.0031807085,-2.0274134,-0.1577889,-0.5706761
1307.5339,1.0246899,0.873526,2.4688127,-0.82597464,-0.003187116,-2.0291557,-0.15780196,-0.57039666
1331.0735,1.0243025,0.884653,2.4709988,-0.8269639,-0.0031915565,-2.030881,-0.15780309,-0.57011735
1354.8704,1.0239038,0.8955077,2.4731617,-0.8279568,-0.003194358,-2.0325875,-0.15779325,-0.56983864
1378.9347,1.023501,0.90608937,2.4753082,-0.8289554,-0.0031964143,-2.0342855,-0.15776774,-0.56956303
1403.2893,1.0230945,0.9163961,2.47745,-0.8299671,-0.0031993946,-2.0359867,-0.15772316,-0.5692926
1427.9512,1.0226779,0.9263634,2.4796016,-0.830994,-0.0032084545,-2.0376983,-0.15767166,-0.56903124
1452.9204,1.0222381,0.93610394,2.4817464,-0.8320289,-0.0032152196,-2.0394075,-0.15760973,-0.5687732
1478.1956,1.0217766,0.9456173,2.4838824,-0.83307326,-0.0032203456,-2.0411124,-0.15753713,-0.5685201
1503.7765,1.0212948,0.95490277,2.486009,-0.8341231,-0.0032236238,-2.0428119,-0.15745571,-0.5682706
1529.6635,1.0207945,0.96395886,2.488124,-0.835179,-0.00322571,-2.0445046,-0.15736452,-0.568024
1555.8542,1.0202773,0.9727844,2.4902275,-0.83623874,-0.00322571,-2.0461907,-0.15726474,-0.567781
1582.3997,1.0197294,0.9811383,2.492332,-0.8373078,-0.003231879,-2.0478828,-0.157145,-0.5675472
