foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
1.318e-03,4.510e-03,1.238e-03,7.695e-05,1.126e-03,1.549e-04,3.330e-05,2.600e-04,5.275e-05
1.333e-03,4.560e-03,1.235e-03,6.050e-05,1.132e-03,1.387e-04,2.810e-05,2.781e-04,5.889e-05
1.278e-03,4.596e-03,1.227e-03,4.943e-05,1.111e-03,8.512e-05,7.566e-06,3.507e-04,5.722e-05
1.307e-03,4.563e-03,1.232e-03,3.095e-05,1.125e-03,8.219e-05,6.041e-06,3.436e-04,6.419e-05
1.335e-03,4.534e-03,1.223e-03,1.426e-05,1.132e-03,7.945e-05,7.744e-06,3.394e-04,7.159e-05
1.360e-03,4.513e-03,1.200e-03,7.749e-07,1.134e-03,7.540e-05,6.669e-06,3.369e-04,8.035e-05
1.384e-03,4.494e-03,1.161e-03,1.271e-05,1.132e-03,6.837e-05,8.502e-06,3.380e-04,8.655e-05
1.405e-03,4.478e-03,1.108e-03,1.830e-05,1.092e-03,3.839e-05,1.738e-05,3.675e-04,8.446e-05
1.407e-03,4.492e-03,1.054e-03,3.780e-05,1.088e-03,7.331e-06,2.030e-05,4.239e-04,6.509e-05
1.415e-03,4.508e-03,1.007e-03,1.985e-05,1.211e-03,1.551e-04,1.420e-05,5.956e-04,1.436e-04
1.505e-03,4.580e-03,1.068e-03,3.210e-05,1.184e-03,2.015e-04,2.019e-05,6.220e-04,2.046e-04
1.567e-03,4.668e-03,1.152e-03,4.485e-06,1.153e-03,2.314e-04,2.381e-05,6.216e-04,2.267e-04
1.540e-03,4.750e-03,1.241e-03,5.871e-06,1.050e-03,3.397e-04,4.128e-05,6.678e-04,2.818e-04
1.517e-03,4.840e-03,1.393e-03,1.740e-05,1.108e-03,3.433e-04,6.528e-05,6.313e-04,3.089e-04
1.504e-03,4.894e-03,1.542e-03,6.287e-05,1.143e-03,3.806e-04,6.027e-05,6.433e-04,3.138e-04
1.487e-03,4.887e-03,1.697e-03,1.069e-04,1.214e-03,3.718e-04,6.198e-05,6.020e-04,3.082e-04
1.508e-03,4.863e-03,1.822e-03,1.421e-04,1.225e-03,3.863e-04,5.065e-05,5.991e-04,3.079e-04
1.557e-03,4.821e-03,1.928e-03,1.664e-04,1.226e-03,4.088e-04,2.787e-05,5.994e-04,3.307e-04
1.596e-03,4.809e-03,2.015e-03,1.848e-04,1.236e-03,4.251e-04,4.835e-06,5.894e-04,3.557e-04
1.548e-03,4.852e-03,2.079e-03,1.999e-04,1.288e-03,4.055e-04,4.924e-06,5.431e-04,3.514e-04
1.497e-03,4.897e-03,2.103e-03,2.116e-04,1.329e-03,3.898e-04,4.137e-06,5.028e-04,3.461e-04
1.467e-03,4.940e-03,2.090e-03,2.094e-04,1.339e-03,3.964e-04,6.745e-07,4.876e-04,3.428e-04
1.418e-03,5.026e-03,2.043e-03,2.142e-04,1.364e-03,3.854e-04,1.034e-06,4.613e-04,3.379e-04
1.366e-03,5.104e-03,1.961e-03,2.153e-04,1.381e-03,3.738e-04,5.136e-07,4.354e-04,3.322e-04
1.312e-03,5.168e-03,1.846e-03,2.115e-04,1.393e-03,3.628e-04,2.314e-06,4.146e-04,3.273e-04
1.256e-03,5.220e-03,1.700e-03,2.049e-04,1.396e-03,3.522e-04,3.924e-06,3.932e-04,3.220e-04
1.191e-03,5.256e-03,1.523e-03,1.911e-04,1.390e-03,3.456e-04,4.476e-06,3.850e-04,3.163e-04
1.123e-03,5.294e-03,1.317e-03,1.724e-04,1.373e-03,3.460e-04,3.957e-06,3.886e-04,3.093e-04
1.063e-03,5.348e-03,1.083e-03,1.619e-04,1.335e-03,3.495e-04,2.180e-06,4.022e-04,2.989e-04
1.017e-03,5.413e-03,8.163e-04,1.438e-04,1.311e-03,3.463e-04,3.276e-07,4.036e-04,2.944e-04
9.700e-04,5.461e-03,5.281e-04,1.228e-04,1.286e-03,3.437e-04,1.793e-06,4.041e-04,2.897e-04
9.226e-04,5.491e-03,2.199e-04,9.979e-05,1.258e-03,3.376e-04,3.630e-06,4.053e-04,2.868e-04
8.738e-04,5.507e-03,1.066e-04,7.343e-05,1.227e-03,3.330e-04,4.900e-06,4.070e-04,2.853e-04
8.252e-04,5.508e-03,4.484e-04,4.496e-05,1.194e-03,3.268e-04,6.873e-06,4.089e-04,2.835e-04
7.901e-04,5.492e-03,8.012e-04,5.022e-06,1.153e-03,3.254e-04,8.605e-07,4.244e-04,2.776e-04
7.904e-04,5.551e-03,1.172e-03,4.025e-05,1.124e-03,3.163e-04,9.610e-06,4.346e-04,2.816e-04
8.862e-04,5.677e-03,1.524e-03,1.456e-04,1.421e-03,1.556e-04,6.705e-05,1.457e-04,2.805e-04
9.117e-04,5.604e-03,1.737e-03,2.083e-04,1.562e-03,1.817e-04,7.031e-05,1.388e-04,3.160e-04
8.364e-04,5.555e-03,3.960e-04,1.605e-04,1.599e-03,3.046e-04,3.107e-05,2.530e-04,3.954e-04
7.032e-04,5.583e-03,0.000e+00,6.545e-05,1.725e-03,1.316e-04,3.160e-07,3.030e-04,2.180e-04
7.299e-04,5.610e-03,0.000e+00,1.029e-04,1.633e-03,1.428e-04,1.912e-07,3.264e-04,2.111e-04
7.308e-04,5.625e-03,0.000e+00,1.598e-04,1.591e-03,2.437e-04,3.821e-05,3.254e-04,2.093e-04
7.535e-04,5.566e-03,0.000e+00,1.884e-04,1.543e-03,2.391e-04,3.559e-05,3.262e-04,2.137e-04
7.766e-04,5.504e-03,0.000e+00,2.129e-04,1.508e-03,2.304e-04,3.350e-05,3.245e-04,2.186e-04
8.012e-04,5.440e-03,0.000e+00,2.352e-04,1.479e-03,2.198e-04,2.995e-05,3.209e-04,2.254e-04
8.266e-04,5.369e-03,2.289e-04,2.536e-04,1.456e-03,2.080e-04,2.702e-05,3.147e-04,2.309e-04
8.534e-04,5.299e-03,4.749e-04,2.708e-04,1.441e-03,1.939e-04,2.372e-05,3.066e-04,2.384e-04
8.804e-04,5.233e-03,6.821e-04,2.859e-04,1.426e-03,1.794e-04,2.045e-05,2.975e-04,2.439e-04
9.094e-04,5.174e-03,8.518e-04,3.001e-04,1.418e-03,1.644e-04,1.758e-05,2.882e-04,2.515e-04
9.383e-04,5.121e-03,9.874e-04,3.108e-04,1.410e-03,1.510e-04,1.440e-05,2.794e-04,2.581e-04
9.689e-04,5.076e-03,1.092e-03,3.213e-04,1.404e-03,1.356e-04,1.196e-05,2.699e-04,2.649e-04
9.997e-04,5.037e-03,1.167e-03,3.299e-04,1.400e-03,1.214e-04,8.696e-06,2.599e-04,2.716e-04
1.032e-03,5.006e-03,1.218e-03,3.374e-04,1.395e-03,1.085e-04,6.740e-06,2.513e-04,2.781e-04
1.065e-03,4.983e-03,1.247e-03,3.435e-04,1.392e-03,9.477e-05,4.026e-06,2.415e-04,2.851e-04
1.097e-03,4.968e-03,1.257e-03,3.501e-04,1.391e-03,8.243e-05,1.281e-06,2.320e-04,2.912e-04
1.132e-03,4.961e-03,1.250e-03,3.540e-04,1.388e-03,7.117e-05,2.010e-06,2.251e-04,2.983e-04
1.167e-03,4.963e-03,1.228e-03,3.586e-04,1.388e-03,5.746e-05,4.272e-06,2.170e-04,3.047e-04
1.201e-03,4.973e-03,1.195e-03,3.614e-04,1.388e-03,4.774e-05,5.711e-06,2.103e-04,3.095e-04
1.237e-03,4.991e-03,1.151e-03,3.638e-04,1.387e-03,3.690e-05,7.548e-06,2.027e-04,3.163e-04
1.242e-03,5.018e-03,1.099e-03,3.793e-04,1.424e-03,3.779e-05,1.584e-05,1.841e-04,4.408e-04
1.265e-03,4.968e-03,1.265e-03,3.743e-04,1.446e-03,5.585e-05,1.758e-05,1.690e-04,4.561e-04
1.290e-03,4.921e-03,1.441e-03,3.685e-04,1.467e-03,6.568e-05,2.027e-05,1.576e-04,4.598e-04
1.315e-03,4.885e-03,1.604e-03,3.614e-04,1.486e-03,7.474e-05,2.322e-05,1.476e-04,4.628e-04
1.340e-03,4.859e-03,1.755e-03,3.558e-04,1.505e-03,8.392e-05,2.327e-05,1.380e-04,4.650e-04
1.366e-03,4.843e-03,1.896e-03,3.480e-04,1.521e-03,9.173e-05,2.469e-05,1.304e-04,4.682e-04
1.389e-03,4.835e-03,2.028e-03,3.372e-04,1.534e-03,9.853e-05,2.467e-05,1.237e-04,4.740e-04
