,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,1.657e-04,7.438e-04,4.948e-05,2.063e-04,4.144e-04,1.267e-04,3.616e-05,3.672e-05
std,6.580e-05,8.647e-05,7.146e-05,9.529e-05,1.060e-04,5.548e-05,4.123e-05,3.907e-05
min,3.934e-06,4.911e-05,0.000e+00,4.905e-05,4.405e-05,3.338e-06,5.960e-08,5.364e-07
0.1%,3.934e-06,4.911e-05,0.000e+00,4.905e-05,4.405e-05,3.338e-06,5.960e-08,5.364e-07
25%,1.139e-04,7.185e-04,0.000e+00,1.311e-04,3.504e-04,9.002e-05,1.223e-05,1.255e-05
50%,1.690e-04,7.412e-04,0.000e+00,1.955e-04,4.193e-04,1.295e-04,2.377e-05,2.439e-05
75%,2.083e-04,7.775e-04,9.865e-05,2.637e-04,5.105e-04,1.654e-04,4.297e-05,4.692e-05
99.9%,2.767e-04,9.110e-04,4.796e-04,5.947e-04,6.305e-04,2.741e-04,3.066e-04,2.213e-04
max,2.767e-04,9.110e-04,4.796e-04,5.947e-04,6.305e-04,2.741e-04,3.066e-04,2.213e-04
