foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
1.676e-04,2.923e-04,6.231e-04,7.132e-05,1.595e-04,1.329e-04,2.380e-06,1.956e-04,8.300e-05
1.566e-04,2.720e-04,5.981e-04,8.040e-05,1.538e-04,1.366e-04,3.092e-06,1.973e-04,8.388e-05
1.477e-04,2.575e-04,5.715e-04,8.827e-05,1.506e-04,1.366e-04,3.105e-06,1.985e-04,8.549e-05
1.391e-04,2.401e-04,5.436e-04,9.633e-05,1.462e-04,1.384e-04,4.365e-06,1.975e-04,8.772e-05
1.299e-04,2.260e-04,5.144e-04,1.032e-04,1.446e-04,1.381e-04,4.635e-06,1.969e-04,8.856e-05
1.227e-04,2.153e-04,4.841e-04,1.103e-04,1.428e-04,1.372e-04,5.073e-06,1.944e-04,9.064e-05
1.147e-04,2.050e-04,4.528e-04,1.166e-04,1.420e-04,1.358e-04,5.777e-06,1.909e-04,9.264e-05
1.079e-04,1.957e-04,4.205e-04,1.225e-04,1.420e-04,1.334e-04,5.905e-06,1.874e-04,9.416e-05
1.011e-04,1.864e-04,3.874e-04,1.279e-04,1.423e-04,1.309e-04,6.916e-06,1.819e-04,9.707e-05
9.584e-05,1.805e-04,3.536e-04,1.331e-04,1.437e-04,1.276e-04,7.036e-06,1.772e-04,9.863e-05
9.048e-05,1.738e-04,3.193e-04,1.385e-04,1.447e-04,1.243e-04,7.732e-06,1.712e-04,1.004e-04
8.631e-05,1.678e-04,2.845e-04,1.429e-04,1.470e-04,1.204e-04,7.819e-06,1.653e-04,1.037e-04
8.166e-05,1.631e-04,2.494e-04,1.475e-04,1.495e-04,1.158e-04,8.532e-06,1.580e-04,1.059e-04
7.868e-05,1.609e-04,2.140e-04,1.519e-04,1.523e-04,1.109e-04,8.451e-06,1.504e-04,1.077e-04
7.606e-05,1.593e-04,1.786e-04,1.559e-04,1.565e-04,1.062e-04,9.610e-06,1.432e-04,1.098e-04
7.427e-05,1.559e-04,1.433e-04,1.599e-04,1.598e-04,1.009e-04,9.468e-06,1.350e-04,1.124e-04
7.236e-05,1.547e-04,1.081e-04,1.638e-04,1.642e-04,9.486e-05,9.229e-06,1.269e-04,1.150e-04
7.153e-05,1.547e-04,7.308e-05,1.673e-04,1.689e-04,8.973e-05,9.906e-06,1.186e-04,1.166e-04
7.176e-05,1.543e-04,3.850e-05,1.710e-04,1.743e-04,8.324e-05,1.037e-05,1.092e-04,1.189e-04
7.176e-05,1.552e-04,4.470e-06,1.742e-04,1.796e-04,7.719e-05,9.836e-06,1.000e-04,1.216e-04
